cell_id,Tachyspiza badia,Tachyspiza badia sphenura/polyzonoides,Tachyspiza badia [badia Group]
8420107ffffffff,2.0,0.0,2.0
842013dffffffff,2.0,0.0,2.0
8420161ffffffff,2.0,0.0,2.0
842016bffffffff,2.0,0.0,2.0
8420185ffffffff,10.0,0.0,0.0
8420199ffffffff,3.0,0.0,3.0
84201d3ffffffff,3.0,0.0,3.0
8420a19ffffffff,7.0,0.0,0.0
8420a25ffffffff,1.0,0.0,1.0
8420a61ffffffff,5.0,0.0,0.0
8420b1bffffffff,2.0,0.0,2.0
8420f45ffffffff,1.0,0.0,0.0
8425b4bffffffff,2.0,0.0,0.0
842c2c9ffffffff,1.0,0.0,0.0
842c513ffffffff,4.0,0.0,0.0
842c5e9ffffffff,1.0,0.0,0.0
842c8ebffffffff,2.0,0.0,2.0
842c903ffffffff,15.0,0.0,0.0
842c93bffffffff,5.0,0.0,0.0
842cc07ffffffff,3.0,0.0,0.0
842ce4dffffffff,2.0,0.0,0.0
843c033ffffffff,6.0,0.0,0.0
843c139ffffffff,2.0,0.0,0.0
843c193ffffffff,2.0,0.0,0.0
843c199ffffffff,2.0,0.0,0.0
843c1b1ffffffff,1.0,0.0,0.0
843c1b5ffffffff,5.0,0.0,0.0
843c1d3ffffffff,2.0,0.0,0.0
843c1d7ffffffff,5.0,0.0,0.0
843c585ffffffff,1.0,0.0,1.0
843c587ffffffff,5.0,0.0,0.0
843c5abffffffff,3.0,0.0,0.0
843c5bdffffffff,5.0,0.0,0.0
843c8c7ffffffff,2.0,0.0,0.0
843c8d9ffffffff,1.0,0.0,0.0
843c8dbffffffff,3.0,0.0,0.0
843c8e5ffffffff,15.0,0.0,0.0
843c8edffffffff,14.0,0.0,0.0
843c9c3ffffffff,4.0,0.0,0.0
843c9d9ffffffff,3.0,0.0,0.0
843cab7ffffffff,2.0,0.0,0.0
843cb11ffffffff,1.0,0.0,0.0
843cc47ffffffff,2.0,0.0,0.0
843cd4bffffffff,2.0,0.0,0.0
843cf0dffffffff,2.0,0.0,0.0
843cf27ffffffff,8.0,0.0,0.0
843cf29ffffffff,4.0,0.0,0.0
843cf2dffffffff,18.0,0.0,4.0
843cf69ffffffff,4.0,0.0,0.0
843d33dffffffff,10.0,0.0,0.0
843d34bffffffff,2.0,0.0,0.0
843d851ffffffff,2.0,0.0,2.0
843d8d5ffffffff,7.0,0.0,0.0
843d8ddffffffff,5.0,0.0,0.0
843da11ffffffff,5.0,0.0,5.0
843da1dffffffff,3.0,0.0,3.0
843da37ffffffff,8.0,0.0,6.0
843dac9ffffffff,4.0,0.0,0.0
843daddffffffff,2.0,0.0,2.0
8441719ffffffff,1.0,0.0,1.0
8442c17ffffffff,1.0,0.0,0.0
8442c31ffffffff,3.0,0.0,0.0
8442c55ffffffff,2.0,0.0,0.0
8442c69ffffffff,1.0,0.0,0.0
8442cd9ffffffff,1.0,0.0,0.0
8442cebffffffff,6.0,0.0,0.0
8442db7ffffffff,6.0,0.0,2.0
8442e45ffffffff,2.0,0.0,2.0
84431e9ffffffff,3.0,0.0,0.0
8443a03ffffffff,5.0,0.0,0.0
8443a13ffffffff,9.0,0.0,0.0
8443acdffffffff,6.0,0.0,0.0
8443ae5ffffffff,10.0,0.0,0.0
844b9cdffffffff,2.0,0.0,0.0
8452b1dffffffff,1.0,0.0,0.0
845332bffffffff,2.0,0.0,0.0
845355dffffffff,2.0,0.0,1.0
84536e5ffffffff,2.0,0.0,0.0
8454a9bffffffff,1.0,0.0,0.0
8460025ffffffff,3.0,0.0,0.0
846004dffffffff,3.0,0.0,0.0
8460067ffffffff,2.0,0.0,0.0
8460145ffffffff,2.0,0.0,0.0
8460149ffffffff,2.0,0.0,0.0
846014dffffffff,4.0,0.0,4.0
8460151ffffffff,2.0,0.0,0.0
846015bffffffff,2.0,0.0,0.0
84601e9ffffffff,2.0,0.0,0.0
8460221ffffffff,10.0,0.0,0.0
8460227ffffffff,5.0,0.0,0.0
846022dffffffff,4.0,0.0,0.0
8460261ffffffff,1.0,0.0,0.0
8460263ffffffff,11.0,0.0,0.0
8460303ffffffff,2.0,0.0,0.0
8460313ffffffff,22.0,0.0,0.0
8460315ffffffff,2.0,0.0,0.0
8460319ffffffff,2.0,0.0,0.0
8460329ffffffff,2.0,0.0,0.0
8460335ffffffff,1.0,0.0,0.0
84608b9ffffffff,1.0,0.0,0.0
84608ddffffffff,2.0,0.0,2.0
8460939ffffffff,1.0,0.0,0.0
8460a25ffffffff,4.0,0.0,0.0
8460a61ffffffff,1.0,0.0,0.0
8460a83ffffffff,3.0,0.0,0.0
8460a89ffffffff,1.0,0.0,0.0
8460a91ffffffff,2.0,0.0,2.0
8460a97ffffffff,1.0,0.0,1.0
8460a9dffffffff,2.0,0.0,2.0
8460aa3ffffffff,4.0,0.0,2.0
8460ad3ffffffff,1.0,0.0,0.0
8460b1bffffffff,2.0,0.0,0.0
8460b53ffffffff,5.0,0.0,0.0
8461885ffffffff,1.0,0.0,0.0
8461891ffffffff,2.0,0.0,0.0
8461897ffffffff,2.0,0.0,0.0
84618b9ffffffff,18.0,0.0,0.0
84618c1ffffffff,1.0,0.0,0.0
84619abffffffff,5.0,0.0,0.0
846332dffffffff,7.0,0.0,0.0
846416dffffffff,4.0,0.0,0.0
8464323ffffffff,60.0,0.0,39.0
8464327ffffffff,5.0,0.0,5.0
84648c9ffffffff,1.0,0.0,0.0
846518bffffffff,3.0,0.0,0.0
84651dbffffffff,2.0,0.0,0.0
8465b01ffffffff,1.0,0.0,1.0
846ae0bffffffff,2.0,2.0,0.0
847a401ffffffff,2.0,2.0,0.0
847a451ffffffff,1.0,0.0,0.0
847a459ffffffff,1.0,0.0,0.0
847a48dffffffff,2.0,0.0,0.0
847a4d1ffffffff,1.0,0.0,0.0
847a683ffffffff,2.0,0.0,0.0
847a6a1ffffffff,6.0,0.0,0.0
847a6a5ffffffff,1.0,0.0,0.0
847a6e1ffffffff,2.0,2.0,0.0
847a6e5ffffffff,5.0,4.0,0.0
847b4a1ffffffff,2.0,0.0,0.0
8482d27ffffffff,2.0,2.0,0.0
8496093ffffffff,1.0,1.0,0.0
8497291ffffffff,1.0,1.0,0.0
84bcdc1ffffffff,2.0,2.0,0.0
84bcdc3ffffffff,2.0,2.0,0.0
84bcdebffffffff,1.0,1.0,0.0
84bcf63ffffffff,2.0,0.0,0.0
