cell_id,Psilopogon haemacephalus,Psilopogon haemacephalus indicus/delicus,Psilopogon haemacephalus roseus,Psilopogon haemacephalus [haemacephalus Group],Psilopogon haemacephalus [intermedius Group]
843c0a5ffffffff,3.0,0.0,0.0,0.0,0.0
843c139ffffffff,2.0,0.0,0.0,0.0,0.0
843c199ffffffff,2.0,0.0,0.0,0.0,0.0
843c1b9ffffffff,3.0,0.0,0.0,0.0,0.0
843c1c3ffffffff,2.0,0.0,0.0,0.0,0.0
843c899ffffffff,3.0,0.0,0.0,0.0,0.0
843c8d9ffffffff,3.0,0.0,0.0,0.0,0.0
843c8e7ffffffff,2.0,0.0,0.0,0.0,0.0
843c8edffffffff,3.0,0.0,0.0,0.0,0.0
843cab1ffffffff,4.0,0.0,0.0,0.0,0.0
843cab7ffffffff,1.0,0.0,0.0,0.0,0.0
843cabbffffffff,2.0,0.0,0.0,0.0,0.0
843cadbffffffff,1.0,0.0,0.0,0.0,0.0
843cc6bffffffff,1.0,0.0,0.0,0.0,0.0
843cd13ffffffff,4.0,0.0,0.0,0.0,0.0
843ce15ffffffff,5.0,0.0,0.0,0.0,0.0
843cf05ffffffff,2.0,0.0,0.0,0.0,0.0
843cf0dffffffff,2.0,0.0,0.0,0.0,0.0
843cf29ffffffff,16.0,0.0,0.0,0.0,0.0
843cf2dffffffff,6.0,0.0,0.0,0.0,0.0
843cf47ffffffff,2.0,0.0,0.0,0.0,0.0
843cf69ffffffff,10.0,0.0,0.0,0.0,0.0
843d139ffffffff,17.0,0.0,0.0,0.0,0.0
843d891ffffffff,1.0,0.0,0.0,0.0,0.0
843d993ffffffff,2.0,0.0,0.0,0.0,0.0
843d9e5ffffffff,3.0,0.0,0.0,0.0,0.0
843da37ffffffff,4.0,0.0,0.0,0.0,0.0
843dad1ffffffff,10.0,0.0,0.0,0.0,0.0
843db01ffffffff,2.0,0.0,0.0,0.0,0.0
843db3bffffffff,2.0,0.0,0.0,0.0,0.0
84425a7ffffffff,1.0,0.0,0.0,0.0,0.0
8442c05ffffffff,6.0,0.0,0.0,0.0,0.0
8442c13ffffffff,2.0,0.0,0.0,0.0,0.0
8442c1bffffffff,2.0,0.0,0.0,0.0,0.0
8442c31ffffffff,2.0,0.0,0.0,0.0,0.0
8442cc7ffffffff,4.0,0.0,0.0,0.0,0.0
8442cd3ffffffff,1.0,0.0,0.0,0.0,0.0
8442d93ffffffff,6.0,0.0,0.0,0.0,0.0
8442db5ffffffff,2.0,0.0,0.0,0.0,0.0
8442dcdffffffff,1.0,0.0,0.0,0.0,0.0
8460025ffffffff,4.0,0.0,0.0,0.0,0.0
8460065ffffffff,2.0,0.0,0.0,0.0,0.0
8460069ffffffff,2.0,0.0,0.0,0.0,0.0
8460103ffffffff,4.0,0.0,0.0,0.0,0.0
8460105ffffffff,3.0,0.0,0.0,0.0,0.0
8460111ffffffff,6.0,0.0,0.0,0.0,0.0
8460115ffffffff,32.0,0.0,0.0,0.0,0.0
8460117ffffffff,26.0,0.0,0.0,0.0,0.0
846011bffffffff,2.0,0.0,0.0,0.0,0.0
846011dffffffff,5.0,0.0,0.0,0.0,0.0
8460131ffffffff,15.0,0.0,0.0,0.0,0.0
8460133ffffffff,14.0,0.0,0.0,0.0,0.0
8460139ffffffff,61.0,0.0,0.0,0.0,0.0
846013bffffffff,13.0,0.0,0.0,0.0,0.0
846013dffffffff,2.0,0.0,0.0,0.0,0.0
8460145ffffffff,159.0,0.0,0.0,0.0,0.0
846014bffffffff,8.0,0.0,0.0,0.0,0.0
846014dffffffff,9.0,0.0,0.0,0.0,0.0
8460151ffffffff,235.0,0.0,0.0,0.0,0.0
8460153ffffffff,1.0,0.0,0.0,0.0,0.0
8460157ffffffff,11.0,0.0,0.0,0.0,0.0
8460159ffffffff,237.0,0.0,0.0,0.0,0.0
846015bffffffff,53.0,0.0,0.0,0.0,0.0
846015dffffffff,3.0,0.0,0.0,0.0,0.0
8460169ffffffff,19.0,0.0,0.0,0.0,0.0
846016bffffffff,2.0,0.0,0.0,0.0,0.0
84601edffffffff,47.0,0.0,0.0,0.0,0.0
8460221ffffffff,27.0,0.0,0.0,0.0,0.0
8460227ffffffff,45.0,0.0,0.0,0.0,0.0
8460263ffffffff,8.0,0.0,0.0,0.0,0.0
8460311ffffffff,18.0,0.0,0.0,0.0,0.0
8460313ffffffff,64.0,0.0,0.0,0.0,0.0
8460315ffffffff,5.0,0.0,0.0,0.0,0.0
8460317ffffffff,51.0,0.0,0.0,0.0,0.0
846031bffffffff,3.0,0.0,0.0,0.0,0.0
846031dffffffff,29.0,0.0,0.0,0.0,0.0
8460333ffffffff,104.0,0.0,0.0,0.0,0.0
8460335ffffffff,5.0,0.0,0.0,0.0,0.0
8460337ffffffff,30.0,0.0,0.0,0.0,0.0
846033bffffffff,33.0,0.0,0.0,0.0,0.0
8460343ffffffff,3.0,0.0,0.0,0.0,0.0
846035bffffffff,2.0,0.0,0.0,0.0,0.0
84608b1ffffffff,2.0,0.0,0.0,0.0,0.0
84608b5ffffffff,11.0,0.0,0.0,0.0,0.0
84608e3ffffffff,2.0,0.0,0.0,0.0,0.0
8460939ffffffff,1.0,0.0,0.0,0.0,0.0
84609e1ffffffff,2.0,0.0,0.0,0.0,0.0
84609ebffffffff,6.0,0.0,0.0,0.0,0.0
8460a1bffffffff,2.0,0.0,0.0,0.0,0.0
8460a25ffffffff,4.0,0.0,0.0,0.0,0.0
8460a27ffffffff,5.0,0.0,0.0,0.0,0.0
8460a83ffffffff,51.0,0.0,0.0,0.0,0.0
8460a89ffffffff,1.0,0.0,0.0,0.0,0.0
8460a8bffffffff,111.0,0.0,0.0,0.0,0.0
8460a91ffffffff,30.0,0.0,0.0,0.0,0.0
8460a95ffffffff,3.0,0.0,0.0,0.0,0.0
8460a99ffffffff,2.0,0.0,0.0,0.0,0.0
8460a9dffffffff,62.0,0.0,0.0,0.0,0.0
8460aa3ffffffff,2.0,0.0,0.0,0.0,0.0
8460ad1ffffffff,21.0,0.0,0.0,0.0,0.0
8460ad3ffffffff,178.0,0.0,0.0,0.0,0.0
8460ad5ffffffff,11.0,0.0,0.0,0.0,0.0
8460ad7ffffffff,460.0,0.0,0.0,0.0,0.0
8460ad9ffffffff,8.0,0.0,0.0,0.0,0.0
8460adbffffffff,11.0,0.0,0.0,0.0,0.0
8460b19ffffffff,1.0,0.0,0.0,0.0,0.0
8460b1bffffffff,1.0,0.0,0.0,0.0,0.0
8460b47ffffffff,4.0,0.0,0.0,0.0,0.0
8460b53ffffffff,5.0,0.0,0.0,0.0,0.0
8461885ffffffff,4.0,0.0,0.0,0.0,0.0
84618b9ffffffff,38.0,0.0,0.0,0.0,0.0
84618c1ffffffff,1.0,0.0,0.0,0.0,0.0
84618c5ffffffff,9.0,0.0,0.0,0.0,0.0
84619abffffffff,5.0,0.0,0.0,0.0,0.0
8461a97ffffffff,2.0,0.0,0.0,0.0,0.0
8461ab7ffffffff,2.0,0.0,0.0,0.0,0.0
846416dffffffff,3.0,0.0,0.0,0.0,0.0
846422dffffffff,2.0,0.0,0.0,0.0,0.0
8464267ffffffff,3.0,0.0,0.0,0.0,0.0
846434bffffffff,2.0,0.0,0.0,0.0,0.0
84648c9ffffffff,1.0,0.0,0.0,0.0,0.0
8464a4bffffffff,1.0,0.0,0.0,0.0,0.0
8464a5dffffffff,4.0,0.0,0.0,0.0,0.0
8464b67ffffffff,1.0,0.0,0.0,0.0,0.0
8465005ffffffff,4.0,0.0,0.0,0.0,0.0
8465009ffffffff,2.0,0.0,0.0,0.0,0.0
8465015ffffffff,7.0,0.0,0.0,0.0,0.0
8465029ffffffff,4.0,0.0,0.0,0.0,0.0
846502bffffffff,2.0,0.0,0.0,0.0,0.0
8465033ffffffff,61.0,0.0,0.0,0.0,0.0
8465037ffffffff,1.0,0.0,0.0,0.0,0.0
846503bffffffff,2.0,0.0,0.0,0.0,0.0
8465055ffffffff,7.0,0.0,0.0,0.0,0.0
846505dffffffff,1.0,0.0,0.0,0.0,0.0
8465183ffffffff,1.0,0.0,0.0,0.0,0.0
8465189ffffffff,9.0,0.0,0.0,0.0,0.0
846518bffffffff,15.0,0.0,0.0,0.0,0.0
846519dffffffff,5.0,0.0,0.0,0.0,0.0
84651d1ffffffff,54.0,0.0,0.0,0.0,0.0
84651d7ffffffff,14.0,0.0,0.0,0.0,0.0
84651d9ffffffff,43.0,0.0,0.0,0.0,0.0
84651dbffffffff,6.0,0.0,0.0,0.0,0.0
84651ddffffffff,4.0,0.0,0.0,0.0,0.0
846520dffffffff,15.0,0.0,0.0,0.0,0.0
8465231ffffffff,2.0,0.0,0.0,0.0,0.0
8465233ffffffff,3.0,0.0,0.0,0.0,0.0
8465263ffffffff,11.0,0.0,0.0,0.0,0.0
846526bffffffff,5.0,0.0,0.0,0.0,0.0
8465b21ffffffff,2.0,0.0,0.0,0.0,0.0
84684e5ffffffff,1.0,0.0,0.0,0.0,0.0
84685e7ffffffff,5.0,0.0,0.0,0.0,0.0
