cell_id,Pycnonotus barbatus,Pycnonotus barbatus [barbatus Group],Pycnonotus barbatus somaliensis,Pycnonotus barbatus dodsoni,Pycnonotus barbatus [tricolor Group]
8438625ffffffff,30.0,10.0,0.0,0.0,0.0
843862bffffffff,2.0,1.0,0.0,0.0,0.0
843862dffffffff,3.0,1.0,0.0,0.0,0.0
8438631ffffffff,1.0,0.0,0.0,0.0,0.0
8438667ffffffff,3.0,0.0,0.0,0.0,0.0
8438753ffffffff,4.0,0.0,0.0,0.0,0.0
843875bffffffff,15.0,4.0,0.0,0.0,0.0
8439191ffffffff,5.0,0.0,0.0,0.0,0.0
8439195ffffffff,1.0,0.0,0.0,0.0,0.0
84391a9ffffffff,52.0,1.0,0.0,0.0,0.0
84395a5ffffffff,5.0,0.0,0.0,0.0,0.0
843991bffffffff,2.0,2.0,0.0,0.0,0.0
8454e21ffffffff,2.0,0.0,0.0,0.0,0.0
846a459ffffffff,4.0,0.0,0.0,0.0,0.0
846ac35ffffffff,2.0,0.0,0.0,0.0,0.0
846ac3dffffffff,2.0,0.0,0.0,0.0,0.0
846ace5ffffffff,3.0,0.0,0.0,0.0,3.0
846ada9ffffffff,1.0,0.0,0.0,0.0,0.0
847a409ffffffff,1.0,0.0,0.0,1.0,0.0
847a413ffffffff,5.0,0.0,0.0,5.0,0.0
847a43bffffffff,1.0,0.0,0.0,1.0,0.0
847a451ffffffff,1.0,0.0,0.0,1.0,0.0
847a459ffffffff,1.0,0.0,0.0,0.0,1.0
847a4d1ffffffff,1.0,0.0,0.0,0.0,1.0
847a4ddffffffff,1.0,0.0,0.0,0.0,1.0
847a609ffffffff,1.0,0.0,0.0,1.0,0.0
847a643ffffffff,5.0,0.0,0.0,5.0,0.0
847a657ffffffff,18.0,0.0,0.0,18.0,0.0
847a683ffffffff,2.0,0.0,0.0,0.0,0.0
847a6a1ffffffff,1.0,0.0,0.0,1.0,0.0
847a6e1ffffffff,1.0,0.0,0.0,0.0,1.0
847b48dffffffff,8.0,0.0,0.0,0.0,2.0
847b4c1ffffffff,20.0,0.0,0.0,0.0,2.0
847b4c5ffffffff,35.0,0.0,0.0,0.0,15.0
847b4c7ffffffff,91.0,0.0,0.0,0.0,61.0
847b4c9ffffffff,25.0,0.0,0.0,0.0,0.0
847b4cbffffffff,11.0,0.0,0.0,0.0,2.0
847b4e7ffffffff,2.0,0.0,0.0,0.0,0.0
847b4ebffffffff,6.0,0.0,0.0,0.0,0.0
847b591ffffffff,2.0,0.0,0.0,2.0,0.0
847b595ffffffff,2.0,0.0,0.0,2.0,0.0
847b597ffffffff,6.0,0.0,0.0,6.0,0.0
8482a09ffffffff,7.0,0.0,0.0,0.0,7.0
8482f23ffffffff,8.0,8.0,0.0,0.0,0.0
8496335ffffffff,1.0,1.0,0.0,0.0,0.0
8496a59ffffffff,2.0,0.0,0.0,0.0,2.0
84972d9ffffffff,1.0,0.0,0.0,0.0,1.0
8497509ffffffff,1.0,0.0,0.0,0.0,0.0
84ad927ffffffff,1.0,0.0,0.0,0.0,1.0
84bc0b1ffffffff,2.0,0.0,0.0,0.0,2.0
84bc19bffffffff,41.0,0.0,0.0,0.0,41.0
84bc1b7ffffffff,3.0,0.0,0.0,0.0,3.0
84bc1bbffffffff,5.0,0.0,0.0,0.0,5.0
84bc89bffffffff,2.0,0.0,0.0,0.0,2.0
84bc8b3ffffffff,2.0,0.0,0.0,0.0,0.0
84bcc23ffffffff,2.0,0.0,0.0,0.0,2.0
84bcc35ffffffff,2.0,0.0,0.0,0.0,2.0
84bcc3dffffffff,1.0,0.0,0.0,0.0,1.0
84bccadffffffff,1.0,0.0,0.0,0.0,1.0
84bcd05ffffffff,4.0,0.0,0.0,0.0,4.0
84bcd11ffffffff,2.0,0.0,0.0,0.0,2.0
84bcd27ffffffff,2.0,0.0,0.0,0.0,2.0
84bcd29ffffffff,10.0,0.0,0.0,0.0,10.0
84bcd63ffffffff,3.0,0.0,0.0,0.0,3.0
84bcd67ffffffff,1.0,0.0,0.0,0.0,1.0
84bcdd1ffffffff,1.0,0.0,0.0,0.0,1.0
84bcdebffffffff,2.0,0.0,0.0,0.0,2.0
84bce29ffffffff,6.0,0.0,0.0,0.0,6.0
84bce49ffffffff,2.0,0.0,0.0,0.0,2.0
84bce61ffffffff,5.0,0.0,0.0,0.0,5.0
84bce63ffffffff,1.0,0.0,0.0,0.0,1.0
84bce67ffffffff,4.0,0.0,0.0,0.0,4.0
84bcf29ffffffff,2.0,0.0,0.0,0.0,2.0
84bcf5bffffffff,11.0,0.0,0.0,0.0,11.0
84bcf63ffffffff,3.0,0.0,0.0,0.0,3.0
