cell_id,Turdus simillimus,Turdus simillimus simillimus/bourdilloni,Turdus simillimus nigropileus,Turdus simillimus kinnisii
843c8c7ffffffff,7.0,0.0,0.0,0.0
843c8cbffffffff,2.0,0.0,0.0,0.0
843c909ffffffff,1.0,0.0,0.0,0.0
843c947ffffffff,1.0,0.0,0.0,0.0
843cb4dffffffff,1.0,0.0,0.0,0.0
843d845ffffffff,2.0,0.0,0.0,0.0
843d983ffffffff,2.0,0.0,0.0,0.0
843d987ffffffff,1.0,0.0,0.0,0.0
843d98dffffffff,1.0,0.0,0.0,0.0
843d9b9ffffffff,3.0,0.0,0.0,0.0
843d9d1ffffffff,8.0,0.0,0.0,0.0
843d9d3ffffffff,3.0,0.0,0.0,0.0
843d9dbffffffff,4.0,0.0,0.0,0.0
843db13ffffffff,2.0,0.0,2.0,0.0
843db65ffffffff,23.0,0.0,0.0,0.0
8442c23ffffffff,2.0,0.0,0.0,0.0
8442c27ffffffff,20.0,0.0,0.0,0.0
8442c41ffffffff,2.0,0.0,0.0,0.0
8442ca7ffffffff,2.0,0.0,0.0,0.0
8442d89ffffffff,4.0,0.0,0.0,0.0
8442d93ffffffff,14.0,0.0,0.0,0.0
8442dc3ffffffff,2.0,0.0,0.0,0.0
8442eb3ffffffff,33.0,0.0,7.0,0.0
8460021ffffffff,2.0,0.0,0.0,0.0
8460025ffffffff,5.0,0.0,0.0,0.0
846002dffffffff,3.0,0.0,0.0,0.0
846004dffffffff,2.0,0.0,0.0,0.0
8460061ffffffff,5.0,0.0,0.0,0.0
8460065ffffffff,6.0,3.0,2.0,0.0
8460067ffffffff,6.0,0.0,0.0,0.0
8460069ffffffff,9.0,0.0,0.0,0.0
846006dffffffff,4.0,0.0,0.0,0.0
8460101ffffffff,1.0,0.0,0.0,0.0
8460103ffffffff,1.0,0.0,0.0,0.0
8460115ffffffff,6.0,0.0,0.0,0.0
846011dffffffff,2.0,0.0,0.0,0.0
8460143ffffffff,6.0,0.0,0.0,0.0
8460145ffffffff,19.0,0.0,0.0,0.0
8460147ffffffff,1.0,0.0,0.0,0.0
846014dffffffff,43.0,0.0,0.0,0.0
8460153ffffffff,12.0,0.0,2.0,0.0
8460157ffffffff,1.0,0.0,0.0,0.0
8460159ffffffff,5.0,0.0,0.0,0.0
846015dffffffff,27.0,0.0,0.0,0.0
8460169ffffffff,76.0,1.0,0.0,0.0
846016bffffffff,14.0,0.0,0.0,0.0
84601e5ffffffff,8.0,0.0,3.0,0.0
84601e9ffffffff,5.0,0.0,0.0,0.0
84601edffffffff,5.0,0.0,3.0,0.0
8460267ffffffff,1.0,1.0,0.0,0.0
846030bffffffff,2.0,2.0,0.0,0.0
8460311ffffffff,7.0,7.0,0.0,0.0
8460313ffffffff,219.0,1.0,3.0,0.0
8460315ffffffff,5.0,0.0,0.0,0.0
8460317ffffffff,1.0,0.0,1.0,0.0
8460319ffffffff,10.0,6.0,0.0,0.0
846031bffffffff,30.0,10.0,0.0,0.0
846031dffffffff,2.0,0.0,0.0,0.0
8460327ffffffff,3.0,0.0,0.0,0.0
846032dffffffff,8.0,0.0,0.0,0.0
8460331ffffffff,15.0,0.0,0.0,0.0
8460333ffffffff,4.0,0.0,1.0,0.0
8460335ffffffff,70.0,0.0,0.0,0.0
8460337ffffffff,4.0,0.0,0.0,0.0
846033bffffffff,340.0,1.0,11.0,0.0
846035bffffffff,4.0,2.0,0.0,0.0
8460881ffffffff,1.0,0.0,0.0,0.0
8460887ffffffff,4.0,0.0,0.0,0.0
8460889ffffffff,4.0,0.0,0.0,0.0
846088dffffffff,4.0,0.0,0.0,0.0
84608a1ffffffff,1.0,0.0,0.0,0.0
84608b5ffffffff,3.0,0.0,0.0,0.0
84608bdffffffff,4.0,0.0,0.0,0.0
84608d1ffffffff,2.0,0.0,0.0,0.0
84608d5ffffffff,2.0,0.0,0.0,0.0
84608d7ffffffff,4.0,0.0,0.0,0.0
84608ddffffffff,2.0,0.0,0.0,0.0
8460925ffffffff,5.0,0.0,0.0,0.0
8460927ffffffff,7.0,0.0,0.0,0.0
846093dffffffff,1.0,0.0,0.0,0.0
846099bffffffff,3.0,0.0,0.0,0.0
8460a1bffffffff,4.0,0.0,0.0,0.0
8460a25ffffffff,1.0,0.0,0.0,0.0
8460a27ffffffff,203.0,0.0,0.0,0.0
8460a49ffffffff,3.0,0.0,0.0,0.0
8460a65ffffffff,1.0,0.0,0.0,0.0
8460a83ffffffff,9.0,0.0,0.0,0.0
8460a8bffffffff,19.0,0.0,0.0,0.0
8460a91ffffffff,8.0,0.0,0.0,0.0
8460a95ffffffff,3.0,0.0,0.0,0.0
8460a99ffffffff,8.0,0.0,0.0,0.0
8460a9dffffffff,5.0,0.0,1.0,0.0
8460ab3ffffffff,1.0,0.0,0.0,0.0
8460abbffffffff,4.0,0.0,0.0,0.0
8460ac9ffffffff,1.0,0.0,0.0,0.0
8460ad3ffffffff,3.0,0.0,0.0,0.0
8460ad7ffffffff,13.0,1.0,0.0,0.0
8460b19ffffffff,31.0,0.0,0.0,0.0
8460b47ffffffff,10.0,0.0,0.0,0.0
8461897ffffffff,2.0,0.0,2.0,0.0
846189bffffffff,1.0,0.0,0.0,0.0
84618b9ffffffff,9.0,0.0,0.0,0.0
84618bbffffffff,3.0,0.0,0.0,0.0
84618d7ffffffff,2.0,0.0,0.0,0.0
84619a5ffffffff,2.0,0.0,0.0,0.0
