cell_id,Aethopyga gouldiae,Aethopyga gouldiae gouldiae/isolata,Aethopyga gouldiae dabryii,Aethopyga gouldiae annamensis
823c07fffffffff,27.0,0.0,0.0,0.0
823c0ffffffffff,383.0,34.0,0.0,0.0
823c1ffffffffff,250.0,2.0,0.0,0.0
823c37fffffffff,20.0,0.0,0.0,0.0
823c47fffffffff,21.0,12.0,0.0,0.0
823c57fffffffff,743.0,0.0,0.0,0.0
823c5ffffffffff,72.0,2.0,0.0,0.0
823cc7fffffffff,62.0,0.0,0.0,0.0
823ccffffffffff,4.0,0.0,0.0,0.0
823cdffffffffff,82.0,11.0,0.0,0.0
823ce7fffffffff,200.0,17.0,0.0,0.0
823ceffffffffff,606.0,0.0,0.0,0.0
823d17fffffffff,95.0,0.0,0.0,0.0
823d1ffffffffff,113.0,0.0,0.0,0.0
823daffffffffff,17.0,0.0,0.0,0.0
824017fffffffff,10.0,0.0,1.0,0.0
82401ffffffffff,4.0,0.0,0.0,0.0
82402ffffffffff,2.0,0.0,2.0,0.0
824047fffffffff,69.0,0.0,9.0,0.0
82404ffffffffff,350.0,0.0,61.0,0.0
824057fffffffff,7.0,0.0,4.0,0.0
82405ffffffffff,39.0,0.0,7.0,0.0
824067fffffffff,34.0,0.0,11.0,0.0
82406ffffffffff,30.0,0.0,2.0,0.0
824077fffffffff,13.0,0.0,0.0,0.0
82408ffffffffff,5.0,0.0,0.0,0.0
8240affffffffff,14.0,0.0,0.0,0.0
8240c7fffffffff,93.0,0.0,2.0,0.0
8240e7fffffffff,69.0,0.0,9.0,0.0
8240effffffffff,175.0,0.0,20.0,0.0
8240f7fffffffff,2.0,0.0,0.0,0.0
824107fffffffff,1.0,0.0,0.0,0.0
82411ffffffffff,9.0,0.0,0.0,0.0
824147fffffffff,6.0,0.0,0.0,0.0
82414ffffffffff,39.0,0.0,0.0,0.0
82415ffffffffff,32.0,0.0,7.0,0.0
824167fffffffff,10.0,0.0,0.0,0.0
826487fffffffff,1079.0,0.0,276.0,0.0
826497fffffffff,1363.0,0.0,446.0,0.0
82649ffffffffff,8.0,1.0,3.0,0.0
8264a7fffffffff,9.0,0.0,0.0,0.0
8264b7fffffffff,9.0,0.0,4.0,0.0
8265b7fffffffff,471.0,0.0,0.0,145.0
826937fffffffff,91.0,0.0,30.0,0.0
