cell_id,Microeca flavigaster,Microeca flavigaster [flavigaster Group],Microeca flavigaster tormenti
8372a2fffffffff,3.0,0.0,0.0
8372d2fffffffff,1.0,0.0,0.0
8372d5fffffffff,6.0,0.0,0.0
8372f2fffffffff,11.0,0.0,0.0
83944bfffffffff,3.0,0.0,0.0
839450fffffffff,538.0,58.0,0.0
839451fffffffff,2177.0,254.0,0.0
839452fffffffff,2.0,0.0,0.0
839453fffffffff,100.0,11.0,0.0
839455fffffffff,9.0,0.0,0.0
839458fffffffff,4.0,0.0,0.0
839459fffffffff,14.0,0.0,0.0
83945afffffffff,20.0,4.0,0.0
83945bfffffffff,3.0,0.0,0.0
83945cfffffffff,588.0,73.0,0.0
83945efffffffff,40.0,3.0,0.0
839480fffffffff,27.0,0.0,11.0
839485fffffffff,2.0,0.0,2.0
8394a8fffffffff,2.0,0.0,0.0
8394aafffffffff,16.0,0.0,6.0
8394aefffffffff,26.0,0.0,18.0
8394c4fffffffff,2.0,0.0,0.0
8394e1fffffffff,1.0,0.0,0.0
8394e2fffffffff,19.0,0.0,0.0
8394edfffffffff,80.0,13.0,0.0
839c00fffffffff,9.0,0.0,0.0
839c01fffffffff,8.0,0.0,0.0
839c05fffffffff,20.0,0.0,0.0
839c0afffffffff,4.0,0.0,0.0
839c0efffffffff,64.0,0.0,0.0
839c19fffffffff,263.0,0.0,0.0
839c20fffffffff,21.0,0.0,0.0
839c21fffffffff,10.0,0.0,0.0
839c23fffffffff,1008.0,0.0,0.0
839c25fffffffff,36.0,0.0,0.0
839c40fffffffff,2.0,0.0,0.0
839c41fffffffff,13.0,0.0,0.0
839c43fffffffff,8.0,0.0,0.0
839c45fffffffff,2.0,0.0,0.0
839c4afffffffff,2.0,0.0,0.0
839c4bfffffffff,20.0,0.0,0.0
839c58fffffffff,13.0,0.0,0.0
839c59fffffffff,1.0,1.0,0.0
839c5afffffffff,22.0,0.0,0.0
839c5bfffffffff,6.0,0.0,0.0
839c5cfffffffff,2.0,0.0,0.0
839c62fffffffff,3.0,0.0,0.0
839c74fffffffff,2.0,0.0,0.0
839c85fffffffff,10.0,0.0,0.0
839c99fffffffff,1.0,0.0,0.0
839c9dfffffffff,2.0,0.0,0.0
839ca6fffffffff,25.0,0.0,0.0
839caafffffffff,11.0,2.0,0.0
839caefffffffff,117.0,16.0,0.0
839cc2fffffffff,1.0,0.0,0.0
839cd2fffffffff,5.0,0.0,0.0
839ce4fffffffff,26.0,0.0,0.0
839ce9fffffffff,57.0,0.0,0.0
839cf3fffffffff,1.0,0.0,0.0
839cf5fffffffff,12.0,0.0,0.0
839d01fffffffff,13.0,0.0,0.0
839d08fffffffff,1.0,0.0,0.0
839d0afffffffff,2.0,0.0,0.0
839d0bfffffffff,70.0,0.0,0.0
839d0cfffffffff,8.0,0.0,0.0
839d2afffffffff,5.0,0.0,0.0
839d5afffffffff,1.0,0.0,0.0
