cell_id,Lanius schach,Lanius schach erythronotus/caniceps,Lanius schach schach,Lanius schach tricolor/longicaudatus,Lanius schach bentet,Lanius schach [nasutus Group],Lanius schach schach x tricolor
8420107ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
8420123ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8420127ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
842012bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8420139ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
842013dffffffff,7.0,5.0,0.0,0.0,0.0,0.0,0.0
8420147ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8420185ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8420187ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8420199ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84201abffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84201b9ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
84201bbffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84201bdffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8420803ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8420807ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8420809ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
842080bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8420823ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8420835ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8420845ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842084dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8420855ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8420869ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84208edffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8420987ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
842098dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
842099bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
842099dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84209a5ffffffff,474.0,0.0,0.0,0.0,0.0,0.0,0.0
84209a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84209abffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84209b5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84209b7ffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
84209e3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84209e5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84209e7ffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
84209ebffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8420a05ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8420a0dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8420a23ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8420a25ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8420a27ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8420a53ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8420a83ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8420a8bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8420a9bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8420ae3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8420b11ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8420b13ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8420b15ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8420b17ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8420b1bffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
