cell_id,Colaptes campestris,Colaptes campestris campestris,Colaptes campestris campestroides,Colaptes campestris campestris x campestroides
825f27fffffffff,20.0,0.0,0.0,0.0
828007fffffffff,1.0,0.0,0.0,0.0
828017fffffffff,49.0,5.0,0.0,0.0
82802ffffffffff,2.0,0.0,0.0,0.0
828037fffffffff,22.0,0.0,0.0,0.0
828107fffffffff,123.0,16.0,0.0,0.0
82810ffffffffff,20.0,6.0,0.0,0.0
828117fffffffff,6.0,2.0,0.0,0.0
82811ffffffffff,8.0,0.0,0.0,0.0
828127fffffffff,98.0,17.0,0.0,0.0
82812ffffffffff,30.0,11.0,0.0,0.0
828137fffffffff,169.0,17.0,0.0,0.0
828147fffffffff,17.0,6.0,0.0,0.0
82814ffffffffff,3.0,0.0,0.0,0.0
828157fffffffff,3.0,1.0,0.0,0.0
828167fffffffff,19.0,0.0,0.0,0.0
828177fffffffff,68.0,14.0,0.0,0.0
82818ffffffffff,7.0,0.0,0.0,0.0
8281a7fffffffff,9.0,2.0,0.0,0.0
828b07fffffffff,17.0,0.0,0.0,0.0
828b0ffffffffff,218.0,10.0,0.0,0.0
828b17fffffffff,13.0,0.0,0.0,0.0
828b27fffffffff,306.0,16.0,0.0,0.0
828b2ffffffffff,84.0,3.0,0.0,0.0
828b37fffffffff,5.0,0.0,0.0,0.0
828b77fffffffff,53.0,0.0,0.0,0.0
828b8ffffffffff,2.0,0.0,0.0,0.0
828ba7fffffffff,53.0,8.0,0.0,0.0
828bb7fffffffff,225.0,29.0,0.0,0.0
82a597fffffffff,27.0,2.0,0.0,0.0
82a807fffffffff,1021.0,142.0,0.0,0.0
82a80ffffffffff,66.0,0.0,0.0,0.0
82a817fffffffff,5070.0,460.0,0.0,0.0
82a81ffffffffff,3120.0,72.0,0.0,0.0
82a827fffffffff,349.0,10.0,1.0,0.0
82a82ffffffffff,115.0,0.0,0.0,0.0
82a837fffffffff,431.0,21.0,3.0,0.0
82a847fffffffff,610.0,18.0,0.0,0.0
82a84ffffffffff,4.0,0.0,0.0,0.0
82a857fffffffff,90.0,2.0,0.0,0.0
82a85ffffffffff,1291.0,156.0,0.0,0.0
82a867fffffffff,101.0,0.0,0.0,0.0
82a877fffffffff,90.0,1.0,0.0,0.0
82a887fffffffff,517.0,46.0,0.0,0.0
82a88ffffffffff,494.0,81.0,0.0,0.0
82a897fffffffff,151.0,31.0,0.0,0.0
82a89ffffffffff,14.0,0.0,0.0,0.0
82a8a7fffffffff,993.0,106.0,0.0,0.0
82a8affffffffff,1025.0,137.0,0.0,0.0
82a8b7fffffffff,29.0,0.0,0.0,0.0
82a8c7fffffffff,214.0,31.0,0.0,0.0
82a8cffffffffff,4.0,1.0,0.0,0.0
82a8d7fffffffff,488.0,88.0,0.0,0.0
82a8dffffffffff,139.0,10.0,0.0,0.0
82a8e7fffffffff,45.0,2.0,0.0,0.0
82a8effffffffff,98.0,24.0,0.0,0.0
82a8f7fffffffff,115.0,11.0,0.0,0.0
82a907fffffffff,436.0,0.0,73.0,0.0
82a90ffffffffff,482.0,0.0,45.0,0.0
82a91ffffffffff,785.0,4.0,103.0,0.0
82a927fffffffff,24.0,0.0,3.0,0.0
82a92ffffffffff,1231.0,0.0,33.0,0.0
82a947fffffffff,3510.0,0.0,0.0,0.0
82a94ffffffffff,1582.0,0.0,0.0,0.0
82a957fffffffff,1411.0,4.0,0.0,0.0
82a95ffffffffff,508.0,0.0,0.0,0.0
82a967fffffffff,1551.0,0.0,60.0,0.0
82a96ffffffffff,853.0,0.0,0.0,0.0
82a977fffffffff,663.0,0.0,0.0,0.0
82b20ffffffffff,2.0,0.0,0.0,0.0
82b247fffffffff,347.0,0.0,0.0,0.0
82b24ffffffffff,697.0,0.0,0.0,0.0
82b257fffffffff,7.0,0.0,0.0,0.0
82b25ffffffffff,1374.0,0.0,0.0,0.0
82b267fffffffff,34.0,0.0,0.0,0.0
82b26ffffffffff,191.0,0.0,0.0,0.0
82b277fffffffff,7.0,0.0,0.0,0.0
82b2cffffffffff,2.0,0.0,0.0,0.0
82b2e7fffffffff,2.0,0.0,0.0,0.0
82b2effffffffff,29.0,0.0,0.0,0.0
82b34ffffffffff,15.0,0.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0,0.0
82b367fffffffff,2.0,0.0,0.0,0.0
82b36ffffffffff,5.0,0.0,0.0,0.0
82c207fffffffff,105.0,0.0,0.0,0.0
82c21ffffffffff,545.0,0.0,4.0,0.0
82c227fffffffff,24.0,0.0,0.0,0.0
82c22ffffffffff,554.0,0.0,0.0,0.0
82c2c7fffffffff,1109.0,0.0,0.0,0.0
82c2cffffffffff,1326.0,0.0,0.0,0.0
82c2d7fffffffff,1046.0,0.0,3.0,0.0
82c2dffffffffff,286.0,0.0,0.0,0.0
82c2e7fffffffff,2063.0,0.0,12.0,0.0
82c2effffffffff,289.0,0.0,0.0,0.0
82c2f7fffffffff,2644.0,0.0,20.0,0.0
82c30ffffffffff,24.0,0.0,0.0,0.0
82c32ffffffffff,78.0,0.0,4.0,0.0
82c347fffffffff,275.0,0.0,0.0,0.0
82c34ffffffffff,211.0,0.0,0.0,0.0
82c357fffffffff,395.0,0.0,3.0,0.0
82c35ffffffffff,31.0,0.0,0.0,0.0
82c367fffffffff,11.0,0.0,0.0,0.0
82c36ffffffffff,29.0,0.0,0.0,0.0
82c377fffffffff,63.0,0.0,0.0,0.0
82ce97fffffffff,132.0,0.0,0.0,0.0
82ce9ffffffffff,5.0,0.0,0.0,0.0
