cell_id,Eurystomus glaucurus,Eurystomus glaucurus [afer Group],Eurystomus glaucurus glaucurus
82540ffffffffff,10.0,0.0,0.0
82541ffffffffff,238.0,20.0,0.0
825447fffffffff,9.0,0.0,0.0
82544ffffffffff,1.0,0.0,0.0
8254affffffffff,459.0,46.0,0.0
8254cffffffffff,1.0,0.0,0.0
8254e7fffffffff,234.0,29.0,0.0
8254effffffffff,20.0,0.0,0.0
8254f7fffffffff,143.0,36.0,0.0
825887fffffffff,3.0,0.0,0.0
82588ffffffffff,4.0,4.0,0.0
825897fffffffff,64.0,1.0,0.0
82589ffffffffff,2.0,0.0,0.0
8258a7fffffffff,4.0,0.0,0.0
8258b7fffffffff,7.0,0.0,0.0
8258c7fffffffff,4.0,0.0,0.0
8258cffffffffff,4.0,0.0,0.0
8258f7fffffffff,3.0,0.0,0.0
825997fffffffff,2.0,0.0,0.0
82599ffffffffff,9.0,2.0,0.0
826a4ffffffffff,1.0,0.0,0.0
826a5ffffffffff,46.0,0.0,0.0
826a67fffffffff,4.0,0.0,0.0
826a9ffffffffff,4.0,0.0,0.0
826ac7fffffffff,251.0,21.0,0.0
826acffffffffff,1606.0,195.0,0.0
826adffffffffff,32.0,3.0,0.0
826aeffffffffff,494.0,74.0,0.0
826bb7fffffffff,2.0,0.0,0.0
82750ffffffffff,47.0,0.0,0.0
82751ffffffffff,13.0,0.0,0.0
827527fffffffff,195.0,14.0,0.0
82752ffffffffff,94.0,10.0,0.0
827537fffffffff,13.0,0.0,0.0
827577fffffffff,65.0,3.0,0.0
827587fffffffff,2.0,0.0,0.0
8275a7fffffffff,2.0,0.0,0.0
8275affffffffff,1.0,0.0,0.0
8275b7fffffffff,7.0,0.0,0.0
827a47fffffffff,16.0,0.0,0.0
827a4ffffffffff,44.0,1.0,0.0
827a67fffffffff,18.0,0.0,0.0
827a6ffffffffff,144.0,0.0,0.0
827a77fffffffff,2.0,0.0,0.0
827acffffffffff,33.0,4.0,0.0
827adffffffffff,2.0,0.0,0.0
827aeffffffffff,8.0,2.0,0.0
827b4ffffffffff,38.0,1.0,0.0
827b5ffffffffff,30.0,0.0,0.0
827b6ffffffffff,70.0,0.0,0.0
82821ffffffffff,4.0,0.0,0.0
82828ffffffffff,5.0,0.0,0.0
8282a7fffffffff,2.0,0.0,0.0
8282affffffffff,3.0,0.0,0.0
8282f7fffffffff,9.0,0.0,0.0
828317fffffffff,7.0,0.0,0.0
82831ffffffffff,2.0,0.0,0.0
82838ffffffffff,1.0,0.0,0.0
82839ffffffffff,2.0,0.0,0.0
8283a7fffffffff,2.0,0.0,0.0
8283affffffffff,2.0,0.0,0.0
829607fffffffff,40.0,4.0,0.0
82960ffffffffff,59.0,7.0,0.0
829627fffffffff,133.0,12.0,0.0
82962ffffffffff,90.0,25.0,0.0
829637fffffffff,19.0,6.0,0.0
829677fffffffff,5.0,0.0,0.0
82968ffffffffff,4.0,0.0,0.0
829697fffffffff,109.0,0.0,0.0
82969ffffffffff,1.0,0.0,0.0
8296a7fffffffff,15.0,0.0,0.0
8296affffffffff,5.0,0.0,0.0
8296b7fffffffff,69.0,0.0,0.0
8296effffffffff,1.0,0.0,0.0
829707fffffffff,59.0,0.0,0.0
82970ffffffffff,5.0,0.0,0.0
829717fffffffff,211.0,0.0,0.0
82971ffffffffff,15.0,0.0,0.0
829727fffffffff,6.0,0.0,0.0
82972ffffffffff,316.0,94.0,0.0
829737fffffffff,3.0,0.0,0.0
829747fffffffff,128.0,7.0,0.0
82974ffffffffff,257.0,77.0,0.0
829757fffffffff,338.0,69.0,0.0
82975ffffffffff,280.0,45.0,0.0
829777fffffffff,1.0,0.0,0.0
82978ffffffffff,7.0,0.0,0.0
82979ffffffffff,8.0,0.0,0.0
8297affffffffff,35.0,0.0,0.0
82a207fffffffff,2.0,0.0,0.0
82a217fffffffff,54.0,0.0,31.0
82a227fffffffff,176.0,0.0,69.0
82a237fffffffff,255.0,0.0,127.0
82a2a7fffffffff,181.0,0.0,84.0
82a2affffffffff,22.0,0.0,14.0
82a30ffffffffff,18.0,0.0,3.0
82a31ffffffffff,362.0,0.0,184.0
82a357fffffffff,51.0,0.0,18.0
82a377fffffffff,19.0,0.0,3.0
82a38ffffffffff,116.0,0.0,54.0
82a39ffffffffff,15.0,0.0,13.0
82a3affffffffff,25.0,0.0,13.0
82bc8ffffffffff,34.0,3.0,0.0
82bc9ffffffffff,4.0,0.0,0.0
82bcd7fffffffff,95.0,20.0,0.0
82bcf7fffffffff,273.0,70.0,0.0
