cell_id,Lepidocolaptes affinis,Lepidocolaptes affinis affinis/lignicida,Lepidocolaptes affinis neglectus
8445201ffffffff,12.0,0.0,0.0
8445209ffffffff,13.0,0.0,0.0
844520dffffffff,85.0,0.0,0.0
8445241ffffffff,10.0,0.0,0.0
8445243ffffffff,82.0,0.0,0.0
8445245ffffffff,39.0,0.0,0.0
8445247ffffffff,77.0,0.0,0.0
844524bffffffff,53.0,0.0,0.0
8445253ffffffff,36.0,35.0,0.0
8445255ffffffff,2.0,0.0,0.0
844525bffffffff,109.0,49.0,0.0
844525dffffffff,1.0,1.0,0.0
8445263ffffffff,1.0,0.0,0.0
8445269ffffffff,20.0,0.0,0.0
844526bffffffff,5.0,0.0,0.0
844526dffffffff,39.0,0.0,0.0
8445309ffffffff,2.0,0.0,0.0
8445343ffffffff,10.0,0.0,0.0
8445351ffffffff,105.0,0.0,0.0
8445359ffffffff,2.0,0.0,0.0
8448a21ffffffff,8.0,0.0,0.0
8448a29ffffffff,3.0,0.0,0.0
8448a65ffffffff,4.0,0.0,0.0
8448a67ffffffff,1.0,0.0,0.0
8449827ffffffff,1.0,0.0,0.0
8449901ffffffff,6.0,0.0,0.0
8449903ffffffff,4.0,0.0,0.0
8449905ffffffff,1.0,0.0,0.0
844990bffffffff,6.0,0.0,0.0
844990dffffffff,4.0,0.0,0.0
8449911ffffffff,8.0,0.0,0.0
8449913ffffffff,9.0,0.0,0.0
8449917ffffffff,32.0,0.0,0.0
844991dffffffff,28.0,3.0,0.0
8449945ffffffff,5.0,0.0,0.0
8449961ffffffff,4.0,0.0,0.0
8449963ffffffff,354.0,37.0,0.0
8449969ffffffff,12.0,0.0,0.0
844996bffffffff,25.0,0.0,0.0
8449981ffffffff,18.0,0.0,0.0
8449983ffffffff,1.0,0.0,0.0
8449985ffffffff,2.0,0.0,0.0
8449987ffffffff,92.0,2.0,0.0
844998dffffffff,3.0,0.0,0.0
84499b1ffffffff,1.0,0.0,0.0
84499b3ffffffff,2.0,0.0,0.0
84499bbffffffff,4.0,0.0,0.0
84499c1ffffffff,6.0,0.0,0.0
84499c5ffffffff,31.0,0.0,0.0
84499c9ffffffff,5.0,0.0,0.0
84499cdffffffff,21.0,0.0,0.0
8449b19ffffffff,66.0,0.0,0.0
8449b1dffffffff,33.0,0.0,0.0
8449b57ffffffff,6.0,0.0,0.0
8449b67ffffffff,2.0,0.0,0.0
8466a29ffffffff,1.0,0.0,0.0
8466a2dffffffff,27.0,0.0,0.0
8466b41ffffffff,1278.0,0.0,0.0
8466b43ffffffff,9.0,0.0,0.0
8466b45ffffffff,3352.0,0.0,0.0
8466b49ffffffff,11.0,0.0,0.0
8466b4dffffffff,1317.0,0.0,0.0
8466b51ffffffff,1337.0,0.0,0.0
8466b53ffffffff,5.0,0.0,0.0
8466b55ffffffff,32.0,0.0,0.0
8466b5bffffffff,65.0,0.0,0.0
8466b5dffffffff,59.0,0.0,0.0
84679a7ffffffff,23.0,0.0,0.0
846d04bffffffff,2.0,0.0,0.0
846d059ffffffff,44.0,0.0,0.0
846d05bffffffff,561.0,56.0,0.0
846d207ffffffff,105.0,2.0,0.0
846d215ffffffff,3.0,0.0,0.0
846d217ffffffff,10.0,0.0,0.0
846d237ffffffff,2.0,0.0,0.0
846d239ffffffff,5.0,0.0,0.0
846d23bffffffff,517.0,18.0,0.0
846d281ffffffff,4.0,0.0,0.0
846d283ffffffff,566.0,109.0,0.0
846d285ffffffff,2.0,0.0,0.0
846d287ffffffff,83.0,15.0,0.0
846d289ffffffff,2.0,0.0,0.0
846d28dffffffff,13.0,3.0,0.0
846d291ffffffff,278.0,29.0,0.0
846d293ffffffff,2.0,2.0,0.0
846d295ffffffff,239.0,32.0,0.0
846d299ffffffff,12.0,0.0,0.0
846d29bffffffff,12.0,6.0,0.0
846d2a9ffffffff,116.0,12.0,0.0
846d2abffffffff,95.0,6.0,0.0
846d2b9ffffffff,667.0,45.0,0.0
846d2c7ffffffff,22.0,0.0,0.0
846d2d1ffffffff,64.0,9.0,0.0
846d2d3ffffffff,295.0,116.0,0.0
846d2d5ffffffff,2.0,0.0,0.0
846d2d7ffffffff,358.0,190.0,0.0
846d2ddffffffff,3.0,0.0,0.0
846d2e5ffffffff,8.0,0.0,0.0
846d2e7ffffffff,8.0,0.0,0.0
846d2e9ffffffff,24.0,0.0,0.0
846d2ebffffffff,105.0,6.0,0.0
846d305ffffffff,243.0,19.0,0.0
846d307ffffffff,18.0,0.0,0.0
846d32bffffffff,717.0,92.0,0.0
846d335ffffffff,57.0,14.0,0.0
846d337ffffffff,177.0,31.0,0.0
846d34bffffffff,5.0,0.0,0.0
846d35dffffffff,86.0,11.0,0.0
846d361ffffffff,6.0,0.0,0.0
846d36dffffffff,25.0,1.0,0.0
846d641ffffffff,9.0,0.0,0.0
846d645ffffffff,167.0,0.0,0.0
846d64bffffffff,3.0,0.0,0.0
846d64dffffffff,204.0,0.0,0.0
846d651ffffffff,7.0,0.0,0.0
846d653ffffffff,21.0,0.0,0.0
846d655ffffffff,39.0,0.0,0.0
846d65bffffffff,1.0,0.0,0.0
846d65dffffffff,2.0,0.0,0.0
846d66dffffffff,163.0,0.0,0.0
846d691ffffffff,306.0,0.0,0.0
846d693ffffffff,73.0,0.0,0.0
846d69bffffffff,562.0,0.0,0.0
846d741ffffffff,229.0,0.0,0.0
846d745ffffffff,4.0,0.0,0.0
846d749ffffffff,81.0,0.0,0.0
846d75dffffffff,1.0,0.0,0.0
