cell_id,Amandava amandava,Amandava amandava amandava/punicea,Amandava amandava flavidiventris
84209a5ffffffff,13.0,0.0,0.0
8439007ffffffff,4.0,0.0,0.0
8439009ffffffff,4.0,0.0,0.0
843900bffffffff,447.0,0.0,0.0
8439015ffffffff,1.0,0.0,0.0
8439019ffffffff,4.0,0.0,0.0
843901dffffffff,52.0,0.0,0.0
8439021ffffffff,2.0,0.0,0.0
8439023ffffffff,3.0,0.0,0.0
8439029ffffffff,75.0,0.0,0.0
843902bffffffff,110.0,0.0,0.0
843902dffffffff,13.0,0.0,0.0
8439031ffffffff,2.0,0.0,0.0
8439039ffffffff,161.0,0.0,0.0
843903bffffffff,186.0,0.0,0.0
843903dffffffff,44.0,0.0,0.0
8439057ffffffff,55.0,0.0,0.0
8439065ffffffff,11.0,0.0,0.0
84390c1ffffffff,5.0,0.0,0.0
84390c3ffffffff,7.0,0.0,0.0
84390cbffffffff,306.0,0.0,0.0
8439151ffffffff,7.0,0.0,0.0
8439153ffffffff,11.0,0.0,0.0
8439159ffffffff,23.0,0.0,0.0
8439181ffffffff,1.0,0.0,0.0
8439183ffffffff,1.0,0.0,0.0
8439191ffffffff,3.0,0.0,0.0
8439197ffffffff,71.0,0.0,0.0
84391a9ffffffff,6.0,0.0,0.0
84391c7ffffffff,53.0,0.0,0.0
84391ebffffffff,5.0,0.0,0.0
8439333ffffffff,3.0,0.0,0.0
843c029ffffffff,133.0,0.0,0.0
843c02dffffffff,25.0,0.0,0.0
843c159ffffffff,26.0,0.0,0.0
843c15bffffffff,2.0,0.0,0.0
843c165ffffffff,2.0,0.0,0.0
843c1b5ffffffff,43.0,0.0,0.0
843c1e9ffffffff,2.0,0.0,0.0
843c305ffffffff,1.0,0.0,0.0
843c329ffffffff,2.0,0.0,0.0
843c333ffffffff,2.0,0.0,0.0
843c335ffffffff,18.0,0.0,0.0
843c337ffffffff,1.0,0.0,0.0
843c33dffffffff,8.0,0.0,0.0
843c369ffffffff,25.0,0.0,0.0
843c36bffffffff,6.0,0.0,0.0
843c805ffffffff,41.0,0.0,0.0
843c807ffffffff,7.0,0.0,0.0
843c809ffffffff,4.0,0.0,0.0
843c80dffffffff,44.0,0.0,0.0
843c82dffffffff,1.0,0.0,0.0
843c839ffffffff,3.0,0.0,0.0
843c843ffffffff,8.0,0.0,0.0
843c855ffffffff,2.0,0.0,0.0
843c8cbffffffff,1.0,0.0,0.0
843c8d9ffffffff,12.0,0.0,0.0
843c8dbffffffff,15.0,0.0,0.0
843c8e1ffffffff,2.0,0.0,0.0
843c8e5ffffffff,52.0,0.0,0.0
843c8e7ffffffff,8.0,0.0,0.0
843c8edffffffff,29.0,0.0,0.0
843c909ffffffff,1.0,0.0,0.0
843c90bffffffff,8.0,0.0,0.0
843c915ffffffff,3.0,0.0,0.0
843c921ffffffff,2.0,0.0,0.0
843c925ffffffff,6.0,0.0,0.0
843c92bffffffff,2.0,0.0,0.0
843c92dffffffff,3.0,0.0,0.0
843c931ffffffff,1.0,0.0,0.0
843c93bffffffff,10.0,0.0,0.0
843c943ffffffff,25.0,0.0,0.0
843c947ffffffff,1.0,0.0,0.0
843c94bffffffff,2.0,0.0,0.0
843c951ffffffff,2.0,0.0,0.0
843c953ffffffff,1.0,0.0,0.0
843c955ffffffff,5.0,0.0,0.0
843c959ffffffff,31.0,0.0,0.0
843c95bffffffff,8.0,0.0,0.0
843c96dffffffff,3.0,0.0,0.0
843c9c1ffffffff,5.0,0.0,0.0
843c9c3ffffffff,3.0,0.0,0.0
843c9e9ffffffff,16.0,0.0,0.0
843ca25ffffffff,48.0,0.0,0.0
843ca27ffffffff,3.0,0.0,0.0
843ca2dffffffff,5.0,0.0,0.0
843ca47ffffffff,1.0,0.0,0.0
843ca83ffffffff,2.0,0.0,0.0
843ca87ffffffff,8.0,0.0,0.0
843ca8dffffffff,14.0,0.0,0.0
843ca95ffffffff,4.0,0.0,0.0
843ca97ffffffff,80.0,0.0,0.0
843ca9dffffffff,19.0,0.0,0.0
843cab9ffffffff,20.0,0.0,0.0
843cabbffffffff,3.0,0.0,0.0
843cac3ffffffff,2.0,0.0,0.0
843cae3ffffffff,5.0,0.0,0.0
843cb03ffffffff,55.0,0.0,0.0
843cb0bffffffff,12.0,0.0,0.0
843cb11ffffffff,129.0,0.0,0.0
843cb15ffffffff,231.0,0.0,0.0
843cb19ffffffff,81.0,0.0,0.0
843cb1dffffffff,893.0,0.0,0.0
843cb29ffffffff,2.0,0.0,0.0
843cb35ffffffff,3.0,0.0,0.0
843cb39ffffffff,49.0,0.0,0.0
843cb3bffffffff,2.0,0.0,0.0
843cb3dffffffff,3.0,0.0,0.0
843cb41ffffffff,5.0,0.0,0.0
843cb45ffffffff,14.0,0.0,0.0
843cb47ffffffff,9.0,0.0,0.0
843cb4bffffffff,3.0,0.0,0.0
843cb4dffffffff,6.0,0.0,0.0
843cb51ffffffff,12.0,0.0,0.0
843cb57ffffffff,2.0,0.0,0.0
843cb59ffffffff,3.0,0.0,0.0
843cb5dffffffff,61.0,0.0,0.0
843cb61ffffffff,6.0,0.0,0.0
843cb65ffffffff,29.0,0.0,0.0
843cb69ffffffff,30.0,0.0,0.0
843cb6bffffffff,26.0,0.0,0.0
843cb6dffffffff,19.0,0.0,0.0
843cc43ffffffff,14.0,0.0,0.0
843cc83ffffffff,2.0,0.0,0.0
843ccb5ffffffff,6.0,0.0,0.0
843cd91ffffffff,29.0,0.0,0.0
843cd9bffffffff,3.0,0.0,0.0
843cdbbffffffff,2.0,0.0,0.0
843ce13ffffffff,10.0,0.0,0.0
843ce1bffffffff,2.0,0.0,0.0
843cec1ffffffff,2.0,0.0,0.0
843cec3ffffffff,8.0,0.0,0.0
843cf0dffffffff,3.0,0.0,0.0
843cf11ffffffff,10.0,0.0,0.0
843cf13ffffffff,15.0,0.0,0.0
843cf15ffffffff,4.0,0.0,0.0
843cf17ffffffff,6.0,0.0,0.0
843cf21ffffffff,4.0,0.0,0.0
843cf29ffffffff,633.0,2.0,0.0
843cf2dffffffff,30.0,0.0,0.0
843cf41ffffffff,12.0,0.0,0.0
843cf43ffffffff,19.0,0.0,0.0
843cf47ffffffff,14.0,0.0,0.0
843cf61ffffffff,22.0,0.0,0.0
843cf65ffffffff,57.0,0.0,0.0
843cf67ffffffff,56.0,0.0,0.0
843cf69ffffffff,9.0,0.0,0.0
843cf6dffffffff,2.0,0.0,0.0
843d101ffffffff,9.0,0.0,0.0
843d107ffffffff,158.0,0.0,0.0
843d109ffffffff,1.0,0.0,0.0
