cell_id,Toxostoma curvirostre,Toxostoma curvirostre [curvirostre Group],Toxostoma curvirostre [palmeri Group]
831259fffffffff,1.0,0.0,0.0
8312cafffffffff,1.0,0.0,0.0
832664fffffffff,17.0,0.0,0.0
832681fffffffff,51.0,0.0,0.0
832683fffffffff,3.0,0.0,2.0
832685fffffffff,15.0,0.0,0.0
832688fffffffff,1816.0,139.0,0.0
832689fffffffff,3.0,0.0,0.0
83268cfffffffff,7.0,0.0,0.0
83268dfffffffff,4.0,0.0,0.0
832699fffffffff,2.0,0.0,0.0
83269dfffffffff,10.0,0.0,0.0
8326a8fffffffff,17.0,0.0,0.0
8326a9fffffffff,5.0,0.0,0.0
8326aafffffffff,5.0,0.0,0.0
8326abfffffffff,6.0,0.0,0.0
8326acfffffffff,1.0,0.0,0.0
8326c8fffffffff,2.0,0.0,0.0
8326d4fffffffff,22.0,0.0,0.0
8326ddfffffffff,1.0,0.0,0.0
8326f0fffffffff,3.0,0.0,0.0
8326f2fffffffff,28.0,1.0,0.0
8326f3fffffffff,31.0,3.0,0.0
8326f5fffffffff,2.0,0.0,0.0
8326f6fffffffff,2.0,0.0,0.0
832703fffffffff,1.0,0.0,0.0
83270bfffffffff,7.0,0.0,0.0
83271cfffffffff,4.0,0.0,0.0
832830fffffffff,72.0,19.0,0.0
832832fffffffff,2.0,0.0,0.0
832986fffffffff,2.0,0.0,0.0
83298cfffffffff,56.0,0.0,1.0
832995fffffffff,1.0,0.0,0.0
83299afffffffff,7.0,0.0,0.0
8329a1fffffffff,6.0,0.0,0.0
8329a5fffffffff,5.0,0.0,0.0
8329a6fffffffff,37.0,0.0,8.0
8329b0fffffffff,160.0,0.0,3.0
8329b1fffffffff,92.0,0.0,2.0
8329b2fffffffff,9.0,0.0,1.0
8329b4fffffffff,9.0,0.0,0.0
8329b5fffffffff,11.0,0.0,2.0
8329b6fffffffff,48.0,0.0,5.0
834440fffffffff,32.0,0.0,0.0
83446cfffffffff,2.0,0.0,0.0
834809fffffffff,4.0,0.0,4.0
83480afffffffff,2.0,0.0,2.0
834833fffffffff,1.0,0.0,1.0
83485afffffffff,50.0,0.0,6.0
83485bfffffffff,8.0,0.0,0.0
834882fffffffff,10.0,0.0,0.0
834886fffffffff,5.0,0.0,0.0
83488bfffffffff,1.0,1.0,0.0
83488dfffffffff,2.0,2.0,0.0
83488efffffffff,1.0,1.0,0.0
834890fffffffff,12.0,0.0,0.0
834891fffffffff,16.0,0.0,0.0
834892fffffffff,3.0,0.0,0.0
834893fffffffff,2.0,0.0,0.0
834895fffffffff,24.0,0.0,0.0
834898fffffffff,13.0,0.0,0.0
83489cfffffffff,12.0,5.0,0.0
83489efffffffff,3.0,0.0,0.0
8348a0fffffffff,2.0,2.0,0.0
8348a6fffffffff,1.0,1.0,0.0
8348abfffffffff,4.0,4.0,0.0
8348b1fffffffff,3.0,1.0,0.0
8348b2fffffffff,1.0,1.0,0.0
8348b3fffffffff,14.0,2.0,0.0
8348c0fffffffff,1.0,1.0,0.0
8348c1fffffffff,1.0,0.0,0.0
8348c5fffffffff,184.0,183.0,1.0
8348cefffffffff,2.0,2.0,0.0
8348d8fffffffff,7.0,7.0,0.0
8348dbfffffffff,1.0,0.0,0.0
8348dcfffffffff,5.0,0.0,0.0
8348defffffffff,11.0,11.0,0.0
8348e3fffffffff,4.0,4.0,0.0
8348e8fffffffff,129.0,0.0,30.0
8348e9fffffffff,2.0,0.0,0.0
8348eafffffffff,22.0,0.0,8.0
8348ebfffffffff,52.0,0.0,17.0
8348ecfffffffff,8.0,0.0,3.0
8348edfffffffff,5.0,0.0,3.0
8348eefffffffff,209.0,1.0,194.0
8348f2fffffffff,13.0,11.0,0.0
8348f3fffffffff,2.0,2.0,0.0
834986fffffffff,2.0,2.0,0.0
834990fffffffff,3.0,0.0,0.0
834994fffffffff,5.0,5.0,0.0
834995fffffffff,5.0,5.0,0.0
834996fffffffff,2.0,0.0,0.0
83499bfffffffff,4.0,4.0,0.0
83499cfffffffff,12.0,3.0,0.0
8349aafffffffff,2.0,2.0,0.0
836d32fffffffff,5.0,2.0,0.0
