cell_id,Aethopyga saturata,Aethopyga saturata [saturata Group],Aethopyga saturata johnsi
833c02fffffffff,321.0,2.0,0.0
833c03fffffffff,2.0,0.0,0.0
833c06fffffffff,12.0,1.0,0.0
833c0afffffffff,473.0,0.0,0.0
833c0bfffffffff,111.0,0.0,0.0
833c19fffffffff,120.0,0.0,0.0
833c1dfffffffff,215.0,0.0,0.0
833c30fffffffff,3.0,0.0,0.0
833c31fffffffff,45.0,0.0,0.0
833c33fffffffff,9.0,0.0,0.0
833c34fffffffff,4.0,0.0,0.0
833c43fffffffff,17.0,0.0,0.0
833c52fffffffff,619.0,0.0,0.0
833c53fffffffff,37.0,0.0,0.0
833c56fffffffff,2.0,0.0,0.0
833c58fffffffff,616.0,0.0,0.0
833c59fffffffff,14.0,0.0,0.0
833c5afffffffff,427.0,0.0,0.0
833c5bfffffffff,567.0,0.0,0.0
833c5cfffffffff,194.0,0.0,0.0
833c5efffffffff,31.0,0.0,0.0
833cc0fffffffff,33.0,0.0,0.0
833cd8fffffffff,5.0,0.0,0.0
833cddfffffffff,6.0,0.0,0.0
833ce1fffffffff,3.0,0.0,0.0
833ce2fffffffff,5.0,0.0,0.0
833ce4fffffffff,109.0,0.0,0.0
833ce5fffffffff,483.0,0.0,0.0
833ce8fffffffff,31.0,0.0,0.0
833ce9fffffffff,1.0,0.0,0.0
833ceafffffffff,2.0,0.0,0.0
833cebfffffffff,5.0,0.0,0.0
833cecfffffffff,36.0,0.0,0.0
833d10fffffffff,8.0,0.0,0.0
833d11fffffffff,5.0,0.0,0.0
833d13fffffffff,24.0,0.0,0.0
833d1afffffffff,13.0,0.0,0.0
833d1efffffffff,109.0,0.0,0.0
833dadfffffffff,617.0,0.0,0.0
83402dfffffffff,64.0,0.0,0.0
834041fffffffff,2.0,0.0,0.0
834045fffffffff,1.0,0.0,0.0
83404cfffffffff,107.0,1.0,0.0
83404dfffffffff,123.0,0.0,0.0
83404efffffffff,2.0,0.0,0.0
834059fffffffff,21.0,0.0,0.0
834061fffffffff,19.0,0.0,0.0
834065fffffffff,39.0,0.0,0.0
834066fffffffff,3.0,0.0,0.0
83406bfffffffff,49.0,0.0,0.0
83406cfffffffff,1.0,0.0,0.0
834148fffffffff,1.0,0.0,0.0
834149fffffffff,5.0,0.0,0.0
83414cfffffffff,10.0,0.0,0.0
83414dfffffffff,2.0,0.0,0.0
83414efffffffff,1.0,0.0,0.0
834158fffffffff,6.0,0.0,0.0
834159fffffffff,15.0,0.0,0.0
83415afffffffff,20.0,1.0,0.0
83415cfffffffff,3.0,0.0,0.0
83415efffffffff,7.0,0.0,0.0
834161fffffffff,2.0,0.0,0.0
834165fffffffff,11.0,0.0,0.0
83416afffffffff,2.0,0.0,0.0
83416bfffffffff,3.0,0.0,0.0
836412fffffffff,2.0,0.0,0.0
836416fffffffff,292.0,0.0,0.0
836480fffffffff,3.0,0.0,0.0
836482fffffffff,1131.0,0.0,0.0
836483fffffffff,1.0,0.0,0.0
836484fffffffff,7.0,0.0,0.0
836485fffffffff,1.0,0.0,0.0
836490fffffffff,25.0,0.0,0.0
836491fffffffff,758.0,0.0,0.0
836492fffffffff,1.0,0.0,0.0
836494fffffffff,77.0,0.0,0.0
836495fffffffff,7.0,0.0,0.0
836496fffffffff,1.0,0.0,0.0
836498fffffffff,64.0,0.0,0.0
8364a1fffffffff,7.0,0.0,0.0
8364a3fffffffff,104.0,0.0,0.0
8364a5fffffffff,8.0,0.0,0.0
8364b0fffffffff,50.0,0.0,0.0
8364b1fffffffff,42.0,0.0,0.0
8364b3fffffffff,2.0,0.0,0.0
8364b5fffffffff,44.0,0.0,0.0
836500fffffffff,848.0,0.0,0.0
836503fffffffff,70.0,0.0,0.0
836505fffffffff,39.0,0.0,0.0
836580fffffffff,64.0,0.0,0.0
836581fffffffff,18.0,0.0,0.0
836583fffffffff,2.0,0.0,0.0
836585fffffffff,66.0,0.0,0.0
836592fffffffff,1.0,0.0,0.0
836596fffffffff,15.0,0.0,0.0
836599fffffffff,435.0,0.0,0.0
8365b2fffffffff,95.0,0.0,0.0
8365b3fffffffff,19.0,0.0,0.0
8365b6fffffffff,223.0,0.0,55.0
836934fffffffff,131.0,0.0,0.0
