cell_id,Aphelocoma woodhouseii,Aphelocoma woodhouseii [woodhouseii Group],Aphelocoma woodhouseii sumichrasti/remota
832680fffffffff,10.0,10.0,0.0
832681fffffffff,36.0,10.0,0.0
832682fffffffff,2.0,0.0,0.0
832683fffffffff,3.0,0.0,0.0
832685fffffffff,2.0,0.0,0.0
832688fffffffff,15.0,5.0,0.0
832689fffffffff,103.0,16.0,0.0
83268afffffffff,2.0,0.0,0.0
83268bfffffffff,15.0,15.0,0.0
83268cfffffffff,82.0,10.0,0.0
83268dfffffffff,15.0,0.0,0.0
83268efffffffff,6.0,0.0,0.0
832690fffffffff,30.0,13.0,0.0
832692fffffffff,14.0,12.0,0.0
832693fffffffff,2.0,2.0,0.0
832694fffffffff,2.0,2.0,0.0
832695fffffffff,2.0,0.0,0.0
832696fffffffff,483.0,430.0,0.0
832698fffffffff,7.0,1.0,0.0
832699fffffffff,8.0,1.0,0.0
83269afffffffff,6.0,5.0,0.0
83269bfffffffff,5.0,0.0,0.0
83269cfffffffff,21.0,9.0,0.0
83269dfffffffff,26.0,7.0,0.0
83269efffffffff,58.0,58.0,0.0
8326aafffffffff,18.0,0.0,0.0
8326abfffffffff,4.0,2.0,0.0
8326d1fffffffff,2.0,0.0,0.0
8326d2fffffffff,2.0,0.0,0.0
8326d3fffffffff,3.0,0.0,0.0
8326d4fffffffff,157.0,4.0,0.0
8326d5fffffffff,1.0,0.0,0.0
8326d6fffffffff,6.0,5.0,0.0
8326dbfffffffff,1.0,1.0,0.0
8326f0fffffffff,7.0,0.0,0.0
8326f2fffffffff,63.0,2.0,0.0
8326f3fffffffff,10.0,0.0,0.0
832894fffffffff,6.0,0.0,0.0
8328b0fffffffff,1.0,1.0,0.0
8328b6fffffffff,99.0,10.0,0.0
832980fffffffff,5.0,5.0,0.0
832981fffffffff,75.0,2.0,0.0
832984fffffffff,51.0,23.0,0.0
832985fffffffff,99.0,4.0,0.0
832986fffffffff,28.0,28.0,0.0
832989fffffffff,2.0,0.0,0.0
83298afffffffff,4.0,2.0,0.0
83298cfffffffff,187.0,17.0,0.0
83298dfffffffff,6.0,6.0,0.0
832990fffffffff,26.0,24.0,0.0
832991fffffffff,2.0,2.0,0.0
832992fffffffff,19.0,19.0,0.0
832993fffffffff,4.0,4.0,0.0
832994fffffffff,74.0,72.0,0.0
832995fffffffff,35.0,27.0,0.0
832996fffffffff,1.0,1.0,0.0
832999fffffffff,2.0,2.0,0.0
83299bfffffffff,8.0,8.0,0.0
83299efffffffff,2.0,2.0,0.0
8329a1fffffffff,4.0,4.0,0.0
8329a3fffffffff,6.0,1.0,0.0
8329aafffffffff,277.0,37.0,0.0
8329aefffffffff,18.0,0.0,0.0
8329b0fffffffff,76.0,46.0,0.0
8329b1fffffffff,110.0,95.0,0.0
8329b2fffffffff,42.0,40.0,0.0
8329b3fffffffff,10.0,10.0,0.0
8329b4fffffffff,7.0,0.0,0.0
8329b5fffffffff,3.0,1.0,0.0
8329b6fffffffff,36.0,33.0,0.0
83485bfffffffff,2.0,0.0,0.0
834883fffffffff,12.0,12.0,0.0
834888fffffffff,3.0,3.0,0.0
83488afffffffff,2.0,0.0,0.0
83488dfffffffff,211.0,0.0,0.0
83488efffffffff,5.0,5.0,0.0
834893fffffffff,2.0,0.0,0.0
834898fffffffff,1.0,1.0,0.0
834899fffffffff,1.0,1.0,0.0
83489bfffffffff,6.0,6.0,0.0
83489cfffffffff,7.0,0.0,0.0
83489dfffffffff,31.0,31.0,0.0
8348abfffffffff,9.0,1.0,0.0
8348c0fffffffff,3.0,3.0,0.0
8348c1fffffffff,2.0,2.0,0.0
8348c2fffffffff,6.0,6.0,0.0
8348c5fffffffff,21.0,3.0,0.0
8348c6fffffffff,29.0,20.0,0.0
8348ccfffffffff,5.0,2.0,0.0
8348cdfffffffff,36.0,24.0,0.0
8348d0fffffffff,8.0,0.0,0.0
8348d2fffffffff,2.0,0.0,0.0
8348d4fffffffff,30.0,30.0,0.0
8348d8fffffffff,19.0,15.0,0.0
8348dafffffffff,1.0,1.0,0.0
8348dcfffffffff,5.0,3.0,0.0
8348e3fffffffff,10.0,6.0,0.0
8348e8fffffffff,547.0,121.0,0.0
8348eafffffffff,9.0,8.0,0.0
8348ebfffffffff,61.0,47.0,0.0
8348ecfffffffff,26.0,5.0,0.0
8348eefffffffff,255.0,56.0,0.0
8348f2fffffffff,32.0,1.0,0.0
834982fffffffff,2.0,0.0,0.0
834983fffffffff,3.0,2.0,0.0
83498cfffffffff,1.0,0.0,0.0
834990fffffffff,2.0,0.0,2.0
834994fffffffff,6.0,0.0,5.0
834995fffffffff,2.0,0.0,0.0
8349a2fffffffff,2.0,0.0,0.0
836d32fffffffff,25.0,0.0,23.0
836d33fffffffff,4.0,0.0,4.0
