cell_id,Gygis alba,Gygis alba alba,Gygis alba candida/leucopes,Gygis alba microrhyncha
824607fffffffff,6.0,0.0,0.0,0.0
82460ffffffffff,28.0,0.0,0.0,0.0
824637fffffffff,96.0,0.0,0.0,0.0
824647fffffffff,51.0,0.0,0.0,0.0
82464ffffffffff,2511.0,0.0,924.0,0.0
824657fffffffff,30.0,0.0,0.0,0.0
8247a7fffffffff,326.0,0.0,1.0,0.0
824a4ffffffffff,1.0,0.0,0.0,0.0
824e47fffffffff,4.0,0.0,2.0,0.0
824e57fffffffff,1.0,0.0,1.0,0.0
824e77fffffffff,4.0,0.0,2.0,0.0
824f47fffffffff,1.0,0.0,0.0,0.0
824f4ffffffffff,1003.0,0.0,192.0,0.0
824f5ffffffffff,3.0,0.0,2.0,0.0
824f67fffffffff,1.0,0.0,0.0,0.0
825a0ffffffffff,1.0,0.0,0.0,0.0
825aeffffffffff,1.0,0.0,1.0,0.0
825b47fffffffff,3.0,0.0,0.0,0.0
825d17fffffffff,309.0,0.0,47.0,0.0
826147fffffffff,4.0,0.0,0.0,0.0
826687fffffffff,3.0,0.0,0.0,0.0
826697fffffffff,1.0,0.0,0.0,0.0
82669ffffffffff,9.0,0.0,0.0,0.0
826c67fffffffff,276.0,0.0,0.0,0.0
826d4ffffffffff,5.0,0.0,0.0,0.0
826e9ffffffffff,1.0,0.0,1.0,0.0
827067fffffffff,37.0,0.0,0.0,0.0
82706ffffffffff,1.0,0.0,0.0,0.0
827237fffffffff,2.0,0.0,0.0,0.0
82724ffffffffff,1.0,0.0,0.0,0.0
82726ffffffffff,1.0,0.0,0.0,0.0
8272cffffffffff,2.0,0.0,0.0,0.0
82731ffffffffff,1399.0,0.0,0.0,0.0
827357fffffffff,5.0,0.0,0.0,0.0
8273affffffffff,8.0,0.0,0.0,0.0
8276b7fffffffff,4.0,0.0,0.0,0.0
82770ffffffffff,4.0,0.0,0.0,0.0
827717fffffffff,3.0,0.0,0.0,0.0
827737fffffffff,11.0,0.0,0.0,0.0
827777fffffffff,4.0,0.0,0.0,0.0
8277affffffffff,1.0,0.0,0.0,0.0
82789ffffffffff,4.0,0.0,0.0,2.0
827b27fffffffff,1.0,0.0,0.0,0.0
827b2ffffffffff,2.0,0.0,0.0,0.0
827b37fffffffff,2.0,0.0,0.0,0.0
827db7fffffffff,2.0,0.0,0.0,0.0
8280b7fffffffff,80.0,0.0,0.0,0.0
82845ffffffffff,1.0,0.0,0.0,0.0
8285a7fffffffff,134.0,0.0,0.0,0.0
8285b7fffffffff,1.0,0.0,0.0,0.0
82881ffffffffff,2.0,0.0,0.0,0.0
828837fffffffff,1.0,0.0,0.0,0.0
8288cffffffffff,1.0,0.0,0.0,0.0
828917fffffffff,4.0,0.0,0.0,0.0
82891ffffffffff,3.0,0.0,0.0,0.0
828927fffffffff,100.0,0.0,7.0,0.0
828937fffffffff,200.0,0.0,24.0,0.0
8289b7fffffffff,2.0,0.0,0.0,0.0
828c47fffffffff,109.0,0.0,0.0,0.0
828c6ffffffffff,183.0,0.0,11.0,0.0
829807fffffffff,1.0,0.0,0.0,0.0
82980ffffffffff,10.0,4.0,0.0,0.0
8298e7fffffffff,3.0,0.0,0.0,0.0
8299a7fffffffff,8.0,4.0,0.0,0.0
829a07fffffffff,10.0,0.0,0.0,0.0
829a17fffffffff,50.0,0.0,0.0,0.0
829b0ffffffffff,7.0,0.0,2.0,0.0
829b1ffffffffff,7.0,0.0,0.0,0.0
829b47fffffffff,3.0,0.0,0.0,0.0
829b4ffffffffff,2.0,0.0,0.0,0.0
829b6ffffffffff,2.0,0.0,0.0,0.0
