cell_id,Chionomesa lactea,Chionomesa lactea lactea/zimmeri,Chionomesa lactea bartletti
825f47fffffffff,2.0,0.0,0.0
825f6ffffffffff,7.0,0.0,0.0
828107fffffffff,22.0,2.0,0.0
828117fffffffff,4.0,0.0,0.0
828127fffffffff,17.0,1.0,0.0
828137fffffffff,289.0,13.0,0.0
8281affffffffff,2.0,0.0,0.0
828b0ffffffffff,4.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0
828b2ffffffffff,6.0,0.0,0.0
828b47fffffffff,537.0,0.0,11.0
828b4ffffffffff,8.0,0.0,3.0
828b57fffffffff,68.0,0.0,23.0
828b5ffffffffff,56.0,0.0,30.0
828b67fffffffff,1417.0,0.0,32.0
828b6ffffffffff,30.0,0.0,0.0
828b77fffffffff,36.0,0.0,0.0
828e67fffffffff,218.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0
828f47fffffffff,1190.0,0.0,15.0
828f4ffffffffff,131.0,0.0,0.0
828f5ffffffffff,51.0,0.0,0.0
828f6ffffffffff,3.0,0.0,0.0
828f77fffffffff,114.0,0.0,5.0
82a597fffffffff,6.0,0.0,0.0
82a807fffffffff,166.0,7.0,0.0
82a817fffffffff,1992.0,52.0,0.0
82a81ffffffffff,2537.0,0.0,0.0
82a82ffffffffff,13.0,0.0,0.0
82a837fffffffff,1.0,0.0,0.0
82a887fffffffff,702.0,2.0,0.0
82a88ffffffffff,124.0,3.0,0.0
82a897fffffffff,74.0,10.0,0.0
82a89ffffffffff,10.0,0.0,0.0
82a8a7fffffffff,364.0,2.0,0.0
82a8affffffffff,382.0,7.0,0.0
82a8d7fffffffff,2.0,0.0,0.0
82a8f7fffffffff,60.0,0.0,0.0
82a957fffffffff,4.0,0.0,0.0
82b327fffffffff,11.0,0.0,0.0
