cell_id,Hypsipetes leucocephalus,Hypsipetes leucocephalus [psaroides Group],Hypsipetes leucocephalus sinensis/ambiens,Hypsipetes leucocephalus [leucocephalus Group],Hypsipetes leucocephalus perniger,Hypsipetes leucocephalus nigerrimus
84209a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84309a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84309b3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843c029ffffffff,8.0,2.0,0.0,0.0,0.0,0.0
843c02dffffffff,5.0,2.0,0.0,0.0,0.0,0.0
843c063ffffffff,3.0,3.0,0.0,0.0,0.0,0.0
843c0a5ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
843c0adffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843c199ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
843c1d1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843c1d3ffffffff,19.0,0.0,0.0,0.0,0.0,0.0
843c5bdffffffff,3.0,0.0,0.0,3.0,0.0,0.0
843c5cbffffffff,2.0,2.0,0.0,0.0,0.0,0.0
843cc09ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843cc11ffffffff,3.0,0.0,0.0,3.0,0.0,0.0
843ccc9ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
843cdcdffffffff,11.0,0.0,0.0,0.0,0.0,0.0
843ce4dffffffff,10.0,0.0,0.0,0.0,0.0,0.0
843ce55ffffffff,6.0,4.0,0.0,0.0,0.0,0.0
843ce85ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
843cea1ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
843cebdffffffff,2.0,0.0,0.0,2.0,0.0,0.0
843d101ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843d119ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
843d135ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843d137ffffffff,6.0,4.0,0.0,0.0,0.0,0.0
843d13dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843d147ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843d149ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843d153ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843d157ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
843d16bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843d323ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843d335ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843d33dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843dac9ffffffff,34.0,0.0,0.0,0.0,0.0,0.0
843dad1ffffffff,8.0,8.0,0.0,0.0,0.0,0.0
843dad9ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
843daddffffffff,4.0,4.0,0.0,0.0,0.0,0.0
84402d7ffffffff,8.0,0.0,0.0,4.0,0.0,0.0
8440439ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84404c1ffffffff,6.0,0.0,3.0,3.0,0.0,0.0
84404c5ffffffff,12.0,5.0,0.0,7.0,0.0,0.0
84404c7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84404cbffffffff,3.0,0.0,0.0,3.0,0.0,0.0
8440529ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
84406b7ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8440a8dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8440b53ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8440e11ffffffff,5.0,0.0,0.0,5.0,0.0,0.0
8440e17ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8440e37ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8440ec1ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8441035ffffffff,17.0,0.0,0.0,3.0,0.0,0.0
8441037ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84411b5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84411c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84411cbffffffff,18.0,0.0,0.0,0.0,0.0,0.0
84414c3ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8441585ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8441659ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84416e1ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
84416e7ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8441921ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8441a43ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8441a55ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8441b43ffffffff,15.0,0.0,0.0,7.0,0.0,0.0
8441b53ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8441b55ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8441b5dffffffff,30.0,0.0,0.0,3.0,0.0,0.0
844b26dffffffff,7.0,0.0,0.0,3.0,0.0,0.0
844b845ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
844b849ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
844b869ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
844b86dffffffff,8.0,0.0,0.0,0.0,0.0,4.0
844ba01ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
844ba03ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
844ba05ffffffff,7.0,0.0,0.0,1.0,0.0,0.0
844ba07ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
844ba0bffffffff,26.0,0.0,0.0,0.0,0.0,2.0
844ba15ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
844ba1dffffffff,9.0,0.0,0.0,0.0,0.0,2.0
844ba21ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
844ba25ffffffff,29.0,0.0,0.0,0.0,0.0,0.0
844ba27ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
844ba2bffffffff,78.0,0.0,0.0,0.0,0.0,0.0
844ba35ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
844ba39ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
844ba3dffffffff,7.0,0.0,0.0,0.0,0.0,0.0
844ba57ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
844bb11ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
844bb19ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8464b5dffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8465993ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8465b2bffffffff,4.0,2.0,0.0,2.0,0.0,0.0
8469345ffffffff,14.0,0.0,0.0,14.0,0.0,0.0
