cell_id,Thalasseus sandvicensis,Thalasseus sandvicensis sandvicensis,Thalasseus sandvicensis acuflavidus,Thalasseus sandvicensis eurygnathus,Thalasseus sandvicensis acuflavidus x eurygnathus
830743fffffffff,4.0,0.0,0.0,0.0,0.0
830773fffffffff,2.0,0.0,0.0,0.0,0.0
830896fffffffff,2.0,0.0,0.0,0.0,0.0
83089bfffffffff,2.0,0.0,0.0,0.0,0.0
830991fffffffff,5.0,0.0,0.0,0.0,0.0
831801fffffffff,4.0,0.0,0.0,0.0,0.0
831805fffffffff,11.0,9.0,0.0,0.0,0.0
831828fffffffff,9.0,5.0,0.0,0.0,0.0
83182cfffffffff,9.0,9.0,0.0,0.0,0.0
83182efffffffff,35.0,30.0,0.0,0.0,0.0
831845fffffffff,9.0,0.0,0.0,0.0,0.0
831849fffffffff,35.0,6.0,0.0,0.0,0.0
83184afffffffff,3.0,0.0,0.0,0.0,0.0
83184bfffffffff,8.0,2.0,0.0,0.0,0.0
831859fffffffff,2.0,0.0,0.0,0.0,0.0
83185bfffffffff,52.0,2.0,0.0,0.0,0.0
831870fffffffff,1.0,0.0,0.0,0.0,0.0
831871fffffffff,3.0,2.0,0.0,0.0,0.0
831908fffffffff,2.0,0.0,0.0,0.0,0.0
83190afffffffff,5.0,0.0,0.0,0.0,0.0
83190bfffffffff,2.0,0.0,0.0,0.0,0.0
83190efffffffff,2.0,0.0,0.0,0.0,0.0
83192bfffffffff,5.0,0.0,0.0,0.0,0.0
831940fffffffff,21.0,6.0,0.0,0.0,0.0
831942fffffffff,2.0,0.0,0.0,0.0,0.0
831943fffffffff,2.0,0.0,0.0,0.0,0.0
831946fffffffff,2.0,2.0,0.0,0.0,0.0
831948fffffffff,35.0,7.0,0.0,0.0,0.0
83194cfffffffff,4.0,2.0,0.0,0.0,0.0
83194dfffffffff,4.0,0.0,0.0,0.0,0.0
83194efffffffff,2.0,0.0,0.0,0.0,0.0
831951fffffffff,13.0,5.0,0.0,0.0,0.0
831959fffffffff,70.0,17.0,0.0,0.0,0.0
83195dfffffffff,1.0,0.0,0.0,0.0,0.0
83196bfffffffff,23.0,0.0,0.0,0.0,0.0
831972fffffffff,1.0,0.0,0.0,0.0,0.0
