cell_id,Pericrocotus speciosus,Pericrocotus speciosus [speciosus Group],Pericrocotus speciosus leytensis/novus,Pericrocotus speciosus [marchesae Group],Pericrocotus speciosus exul/siebersi
823c07fffffffff,501.0,30.0,0.0,0.0,0.0
823c0ffffffffff,380.0,13.0,0.0,0.0,0.0
823c17fffffffff,165.0,1.0,0.0,0.0,0.0
823c1ffffffffff,1497.0,0.0,0.0,0.0,0.0
823c37fffffffff,145.0,3.0,0.0,0.0,0.0
823c57fffffffff,514.0,0.0,0.0,0.0,0.0
823c5ffffffffff,1591.0,0.0,0.0,0.0,0.0
823c87fffffffff,47.0,0.0,0.0,0.0,0.0
823c8ffffffffff,175.0,0.0,0.0,0.0,0.0
823c97fffffffff,968.0,0.0,0.0,0.0,0.0
823c9ffffffffff,3.0,0.0,0.0,0.0,0.0
823ca7fffffffff,26.0,0.0,0.0,0.0,0.0
823caffffffffff,27.0,0.0,0.0,0.0,0.0
823cb7fffffffff,1187.0,0.0,0.0,0.0,0.0
823cc7fffffffff,381.0,0.0,0.0,0.0,0.0
823ccffffffffff,62.0,8.0,0.0,0.0,0.0
823cd7fffffffff,30.0,0.0,0.0,0.0,0.0
823cdffffffffff,41.0,7.0,0.0,0.0,0.0
823ce7fffffffff,2088.0,90.0,0.0,0.0,0.0
823ceffffffffff,1041.0,0.0,0.0,0.0,0.0
823cf7fffffffff,34.0,0.0,0.0,0.0,0.0
823d17fffffffff,921.0,0.0,0.0,0.0,0.0
823d1ffffffffff,97.0,0.0,0.0,0.0,0.0
823d9ffffffffff,215.0,0.0,0.0,0.0,0.0
823daffffffffff,1620.0,0.0,0.0,0.0,0.0
82402ffffffffff,30.0,3.0,0.0,0.0,0.0
824047fffffffff,10.0,0.0,0.0,0.0,0.0
82404ffffffffff,361.0,11.0,0.0,0.0,0.0
82405ffffffffff,7.0,1.0,0.0,0.0,0.0
824067fffffffff,91.0,1.0,0.0,0.0,0.0
82406ffffffffff,52.0,0.0,0.0,0.0,0.0
824077fffffffff,2.0,0.0,0.0,0.0,0.0
824107fffffffff,17.0,1.0,0.0,0.0,0.0
82410ffffffffff,1.0,0.0,0.0,0.0,0.0
824117fffffffff,5.0,0.0,0.0,0.0,0.0
82411ffffffffff,1074.0,74.0,0.0,0.0,0.0
824147fffffffff,112.0,19.0,0.0,0.0,0.0
82414ffffffffff,32.0,0.0,0.0,0.0,0.0
82415ffffffffff,55.0,10.0,0.0,0.0,0.0
824167fffffffff,19.0,3.0,0.0,0.0,0.0
82416ffffffffff,79.0,28.0,0.0,0.0,0.0
824177fffffffff,221.0,37.0,0.0,0.0,0.0
824187fffffffff,22.0,0.0,0.0,0.0,0.0
824197fffffffff,10.0,0.0,0.0,0.0,0.0
82419ffffffffff,7.0,0.0,0.0,0.0,0.0
8241a7fffffffff,14.0,0.0,0.0,0.0,0.0
8241b7fffffffff,45.0,0.0,0.0,0.0,0.0
826097fffffffff,85.0,0.0,0.0,0.0,0.0
8260b7fffffffff,8.0,0.0,0.0,0.0,0.0
82640ffffffffff,1114.0,0.0,0.0,0.0,0.0
826417fffffffff,505.0,177.0,0.0,0.0,0.0
826437fffffffff,105.0,67.0,0.0,0.0,0.0
826487fffffffff,744.0,211.0,0.0,0.0,0.0
82648ffffffffff,10.0,3.0,0.0,0.0,0.0
826497fffffffff,1048.0,318.0,0.0,0.0,0.0
82649ffffffffff,108.0,24.0,0.0,0.0,0.0
8264a7fffffffff,220.0,28.0,0.0,0.0,0.0
8264b7fffffffff,239.0,101.0,0.0,0.0,0.0
8264e7fffffffff,822.0,0.0,0.0,0.0,0.0
826507fffffffff,425.0,16.0,0.0,0.0,0.0
82651ffffffffff,258.0,91.0,0.0,0.0,0.0
826527fffffffff,227.0,6.0,0.0,0.0,0.0
82652ffffffffff,1.0,0.0,0.0,0.0,0.0
826557fffffffff,9.0,0.0,0.0,0.0,0.0
826577fffffffff,32.0,0.0,0.0,0.0,0.0
826587fffffffff,139.0,13.0,0.0,0.0,0.0
82658ffffffffff,11.0,1.0,0.0,0.0,0.0
826597fffffffff,541.0,59.0,0.0,0.0,0.0
82659ffffffffff,727.0,182.0,0.0,0.0,0.0
8265b7fffffffff,688.0,92.0,0.0,0.0,0.0
826807fffffffff,2.0,0.0,0.0,0.0,0.0
826817fffffffff,101.0,40.0,0.0,0.0,0.0
82681ffffffffff,226.0,49.0,0.0,0.0,0.0
826847fffffffff,22.0,0.0,4.0,0.0,0.0
82684ffffffffff,107.0,0.0,24.0,18.0,0.0
826857fffffffff,8.0,0.0,2.0,1.0,0.0
82685ffffffffff,221.0,0.0,4.0,89.0,0.0
826867fffffffff,2.0,0.0,0.0,0.0,0.0
82686ffffffffff,12.0,0.0,0.0,0.0,0.0
826877fffffffff,10.0,0.0,1.0,0.0,0.0
826897fffffffff,12.0,1.0,0.0,0.0,0.0
8268a7fffffffff,13.0,0.0,0.0,0.0,0.0
8268affffffffff,2.0,0.0,0.0,0.0,0.0
826937fffffffff,72.0,6.0,0.0,0.0,0.0
82694ffffffffff,79.0,2.0,13.0,0.0,0.0
82696ffffffffff,10.0,0.0,1.0,0.0,0.0
828c17fffffffff,21.0,0.0,0.0,0.0,15.0
828c1ffffffffff,11.0,0.0,0.0,0.0,0.0
828c97fffffffff,46.0,13.0,0.0,0.0,0.0
828caffffffffff,51.0,1.0,0.0,0.0,0.0
828cd7fffffffff,43.0,12.0,0.0,0.0,0.0
828ce7fffffffff,8.0,0.0,0.0,0.0,0.0
828cf7fffffffff,1.0,0.0,0.0,0.0,0.0
828d87fffffffff,3.0,0.0,0.0,0.0,0.0
828d8ffffffffff,11.0,0.0,0.0,0.0,8.0
828da7fffffffff,37.0,0.0,0.0,0.0,16.0
828db7fffffffff,191.0,0.0,0.0,0.0,77.0
8295a7fffffffff,2.0,0.0,0.0,0.0,0.0
