cell_id,Coturnicops noveboracensis,Coturnicops noveboracensis noveboracensis,Coturnicops noveboracensis goldmani
830e80fffffffff,49.0,0.0,0.0
830e83fffffffff,4.0,0.0,0.0
830e8dfffffffff,4.0,0.0,0.0
830ec4fffffffff,1.0,0.0,0.0
830eccfffffffff,308.0,0.0,0.0
830eeafffffffff,1184.0,0.0,0.0
830eebfffffffff,3.0,0.0,0.0
830ef0fffffffff,10.0,0.0,0.0
830ef1fffffffff,2.0,0.0,0.0
831218fffffffff,1.0,0.0,0.0
831219fffffffff,2.0,0.0,0.0
83121bfffffffff,3.0,0.0,0.0
83121efffffffff,16.0,0.0,0.0
831228fffffffff,1.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0
83124bfffffffff,2.0,0.0,0.0
83124dfffffffff,3.0,0.0,0.0
831250fffffffff,12.0,0.0,0.0
831251fffffffff,72.0,0.0,0.0
831252fffffffff,2.0,0.0,0.0
831253fffffffff,11.0,0.0,0.0
831254fffffffff,2.0,0.0,0.0
831259fffffffff,12.0,0.0,0.0
83125efffffffff,2.0,0.0,0.0
831272fffffffff,2.0,0.0,0.0
8312c1fffffffff,201.0,0.0,0.0
8312ccfffffffff,11.0,0.0,0.0
8312eafffffffff,38.0,0.0,0.0
8312ecfffffffff,125.0,0.0,0.0
8312edfffffffff,2.0,0.0,0.0
832620fffffffff,2.0,0.0,0.0
832624fffffffff,10.0,0.0,0.0
832625fffffffff,1.0,0.0,0.0
832634fffffffff,49.0,0.0,0.0
832702fffffffff,12.0,0.0,0.0
832703fffffffff,43.0,0.0,0.0
83270efffffffff,49.0,0.0,0.0
832710fffffffff,2.0,0.0,0.0
832711fffffffff,37.0,0.0,0.0
832713fffffffff,2.0,0.0,0.0
832714fffffffff,2.0,0.0,0.0
832718fffffffff,26.0,0.0,0.0
832719fffffffff,16.0,0.0,0.0
83271cfffffffff,5.0,0.0,0.0
83271dfffffffff,17.0,0.0,0.0
832731fffffffff,1.0,0.0,0.0
832756fffffffff,128.0,0.0,0.0
8327a4fffffffff,2.0,0.0,0.0
8327a5fffffffff,4.0,0.0,0.0
8327adfffffffff,7.0,0.0,0.0
832812fffffffff,19.0,0.0,0.0
832814fffffffff,2.0,0.0,0.0
83281efffffffff,75.0,0.0,0.0
8328adfffffffff,61.0,0.0,0.0
832b12fffffffff,30.0,0.0,0.0
832b30fffffffff,50.0,0.0,0.0
832b31fffffffff,17.0,0.0,0.0
832b33fffffffff,2.0,0.0,0.0
834445fffffffff,506.0,0.0,0.0
834449fffffffff,34.0,0.0,0.0
83446cfffffffff,212.0,0.0,0.0
83446efffffffff,1.0,0.0,0.0
834890fffffffff,1.0,0.0,0.0
834892fffffffff,50.0,0.0,0.0
834893fffffffff,17.0,0.0,0.0
