cell_id,Upupa epops,Upupa epops [epops Group],Upupa epops senegalensis/waibeli,Upupa epops africana
83075dfffffffff,2.0,0.0,0.0,0.0
830762fffffffff,2.0,0.0,0.0,0.0
830880fffffffff,2.0,0.0,0.0,0.0
830885fffffffff,2.0,2.0,0.0,0.0
830886fffffffff,4.0,0.0,0.0,0.0
83089dfffffffff,1.0,0.0,0.0,0.0
8308b1fffffffff,2.0,0.0,0.0,0.0
83099efffffffff,1.0,0.0,0.0,0.0
8309a4fffffffff,4.0,0.0,0.0,0.0
831124fffffffff,1.0,0.0,0.0,0.0
831126fffffffff,5.0,0.0,0.0,0.0
831592fffffffff,2.0,0.0,0.0,0.0
83180cfffffffff,4.0,0.0,0.0,0.0
831828fffffffff,6.0,3.0,0.0,0.0
831829fffffffff,1.0,0.0,0.0,0.0
831849fffffffff,4.0,0.0,0.0,0.0
83184bfffffffff,2.0,0.0,0.0,0.0
831859fffffffff,1.0,0.0,0.0,0.0
83185bfffffffff,6.0,0.0,0.0,0.0
83186cfffffffff,2.0,0.0,0.0,0.0
831870fffffffff,4.0,0.0,0.0,0.0
831873fffffffff,2.0,0.0,0.0,0.0
831908fffffffff,2.0,0.0,0.0,0.0
83190bfffffffff,2.0,0.0,0.0,0.0
831926fffffffff,2.0,0.0,0.0,0.0
83192bfffffffff,1.0,1.0,0.0,0.0
831940fffffffff,4.0,1.0,0.0,0.0
831941fffffffff,23.0,7.0,0.0,0.0
831942fffffffff,10.0,0.0,0.0,0.0
831948fffffffff,8.0,4.0,0.0,0.0
83194afffffffff,8.0,0.0,0.0,0.0
83194cfffffffff,1.0,1.0,0.0,0.0
83194dfffffffff,9.0,6.0,0.0,0.0
83194efffffffff,7.0,1.0,0.0,0.0
831959fffffffff,10.0,0.0,0.0,0.0
83195afffffffff,2.0,0.0,0.0,0.0
83195bfffffffff,1.0,0.0,0.0,0.0
83195cfffffffff,3.0,0.0,0.0,0.0
83195dfffffffff,6.0,2.0,0.0,0.0
831968fffffffff,8.0,2.0,0.0,0.0
83196bfffffffff,2.0,0.0,0.0,0.0
83196cfffffffff,1.0,0.0,0.0,0.0
83196dfffffffff,9.0,5.0,0.0,0.0
