cell_id,Psarocolius angustifrons,Psarocolius angustifrons [angustifrons Group],Psarocolius angustifrons oleagineus
8466181ffffffff,1.0,1.0,0.0
846618dffffffff,3.0,0.0,0.0
846619dffffffff,9.0,0.0,0.0
84661b1ffffffff,16.0,3.0,0.0
84661b9ffffffff,8.0,0.0,0.0
8466c69ffffffff,1.0,0.0,0.0
8466ce1ffffffff,8.0,0.0,0.0
8466ce9ffffffff,3.0,0.0,0.0
8466d31ffffffff,86.0,2.0,0.0
8466d35ffffffff,2.0,0.0,0.0
8466d37ffffffff,3.0,0.0,0.0
8466de3ffffffff,6.0,0.0,0.0
8466dedffffffff,1.0,0.0,0.0
8466f03ffffffff,1.0,0.0,0.0
8467413ffffffff,11.0,0.0,0.0
84674c7ffffffff,2.0,0.0,0.0
84674edffffffff,2.0,0.0,2.0
84675a5ffffffff,2.0,2.0,0.0
84675adffffffff,15.0,0.0,0.0
84675c9ffffffff,1.0,0.0,0.0
84675cbffffffff,3.0,0.0,0.0
84675e7ffffffff,4.0,0.0,0.0
84675ebffffffff,1.0,1.0,0.0
848a451ffffffff,4.0,0.0,0.0
848a459ffffffff,7.0,0.0,0.0
848a45bffffffff,1.0,0.0,0.0
848a45dffffffff,3.0,0.0,0.0
848a699ffffffff,2.0,0.0,0.0
848af45ffffffff,5.0,5.0,0.0
848b213ffffffff,2.0,2.0,0.0
848b2e9ffffffff,5.0,0.0,0.0
848b2edffffffff,2.0,0.0,0.0
848b44dffffffff,4.0,4.0,0.0
848b617ffffffff,4.0,4.0,0.0
848b637ffffffff,7.0,7.0,0.0
848b63bffffffff,23.0,23.0,0.0
848b6cdffffffff,3.0,0.0,0.0
848b6edffffffff,21.0,21.0,0.0
848b713ffffffff,2.0,2.0,0.0
848b747ffffffff,2.0,0.0,0.0
848f0d3ffffffff,3.0,0.0,0.0
848f0d9ffffffff,4.0,0.0,0.0
848f0dbffffffff,3.0,0.0,0.0
848f6e9ffffffff,14.0,0.0,0.0
848f721ffffffff,1.0,0.0,0.0
