cell_id,Basileuterus culicivorus,Basileuterus culicivorus [culicivorus Group],Basileuterus culicivorus [cabanisi Group],Basileuterus culicivorus [auricapilla Group],Basileuterus culicivorus hypoleucus
83268dfffffffff,57.0,0.0,0.0,0.0,0.0
83446efffffffff,17.0,0.0,0.0,0.0,0.0
834508fffffffff,7.0,0.0,0.0,0.0,0.0
83450cfffffffff,2.0,0.0,0.0,0.0,0.0
83450efffffffff,13.0,0.0,0.0,0.0,0.0
834524fffffffff,42.0,0.0,0.0,0.0,0.0
834526fffffffff,10.0,0.0,0.0,0.0,0.0
83452afffffffff,8.0,0.0,0.0,0.0,0.0
83452dfffffffff,2.0,0.0,0.0,0.0,0.0
83452efffffffff,12.0,11.0,0.0,0.0,0.0
834891fffffffff,119.0,0.0,0.0,0.0,0.0
834895fffffffff,1.0,0.0,0.0,0.0,0.0
8348b2fffffffff,103.0,1.0,0.0,0.0,0.0
8348b3fffffffff,1179.0,16.0,0.0,0.0,0.0
8348d3fffffffff,4.0,0.0,0.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0,0.0,0.0
834996fffffffff,16.0,1.0,0.0,0.0,0.0
834998fffffffff,5.0,3.0,0.0,0.0,0.0
8349a2fffffffff,2.0,0.0,0.0,0.0,0.0
835f42fffffffff,5.0,0.0,0.0,0.0,0.0
835f58fffffffff,6.0,0.0,0.0,6.0,0.0
836619fffffffff,2.0,0.0,0.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0,0.0,0.0
8366a3fffffffff,6.0,0.0,0.0,0.0,0.0
8366b4fffffffff,12.0,2.0,0.0,0.0,0.0
8366b5fffffffff,5.0,0.0,0.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0,0.0,0.0
836741fffffffff,8.0,0.0,0.0,0.0,0.0
83675cfffffffff,4.0,0.0,0.0,0.0,0.0
836d23fffffffff,5.0,0.0,0.0,0.0,0.0
836d29fffffffff,2.0,2.0,0.0,0.0,0.0
836d2bfffffffff,14.0,6.0,0.0,0.0,0.0
836d33fffffffff,7.0,2.0,0.0,0.0,0.0
836d35fffffffff,1.0,0.0,0.0,0.0,0.0
836d68fffffffff,1.0,0.0,0.0,0.0,0.0
836d69fffffffff,41.0,13.0,0.0,0.0,0.0
836d74fffffffff,4.0,0.0,0.0,0.0,0.0
838010fffffffff,2.0,0.0,0.0,2.0,0.0
838106fffffffff,1.0,0.0,0.0,1.0,0.0
838114fffffffff,1.0,0.0,0.0,1.0,0.0
838133fffffffff,3.0,0.0,0.0,3.0,0.0
838136fffffffff,1.0,0.0,0.0,1.0,0.0
838b0cfffffffff,2.0,0.0,0.0,0.0,0.0
83a806fffffffff,3.0,0.0,0.0,3.0,0.0
83a810fffffffff,1.0,0.0,0.0,1.0,0.0
83a812fffffffff,2.0,0.0,0.0,2.0,0.0
83a831fffffffff,7.0,0.0,0.0,7.0,0.0
83a866fffffffff,2.0,0.0,0.0,0.0,2.0
83a882fffffffff,10.0,0.0,0.0,10.0,0.0
83a891fffffffff,2.0,0.0,0.0,2.0,0.0
83a8a1fffffffff,1.0,0.0,0.0,1.0,0.0
83a8a2fffffffff,3.0,0.0,0.0,3.0,0.0
83a8acfffffffff,2.0,0.0,0.0,2.0,0.0
83a90efffffffff,1.0,0.0,0.0,1.0,0.0
83a94dfffffffff,8.0,0.0,0.0,0.0,0.0
83a94efffffffff,13.0,0.0,0.0,0.0,0.0
83a950fffffffff,2.0,0.0,0.0,0.0,0.0
83a953fffffffff,4.0,0.0,0.0,3.0,0.0
83a961fffffffff,15.0,0.0,0.0,0.0,0.0
83a962fffffffff,4.0,0.0,0.0,4.0,0.0
83a963fffffffff,2.0,0.0,0.0,2.0,0.0
83a965fffffffff,5.0,0.0,0.0,0.0,0.0
83a96cfffffffff,1.0,0.0,0.0,0.0,0.0
83a96efffffffff,6.0,0.0,0.0,0.0,0.0
83b342fffffffff,19.0,0.0,0.0,0.0,0.0
83b349fffffffff,2.0,0.0,0.0,0.0,0.0
83b351fffffffff,1.0,0.0,0.0,1.0,0.0
83c2c1fffffffff,2.0,0.0,0.0,1.0,0.0
83c2c4fffffffff,2.0,0.0,0.0,0.0,0.0
83c2ccfffffffff,2.0,0.0,0.0,0.0,0.0
83c2cdfffffffff,2.0,0.0,0.0,0.0,0.0
83c2e3fffffffff,1.0,0.0,0.0,0.0,0.0
