cell_id,Phylloscopus collybita,Phylloscopus collybita [collybita Group],Phylloscopus collybita tristis
830743fffffffff,3.0,0.0,0.0
830744fffffffff,1.0,0.0,0.0
830745fffffffff,6.0,2.0,0.0
83074efffffffff,3.0,0.0,0.0
830762fffffffff,24.0,10.0,4.0
830763fffffffff,13.0,0.0,0.0
830771fffffffff,2.0,0.0,0.0
830773fffffffff,2.0,0.0,0.0
830885fffffffff,4.0,0.0,2.0
83088efffffffff,2.0,2.0,0.0
83089bfffffffff,2.0,0.0,2.0
83089dfffffffff,2.0,0.0,2.0
8308c9fffffffff,3.0,0.0,3.0
8308d3fffffffff,2.0,0.0,2.0
830980fffffffff,2.0,0.0,0.0
830982fffffffff,1.0,0.0,1.0
830991fffffffff,3.0,0.0,1.0
830999fffffffff,2.0,0.0,2.0
83099efffffffff,1.0,0.0,0.0
8309a0fffffffff,2.0,0.0,0.0
830ca4fffffffff,117.0,0.0,56.0
830d03fffffffff,3.0,0.0,3.0
831134fffffffff,5.0,0.0,0.0
831135fffffffff,2.0,0.0,0.0
83118cfffffffff,2.0,0.0,2.0
831805fffffffff,1.0,0.0,0.0
831828fffffffff,6.0,0.0,4.0
83182afffffffff,2.0,0.0,2.0
83182cfffffffff,14.0,0.0,14.0
831846fffffffff,3.0,1.0,0.0
831849fffffffff,112.0,12.0,65.0
83184bfffffffff,26.0,14.0,0.0
83184dfffffffff,2.0,0.0,0.0
831859fffffffff,3.0,3.0,0.0
83185bfffffffff,76.0,15.0,3.0
831862fffffffff,2.0,0.0,0.0
831872fffffffff,1.0,0.0,1.0
831873fffffffff,2.0,0.0,2.0
831876fffffffff,8.0,0.0,8.0
831901fffffffff,1.0,0.0,1.0
83190bfffffffff,2.0,0.0,0.0
831926fffffffff,4.0,0.0,0.0
83192bfffffffff,1.0,0.0,0.0
83192cfffffffff,8.0,0.0,0.0
831940fffffffff,22.0,0.0,22.0
831941fffffffff,16.0,0.0,16.0
831942fffffffff,2.0,0.0,0.0
831943fffffffff,11.0,0.0,10.0
831948fffffffff,18.0,1.0,12.0
83194afffffffff,12.0,0.0,12.0
83194cfffffffff,6.0,0.0,6.0
83194dfffffffff,12.0,0.0,12.0
83194efffffffff,5.0,0.0,2.0
831950fffffffff,2.0,0.0,0.0
831951fffffffff,1.0,0.0,1.0
831952fffffffff,3.0,0.0,1.0
831958fffffffff,2.0,0.0,2.0
831959fffffffff,1.0,0.0,1.0
83195afffffffff,2.0,0.0,2.0
83195bfffffffff,9.0,0.0,8.0
83195cfffffffff,5.0,0.0,5.0
83195dfffffffff,9.0,2.0,7.0
831968fffffffff,2.0,0.0,2.0
83196bfffffffff,2.0,0.0,2.0
831972fffffffff,2.0,0.0,1.0
831973fffffffff,7.0,0.0,7.0
831976fffffffff,4.0,0.0,2.0
831e01fffffffff,1.0,0.0,0.0
831e02fffffffff,7.0,1.0,4.0
831e03fffffffff,2.0,0.0,0.0
831e05fffffffff,9.0,0.0,0.0
831e06fffffffff,8.0,6.0,0.0
831e08fffffffff,6.0,0.0,0.0
831e0afffffffff,3.0,0.0,0.0
831e0cfffffffff,3.0,0.0,0.0
831e0efffffffff,2.0,0.0,2.0
831e10fffffffff,2.0,0.0,0.0
831e13fffffffff,3.0,0.0,3.0
831e15fffffffff,3.0,1.0,2.0
831e1bfffffffff,3.0,0.0,1.0
831e22fffffffff,11.0,0.0,2.0
831e23fffffffff,1.0,0.0,0.0
831e24fffffffff,1.0,0.0,0.0
831e26fffffffff,2.0,0.0,0.0
831e2bfffffffff,3.0,0.0,0.0
831e30fffffffff,1.0,0.0,0.0
831e31fffffffff,2.0,0.0,0.0
831e34fffffffff,30.0,5.0,1.0
831e35fffffffff,27.0,16.0,2.0
831e5afffffffff,5.0,5.0,0.0
831e5efffffffff,4.0,4.0,0.0
831e69fffffffff,1.0,0.0,0.0
831e83fffffffff,2.0,0.0,2.0
831ea0fffffffff,6.0,0.0,0.0
831ea4fffffffff,3.0,3.0,0.0
831ea5fffffffff,3.0,0.0,1.0
831eb4fffffffff,2.0,0.0,2.0
831ec0fffffffff,8.0,0.0,0.0
831ec1fffffffff,5.0,0.0,0.0
831ec4fffffffff,8.0,0.0,0.0
831ec9fffffffff,11.0,0.0,0.0
831ecefffffffff,3.0,0.0,0.0
831edafffffffff,2.0,0.0,2.0
831edefffffffff,4.0,0.0,3.0
831ee9fffffffff,2.0,0.0,2.0
831eeafffffffff,2.0,0.0,0.0
831eebfffffffff,2.0,0.0,0.0
831ef2fffffffff,20.0,12.0,0.0
831f00fffffffff,2.0,2.0,0.0
831f05fffffffff,14.0,0.0,1.0
831f0afffffffff,2.0,0.0,0.0
831f0dfffffffff,2.0,2.0,0.0
831f12fffffffff,2.0,0.0,0.0
831f13fffffffff,2.0,0.0,0.0
831f14fffffffff,1.0,0.0,0.0
831f1afffffffff,87.0,87.0,0.0
831f24fffffffff,3.0,0.0,3.0
831f2afffffffff,34.0,16.0,18.0
831f2efffffffff,2.0,0.0,0.0
831f33fffffffff,6.0,0.0,6.0
831f51fffffffff,2.0,2.0,0.0
831f53fffffffff,2.0,0.0,0.0
831f5efffffffff,1.0,0.0,0.0
831f71fffffffff,1.0,0.0,0.0
831f72fffffffff,44.0,5.0,17.0
831f82fffffffff,2.0,0.0,0.0
831f83fffffffff,6.0,0.0,6.0
831f85fffffffff,2.0,0.0,0.0
831f88fffffffff,2.0,0.0,2.0
831f8efffffffff,7.0,0.0,0.0
831f98fffffffff,1.0,0.0,1.0
831f9cfffffffff,1.0,0.0,0.0
831fa3fffffffff,6.0,0.0,0.0
831fa9fffffffff,5.0,5.0,0.0
831faafffffffff,10.0,0.0,8.0
831fadfffffffff,27.0,27.0,0.0
831fb4fffffffff,3.0,0.0,2.0
832018fffffffff,2.0,0.0,1.0
8320a2fffffffff,2.0,0.0,0.0
8320a6fffffffff,1.0,0.0,1.0
8320a9fffffffff,2.0,0.0,0.0
8320e6fffffffff,1.0,0.0,0.0
8320f2fffffffff,1.0,0.0,0.0
8320f5fffffffff,2.0,0.0,0.0
832404fffffffff,1.0,0.0,1.0
832406fffffffff,1.0,0.0,1.0
83240cfffffffff,1.0,0.0,1.0
832453fffffffff,3.0,0.0,3.0
832512fffffffff,6.0,0.0,6.0
832513fffffffff,2.0,0.0,2.0
8325acfffffffff,49.0,0.0,49.0
832c01fffffffff,1.0,0.0,0.0
832c04fffffffff,35.0,0.0,7.0
832c05fffffffff,2.0,0.0,2.0
832c09fffffffff,3.0,1.0,2.0
832c0bfffffffff,93.0,0.0,85.0
832c0cfffffffff,1.0,0.0,1.0
832c19fffffffff,2.0,0.0,0.0
832c1bfffffffff,2.0,2.0,0.0
832c20fffffffff,3.0,0.0,1.0
832c21fffffffff,2.0,0.0,0.0
832c28fffffffff,2.0,0.0,2.0
832c2afffffffff,18.0,0.0,3.0
832c4cfffffffff,1.0,0.0,0.0
832c51fffffffff,4.0,0.0,0.0
832c90fffffffff,7.0,0.0,0.0
832c93fffffffff,6.0,0.0,0.0
832cc0fffffffff,1.0,0.0,1.0
832cc1fffffffff,1.0,0.0,0.0
