cell_id,Rhynchocyclus aequinoctialis,Rhynchocyclus aequinoctialis [aequinoctialis Group],Rhynchocyclus aequinoctialis cryptus
845f4a3ffffffff,1.0,0.0,0.0
845f4a9ffffffff,6.0,0.0,0.0
8466023ffffffff,3.0,0.0,0.0
8466025ffffffff,5.0,0.0,0.0
846606bffffffff,3.0,0.0,0.0
8466081ffffffff,2.0,0.0,0.0
8466087ffffffff,1.0,0.0,0.0
846608dffffffff,12.0,0.0,0.0
84660a1ffffffff,7.0,0.0,0.0
84660a5ffffffff,1.0,0.0,0.0
84660a7ffffffff,53.0,0.0,0.0
84660d1ffffffff,2.0,0.0,0.0
84660d9ffffffff,4.0,0.0,0.0
8466101ffffffff,4.0,0.0,0.0
8466103ffffffff,4.0,0.0,0.0
8466107ffffffff,190.0,0.0,0.0
846610bffffffff,2.0,0.0,0.0
8466113ffffffff,4.0,0.0,0.0
8466119ffffffff,2.0,0.0,0.0
8466129ffffffff,13.0,0.0,0.0
8466131ffffffff,45.0,0.0,0.0
8466139ffffffff,238.0,0.0,0.0
846613bffffffff,3.0,0.0,0.0
846613dffffffff,24.0,0.0,0.0
8466163ffffffff,149.0,0.0,0.0
8466165ffffffff,28.0,0.0,0.0
8466167ffffffff,15.0,0.0,0.0
8466191ffffffff,4.0,0.0,0.0
8466193ffffffff,94.0,0.0,0.0
846619bffffffff,588.0,0.0,0.0
846619dffffffff,1.0,0.0,0.0
84661b9ffffffff,2.0,0.0,0.0
84661c9ffffffff,1.0,0.0,0.0
84661cdffffffff,27.0,0.0,0.0
84661d1ffffffff,9.0,0.0,0.0
84661d3ffffffff,3.0,0.0,0.0
84661d9ffffffff,7.0,0.0,0.0
8466201ffffffff,1.0,0.0,0.0
8466205ffffffff,21.0,0.0,0.0
8466207ffffffff,2.0,0.0,0.0
8466213ffffffff,11.0,0.0,0.0
8466221ffffffff,2.0,0.0,0.0
846622bffffffff,42.0,0.0,0.0
84662e9ffffffff,3.0,0.0,0.0
8466a0bffffffff,23.0,0.0,0.0
8466a51ffffffff,2561.0,0.0,0.0
8466a55ffffffff,59.0,0.0,0.0
8466a57ffffffff,13.0,0.0,0.0
8466a59ffffffff,8.0,0.0,0.0
8466a5bffffffff,10.0,0.0,0.0
8466a5dffffffff,44.0,0.0,0.0
8466c05ffffffff,2.0,0.0,0.0
8466c21ffffffff,4.0,0.0,0.0
8466c23ffffffff,3.0,0.0,0.0
8466c27ffffffff,1.0,0.0,0.0
8466c29ffffffff,6.0,0.0,0.0
8466c2bffffffff,5.0,0.0,0.0
8466c63ffffffff,2.0,0.0,0.0
8466ce9ffffffff,9.0,0.0,0.0
8466d13ffffffff,2.0,0.0,0.0
8466d1bffffffff,13.0,0.0,0.0
8466d81ffffffff,3.0,0.0,0.0
8466d8dffffffff,4.0,0.0,0.0
8466da3ffffffff,1.0,0.0,0.0
8466dadffffffff,7.0,0.0,0.0
