cell_id,Leptosomus discolor,Leptosomus discolor gracilis,Leptosomus discolor intermedius,Leptosomus discolor discolor
84a2049ffffffff,3.0,0.0,0.0,0.0
84a210dffffffff,1.0,0.0,0.0,0.0
84a2129ffffffff,1.0,0.0,0.0,0.0
84a2143ffffffff,302.0,0.0,0.0,0.0
84a2147ffffffff,1.0,0.0,0.0,0.0
84a215dffffffff,3.0,0.0,0.0,0.0
84a2163ffffffff,2.0,0.0,0.0,0.0
84a2165ffffffff,1.0,0.0,0.0,0.0
84a2227ffffffff,208.0,0.0,0.0,0.0
84a223dffffffff,1.0,0.0,0.0,0.0
84a2307ffffffff,1.0,0.0,0.0,0.0
84a2319ffffffff,1.0,0.0,0.0,0.0
84a231bffffffff,245.0,0.0,0.0,0.0
84a2353ffffffff,34.0,0.0,0.0,0.0
84a2357ffffffff,2.0,0.0,0.0,0.0
84a2359ffffffff,2.0,0.0,0.0,0.0
84a2a49ffffffff,180.0,0.0,0.0,0.0
84a2ae9ffffffff,18.0,0.0,0.0,0.0
84a2aedffffffff,6.0,0.0,0.0,0.0
84a3041ffffffff,1.0,0.0,0.0,0.0
84a3047ffffffff,11.0,0.0,0.0,0.0
84a304dffffffff,4.0,0.0,0.0,0.0
84a3081ffffffff,1.0,0.0,0.0,0.0
84a3083ffffffff,3.0,0.0,0.0,0.0
84a308bffffffff,31.0,0.0,0.0,0.0
84a3091ffffffff,7.0,0.0,0.0,0.0
84a3093ffffffff,20.0,0.0,0.0,0.0
84a318bffffffff,1.0,0.0,0.0,0.0
84a3199ffffffff,10.0,0.0,0.0,0.0
84a319dffffffff,202.0,0.0,0.0,0.0
84a31d5ffffffff,1.0,0.0,0.0,0.0
84a3227ffffffff,1.0,0.0,0.0,0.0
84a3319ffffffff,5.0,0.0,0.0,0.0
84a331bffffffff,3.0,0.0,0.0,0.0
84a331dffffffff,8.0,0.0,0.0,0.0
84a3351ffffffff,13.0,0.0,0.0,0.0
84a3357ffffffff,9.0,0.0,0.0,0.0
84a3563ffffffff,1.0,0.0,0.0,0.0
84a3567ffffffff,36.0,0.0,0.0,0.0
84a372dffffffff,1.0,0.0,0.0,0.0
84a3761ffffffff,14.0,0.0,0.0,0.0
84a3765ffffffff,16.0,0.0,0.0,0.0
84a3889ffffffff,2.0,0.0,0.0,0.0
84a38b3ffffffff,15.0,0.0,0.0,0.0
84a38b5ffffffff,1.0,0.0,0.0,0.0
84a38b7ffffffff,10.0,0.0,0.0,0.0
84a3993ffffffff,1.0,0.0,0.0,0.0
84a399bffffffff,11.0,0.0,0.0,0.0
84a3a95ffffffff,6.0,0.0,0.0,0.0
84a3ab7ffffffff,14.0,0.0,0.0,0.0
84a3abbffffffff,5.0,0.0,0.0,0.0
84a3ad7ffffffff,5.0,0.0,0.0,0.0
