cell_id,Anas bahamensis,Anas bahamensis bahamensis/rubrirostris,Anas bahamensis galapagensis
82184ffffffffff,2.0,0.0,0.0
82194ffffffffff,3.0,0.0,0.0
82195ffffffffff,2.0,0.0,0.0
821e17fffffffff,5.0,0.0,0.0
821f1ffffffffff,1.0,0.0,0.0
821f37fffffffff,1.0,0.0,0.0
821f87fffffffff,4.0,0.0,0.0
821f8ffffffffff,8.0,0.0,0.0
821f97fffffffff,6.0,0.0,0.0
821fb7fffffffff,3.0,0.0,0.0
8226e7fffffffff,2.0,2.0,0.0
8228d7fffffffff,1.0,0.0,0.0
822a17fffffffff,9.0,0.0,0.0
822aaffffffffff,17.0,1.0,0.0
822af7fffffffff,1.0,0.0,0.0
822baffffffffff,2.0,0.0,0.0
82344ffffffffff,2.0,0.0,0.0
82390ffffffffff,7.0,0.0,0.0
823927fffffffff,4.0,0.0,0.0
82392ffffffffff,21.0,0.0,0.0
823937fffffffff,4.0,0.0,0.0
823947fffffffff,6.0,0.0,0.0
823957fffffffff,44.0,0.0,0.0
823977fffffffff,9.0,0.0,0.0
8243a7fffffffff,13.0,0.0,0.0
8243affffffffff,20.0,0.0,0.0
824417fffffffff,75.0,2.0,0.0
824437fffffffff,5.0,0.0,0.0
824457fffffffff,10.0,0.0,0.0
824477fffffffff,2.0,0.0,0.0
824487fffffffff,33.0,3.0,0.0
8244a7fffffffff,55.0,0.0,0.0
8244affffffffff,44.0,0.0,0.0
8244b7fffffffff,15.0,0.0,0.0
8244dffffffffff,26.0,1.0,0.0
8244f7fffffffff,6.0,0.0,0.0
82458ffffffffff,3.0,0.0,0.0
824897fffffffff,11.0,1.0,0.0
8248b7fffffffff,5.0,3.0,0.0
8248effffffffff,3.0,0.0,0.0
824c87fffffffff,13.0,0.0,0.0
824c8ffffffffff,3.0,1.0,0.0
824c9ffffffffff,3.0,0.0,0.0
824caffffffffff,4.0,0.0,0.0
824cc7fffffffff,409.0,22.0,0.0
824cd7fffffffff,22.0,1.0,0.0
824ceffffffffff,141.0,1.0,0.0
824cf7fffffffff,8.0,0.0,0.0
824d4ffffffffff,16.0,11.0,0.0
825e5ffffffffff,4.0,1.0,0.0
825f4ffffffffff,2.0,0.0,0.0
825f5ffffffffff,44.0,1.0,0.0
82658ffffffffff,1.0,0.0,0.0
826627fffffffff,3.0,3.0,0.0
8266a7fffffffff,16.0,0.0,0.0
8266b7fffffffff,49.0,0.0,0.0
8266c7fffffffff,17.0,0.0,0.0
8266d7fffffffff,257.0,0.0,0.0
8266dffffffffff,10.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0
826747fffffffff,27.0,0.0,0.0
82674ffffffffff,2.0,0.0,0.0
826757fffffffff,22.0,0.0,0.0
82675ffffffffff,1.0,0.0,0.0
