cell_id,Centropus sinensis,Centropus sinensis [sinensis Group],Centropus sinensis parroti
843c029ffffffff,2.0,0.0,0.0
843c0a5ffffffff,4.0,0.0,0.0
843c159ffffffff,7.0,7.0,0.0
843c199ffffffff,2.0,0.0,0.0
843c1c3ffffffff,10.0,0.0,0.0
843c365ffffffff,3.0,3.0,0.0
843c367ffffffff,2.0,2.0,0.0
843c527ffffffff,2.0,0.0,0.0
843c537ffffffff,1.0,0.0,0.0
843c581ffffffff,6.0,0.0,0.0
843c585ffffffff,17.0,0.0,0.0
843c58dffffffff,2.0,0.0,0.0
843c5a3ffffffff,1.0,0.0,0.0
843c5a9ffffffff,2.0,0.0,0.0
843c5bdffffffff,2.0,0.0,0.0
843c5e3ffffffff,22.0,0.0,0.0
843c837ffffffff,3.0,0.0,0.0
843c885ffffffff,13.0,0.0,4.0
843c889ffffffff,2.0,0.0,2.0
843c8d9ffffffff,1.0,0.0,0.0
843c8dbffffffff,2.0,0.0,0.0
843c909ffffffff,2.0,0.0,2.0
843c915ffffffff,5.0,0.0,5.0
843c921ffffffff,2.0,0.0,2.0
843c923ffffffff,4.0,0.0,4.0
843c925ffffffff,2.0,0.0,2.0
843c927ffffffff,2.0,0.0,2.0
843c929ffffffff,4.0,0.0,4.0
843c92bffffffff,3.0,0.0,3.0
843c92dffffffff,10.0,0.0,10.0
843c931ffffffff,126.0,0.0,123.0
843c93bffffffff,17.0,0.0,17.0
843c9d9ffffffff,5.0,0.0,2.0
843c9e9ffffffff,7.0,0.0,7.0
843ca01ffffffff,2.0,0.0,0.0
843ca95ffffffff,1.0,1.0,0.0
843ca97ffffffff,3.0,0.0,2.0
843cb11ffffffff,2.0,0.0,0.0
843cb1dffffffff,3.0,0.0,3.0
843cb39ffffffff,2.0,0.0,2.0
843cb41ffffffff,2.0,0.0,2.0
843cb45ffffffff,1.0,0.0,1.0
843cb47ffffffff,4.0,0.0,4.0
843cb5dffffffff,3.0,0.0,3.0
843cb65ffffffff,9.0,0.0,9.0
843cb69ffffffff,2.0,0.0,2.0
843cb6dffffffff,7.0,0.0,7.0
843ccc9ffffffff,11.0,0.0,0.0
843ce57ffffffff,1.0,0.0,0.0
843cea5ffffffff,3.0,0.0,0.0
843cea7ffffffff,3.0,0.0,0.0
843cf05ffffffff,8.0,0.0,3.0
843cf0dffffffff,3.0,0.0,0.0
843cf25ffffffff,2.0,0.0,0.0
843cf29ffffffff,11.0,0.0,2.0
843cf2dffffffff,14.0,0.0,2.0
843cf61ffffffff,1.0,0.0,0.0
843cf69ffffffff,9.0,0.0,5.0
843d103ffffffff,4.0,0.0,0.0
843d109ffffffff,2.0,0.0,0.0
843d139ffffffff,35.0,0.0,0.0
843d147ffffffff,6.0,6.0,0.0
843d167ffffffff,4.0,4.0,0.0
843d323ffffffff,3.0,0.0,0.0
843d845ffffffff,17.0,0.0,17.0
843d84dffffffff,2.0,0.0,2.0
843d853ffffffff,2.0,0.0,2.0
843d85bffffffff,4.0,4.0,0.0
843d899ffffffff,2.0,2.0,0.0
843d8d5ffffffff,12.0,9.0,2.0
843d8ddffffffff,11.0,8.0,3.0
843d915ffffffff,3.0,0.0,3.0
843d929ffffffff,8.0,0.0,8.0
843d963ffffffff,4.0,0.0,4.0
843d96dffffffff,3.0,0.0,3.0
843d993ffffffff,6.0,0.0,6.0
843d997ffffffff,3.0,0.0,3.0
843d9b7ffffffff,1.0,0.0,1.0
843d9dbffffffff,2.0,0.0,2.0
843d9e5ffffffff,29.0,0.0,29.0
843da11ffffffff,10.0,10.0,0.0
843da1dffffffff,7.0,3.0,4.0
843da33ffffffff,2.0,2.0,0.0
843da37ffffffff,54.0,6.0,41.0
843da57ffffffff,4.0,4.0,0.0
843da69ffffffff,8.0,0.0,8.0
