cell_id,Basileuterus culicivorus,Basileuterus culicivorus [culicivorus Group],Basileuterus culicivorus [cabanisi Group],Basileuterus culicivorus [auricapilla Group],Basileuterus culicivorus hypoleucus
84268d9ffffffff,57.0,0.0,0.0,0.0,0.0
84446edffffffff,17.0,0.0,0.0,0.0,0.0
844508dffffffff,7.0,0.0,0.0,0.0,0.0
84450c7ffffffff,2.0,0.0,0.0,0.0,0.0
84450e3ffffffff,3.0,0.0,0.0,0.0,0.0
84450ebffffffff,10.0,0.0,0.0,0.0,0.0
8445243ffffffff,1.0,0.0,0.0,0.0,0.0
8445247ffffffff,41.0,0.0,0.0,0.0,0.0
8445261ffffffff,3.0,0.0,0.0,0.0,0.0
844526bffffffff,7.0,0.0,0.0,0.0,0.0
84452a1ffffffff,2.0,0.0,0.0,0.0,0.0
84452abffffffff,6.0,0.0,0.0,0.0,0.0
84452dbffffffff,2.0,0.0,0.0,0.0,0.0
84452e1ffffffff,3.0,3.0,0.0,0.0,0.0
84452e7ffffffff,1.0,0.0,0.0,0.0,0.0
84452e9ffffffff,8.0,8.0,0.0,0.0,0.0
844891dffffffff,119.0,0.0,0.0,0.0,0.0
8448955ffffffff,1.0,0.0,0.0,0.0,0.0
8448b15ffffffff,8.0,1.0,0.0,0.0,0.0
8448b2bffffffff,103.0,1.0,0.0,0.0,0.0
8448b39ffffffff,1054.0,11.0,0.0,0.0,0.0
8448b3dffffffff,117.0,4.0,0.0,0.0,0.0
8448d37ffffffff,4.0,0.0,0.0,0.0,0.0
8449903ffffffff,2.0,0.0,0.0,0.0,0.0
8449961ffffffff,7.0,0.0,0.0,0.0,0.0
8449963ffffffff,8.0,1.0,0.0,0.0,0.0
844996bffffffff,1.0,0.0,0.0,0.0,0.0
8449981ffffffff,2.0,0.0,0.0,0.0,0.0
8449987ffffffff,3.0,3.0,0.0,0.0,0.0
8449a27ffffffff,2.0,0.0,0.0,0.0,0.0
845f42bffffffff,5.0,0.0,0.0,0.0,0.0
845f583ffffffff,6.0,0.0,0.0,6.0,0.0
846619dffffffff,2.0,0.0,0.0,0.0,0.0
8466a05ffffffff,2.0,0.0,0.0,0.0,0.0
8466a31ffffffff,2.0,0.0,0.0,0.0,0.0
8466a33ffffffff,4.0,0.0,0.0,0.0,0.0
8466b41ffffffff,3.0,0.0,0.0,0.0,0.0
8466b45ffffffff,5.0,0.0,0.0,0.0,0.0
8466b49ffffffff,4.0,2.0,0.0,0.0,0.0
8466b51ffffffff,4.0,0.0,0.0,0.0,0.0
8466b5bffffffff,1.0,0.0,0.0,0.0,0.0
8466e1dffffffff,2.0,0.0,0.0,0.0,0.0
8467413ffffffff,8.0,0.0,0.0,0.0,0.0
84675cbffffffff,4.0,0.0,0.0,0.0,0.0
846d23dffffffff,5.0,0.0,0.0,0.0,0.0
846d295ffffffff,2.0,2.0,0.0,0.0,0.0
846d2b9ffffffff,14.0,6.0,0.0,0.0,0.0
846d337ffffffff,7.0,2.0,0.0,0.0,0.0
846d35dffffffff,1.0,0.0,0.0,0.0,0.0
846d681ffffffff,1.0,0.0,0.0,0.0,0.0
846d691ffffffff,1.0,1.0,0.0,0.0,0.0
846d69dffffffff,40.0,12.0,0.0,0.0,0.0
846d741ffffffff,2.0,0.0,0.0,0.0,0.0
846d745ffffffff,2.0,0.0,0.0,0.0,0.0
8480109ffffffff,2.0,0.0,0.0,2.0,0.0
8481063ffffffff,1.0,0.0,0.0,1.0,0.0
8481143ffffffff,1.0,0.0,0.0,1.0,0.0
8481339ffffffff,3.0,0.0,0.0,3.0,0.0
8481363ffffffff,1.0,0.0,0.0,1.0,0.0
848b0c1ffffffff,2.0,0.0,0.0,0.0,0.0
84a804dffffffff,1.0,0.0,0.0,1.0,0.0
84a8067ffffffff,3.0,0.0,0.0,3.0,0.0
84a8105ffffffff,1.0,0.0,0.0,1.0,0.0
84a8311ffffffff,6.0,0.0,0.0,6.0,0.0
84a860dffffffff,2.0,0.0,0.0,0.0,2.0
84a8821ffffffff,1.0,0.0,0.0,1.0,0.0
84a882dffffffff,9.0,0.0,0.0,9.0,0.0
84a8919ffffffff,2.0,0.0,0.0,2.0,0.0
84a8a13ffffffff,1.0,0.0,0.0,1.0,0.0
84a8a23ffffffff,3.0,0.0,0.0,3.0,0.0
84a8ac9ffffffff,4.0,0.0,0.0,4.0,0.0
84a90e7ffffffff,1.0,0.0,0.0,1.0,0.0
84a94ddffffffff,8.0,0.0,0.0,0.0,0.0
84a94e5ffffffff,2.0,0.0,0.0,0.0,0.0
84a94e7ffffffff,11.0,0.0,0.0,0.0,0.0
84a9507ffffffff,2.0,0.0,0.0,0.0,0.0
84a953bffffffff,4.0,0.0,0.0,3.0,0.0
84a9611ffffffff,3.0,0.0,0.0,0.0,0.0
84a9613ffffffff,1.0,0.0,0.0,0.0,0.0
84a9617ffffffff,5.0,0.0,0.0,0.0,0.0
84a9619ffffffff,7.0,0.0,0.0,0.0,0.0
84a9627ffffffff,4.0,0.0,0.0,4.0,0.0
84a9637ffffffff,2.0,0.0,0.0,2.0,0.0
84a9653ffffffff,5.0,0.0,0.0,0.0,0.0
84a96e9ffffffff,6.0,0.0,0.0,0.0,0.0
84b3425ffffffff,17.0,0.0,0.0,0.0,0.0
84b34d7ffffffff,2.0,0.0,0.0,0.0,0.0
84b3513ffffffff,1.0,0.0,0.0,1.0,0.0
84b35c9ffffffff,2.0,0.0,0.0,0.0,0.0
84c2c17ffffffff,1.0,0.0,0.0,0.0,0.0
84c2c19ffffffff,1.0,0.0,0.0,1.0,0.0
84c2c41ffffffff,2.0,0.0,0.0,0.0,0.0
84c2cc7ffffffff,2.0,0.0,0.0,0.0,0.0
84c2cd3ffffffff,2.0,0.0,0.0,0.0,0.0
84c2e33ffffffff,1.0,0.0,0.0,0.0,0.0
