cell_id,Spilopelia chinensis,Spilopelia chinensis suratensis/ceylonensis,Spilopelia chinensis chinensis/tigrina
84209a5ffffffff,7.0,0.0,0.0
8424e95ffffffff,2.0,0.0,0.0
8429125ffffffff,3.0,0.0,0.0
8429127ffffffff,10.0,0.0,0.0
8429a01ffffffff,13.0,0.0,0.0
8429a05ffffffff,29.0,0.0,0.0
8429a0bffffffff,22.0,0.0,0.0
8429a19ffffffff,4.0,0.0,0.0
8429a1bffffffff,2.0,0.0,0.0
8429a1dffffffff,31.0,0.0,0.0
8429a47ffffffff,2.0,0.0,0.0
8429a4dffffffff,15.0,0.0,0.0
8429a51ffffffff,27.0,0.0,0.0
8429a55ffffffff,15.0,0.0,0.0
8429a57ffffffff,300.0,0.0,0.0
8429a63ffffffff,6.0,0.0,0.0
8429ad7ffffffff,2.0,0.0,0.0
8429aebffffffff,2.0,0.0,0.0
8430833ffffffff,4.0,0.0,0.0
8430991ffffffff,12.0,0.0,0.0
8430995ffffffff,8.0,0.0,4.0
8430997ffffffff,2.0,0.0,0.0
84309a5ffffffff,2.0,0.0,0.0
84309b3ffffffff,9.0,0.0,0.0
84309b9ffffffff,2.0,0.0,0.0
84309d9ffffffff,11.0,0.0,0.0
843113dffffffff,2.0,0.0,0.0
84318d1ffffffff,2.0,0.0,0.0
8431aa5ffffffff,1.0,0.0,1.0
8431b41ffffffff,2.0,0.0,0.0
8431b47ffffffff,2.0,0.0,0.0
843c02dffffffff,4.0,4.0,0.0
843c065ffffffff,4.0,4.0,0.0
843c067ffffffff,3.0,3.0,0.0
843c159ffffffff,20.0,20.0,0.0
843c193ffffffff,5.0,0.0,0.0
843c199ffffffff,20.0,2.0,0.0
843c19bffffffff,6.0,0.0,0.0
843c1b5ffffffff,2.0,0.0,0.0
843c1b9ffffffff,3.0,0.0,0.0
843c1e9ffffffff,5.0,0.0,0.0
843c33bffffffff,9.0,8.0,0.0
843c521ffffffff,3.0,3.0,0.0
843c525ffffffff,5.0,0.0,5.0
843c5a9ffffffff,1.0,1.0,0.0
843c727ffffffff,2.0,0.0,0.0
843c88dffffffff,1.0,0.0,0.0
843c899ffffffff,4.0,0.0,0.0
843c8cbffffffff,2.0,0.0,0.0
843c8d9ffffffff,1.0,0.0,0.0
843c8dbffffffff,1.0,0.0,0.0
843c8e7ffffffff,1.0,0.0,0.0
843c92dffffffff,7.0,0.0,0.0
843c931ffffffff,5.0,0.0,0.0
843c93bffffffff,2.0,0.0,0.0
843c9e9ffffffff,2.0,0.0,0.0
843ca47ffffffff,1.0,1.0,0.0
843ca87ffffffff,3.0,0.0,0.0
843ca93ffffffff,5.0,0.0,0.0
843ca97ffffffff,1.0,0.0,0.0
843cab1ffffffff,5.0,2.0,0.0
843cab7ffffffff,1.0,0.0,0.0
843cc15ffffffff,4.0,0.0,0.0
843cc1dffffffff,1.0,0.0,0.0
843cc6bffffffff,2.0,0.0,0.0
843ce1dffffffff,2.0,0.0,0.0
843ce45ffffffff,3.0,0.0,0.0
843ce4dffffffff,2.0,0.0,0.0
843ce57ffffffff,2.0,0.0,0.0
843ce83ffffffff,2.0,2.0,0.0
843ce85ffffffff,1.0,0.0,1.0
843cec1ffffffff,2.0,2.0,0.0
843cf05ffffffff,7.0,0.0,0.0
843cf0dffffffff,4.0,0.0,0.0
843cf11ffffffff,2.0,0.0,0.0
843cf13ffffffff,3.0,0.0,0.0
843cf25ffffffff,1.0,0.0,0.0
843cf27ffffffff,3.0,0.0,0.0
843cf29ffffffff,18.0,0.0,0.0
843cf2dffffffff,13.0,0.0,0.0
843cf43ffffffff,2.0,0.0,0.0
843cf59ffffffff,2.0,0.0,0.0
843cf67ffffffff,5.0,0.0,0.0
843cf69ffffffff,5.0,0.0,0.0
843d005ffffffff,11.0,0.0,0.0
843d10dffffffff,4.0,0.0,0.0
843d12dffffffff,2.0,0.0,0.0
843d135ffffffff,2.0,0.0,0.0
843d8d5ffffffff,1.0,0.0,0.0
843d993ffffffff,2.0,0.0,0.0
843d9e7ffffffff,6.0,3.0,0.0
843da11ffffffff,47.0,5.0,0.0
843da13ffffffff,5.0,0.0,0.0
843da19ffffffff,5.0,0.0,0.0
843da1bffffffff,12.0,0.0,0.0
843da1dffffffff,20.0,0.0,0.0
843da57ffffffff,7.0,0.0,0.0
843dac5ffffffff,1.0,0.0,0.0
843daddffffffff,8.0,0.0,0.0
843daebffffffff,8.0,0.0,0.0
843db13ffffffff,3.0,0.0,0.0
