cell_id,Pnoepyga albiventer,Pnoepyga albiventer albiventer/pallidior,Pnoepyga albiventer mutica
843c029ffffffff,50.0,43.0,0.0
843c02bffffffff,3.0,3.0,0.0
843c02dffffffff,67.0,63.0,0.0
843c033ffffffff,1.0,1.0,0.0
843c063ffffffff,13.0,9.0,0.0
843c067ffffffff,4.0,2.0,0.0
843c0a3ffffffff,11.0,4.0,0.0
843c0a5ffffffff,185.0,153.0,0.0
843c0a7ffffffff,1.0,1.0,0.0
843c0a9ffffffff,42.0,29.0,0.0
843c0adffffffff,37.0,28.0,0.0
843c0b5ffffffff,42.0,18.0,0.0
843c0b7ffffffff,31.0,26.0,0.0
843c0bdffffffff,27.0,8.0,0.0
843c0e7ffffffff,13.0,13.0,0.0
843c199ffffffff,4.0,2.0,0.0
843c1d1ffffffff,44.0,43.0,0.0
843c1d3ffffffff,106.0,76.0,0.0
843c1dbffffffff,25.0,20.0,0.0
843c315ffffffff,8.0,5.0,0.0
843c317ffffffff,11.0,10.0,0.0
843c33bffffffff,3.0,3.0,0.0
843c437ffffffff,12.0,12.0,0.0
843c521ffffffff,19.0,0.0,0.0
843c525ffffffff,1.0,0.0,0.0
843c527ffffffff,36.0,0.0,0.0
843c529ffffffff,2.0,0.0,0.0
843c52dffffffff,1.0,1.0,0.0
843c533ffffffff,6.0,6.0,0.0
843c567ffffffff,2.0,0.0,0.0
843c581ffffffff,167.0,144.0,0.0
843c587ffffffff,25.0,19.0,0.0
843c595ffffffff,4.0,0.0,0.0
843c5cbffffffff,25.0,25.0,0.0
843c5d5ffffffff,2.0,0.0,0.0
843c5ddffffffff,2.0,2.0,0.0
843c5e9ffffffff,1.0,0.0,0.0
843cd8bffffffff,24.0,23.0,0.0
843cd9dffffffff,2.0,2.0,0.0
843ce43ffffffff,1.0,0.0,0.0
843ce49ffffffff,8.0,8.0,0.0
843ce4bffffffff,9.0,3.0,0.0
843ce4dffffffff,8.0,7.0,0.0
843ce51ffffffff,28.0,12.0,0.0
843ce53ffffffff,17.0,15.0,0.0
843ce57ffffffff,4.0,4.0,0.0
843ce59ffffffff,29.0,25.0,0.0
843ce5bffffffff,43.0,36.0,0.0
843ce5dffffffff,10.0,4.0,0.0
843ce85ffffffff,14.0,0.0,0.0
843d101ffffffff,4.0,4.0,0.0
843d103ffffffff,73.0,58.0,0.0
843d107ffffffff,2.0,2.0,0.0
843d109ffffffff,49.0,36.0,0.0
843d115ffffffff,2.0,2.0,0.0
843d11dffffffff,12.0,10.0,0.0
843d131ffffffff,4.0,4.0,0.0
843d137ffffffff,10.0,10.0,0.0
843d139ffffffff,21.0,16.0,0.0
843d13bffffffff,10.0,10.0,0.0
843d147ffffffff,6.0,6.0,0.0
843d151ffffffff,76.0,10.0,0.0
843d155ffffffff,15.0,11.0,0.0
843d157ffffffff,2.0,2.0,0.0
843d159ffffffff,2.0,2.0,0.0
843d15dffffffff,29.0,5.0,0.0
843d1a9ffffffff,126.0,13.0,0.0
843d1adffffffff,12.0,11.0,0.0
843d1e5ffffffff,4.0,0.0,0.0
843d1e7ffffffff,79.0,64.0,0.0
843d1edffffffff,333.0,256.0,0.0
843d333ffffffff,3.0,3.0,0.0
843d337ffffffff,1.0,1.0,0.0
843d33dffffffff,22.0,22.0,0.0
843dad1ffffffff,222.0,164.0,0.0
843dad9ffffffff,85.0,60.0,0.0
843dadbffffffff,6.0,6.0,0.0
843daddffffffff,13.0,8.0,0.0
84404c5ffffffff,27.0,25.0,0.0
84404cdffffffff,1.0,1.0,0.0
84404ddffffffff,2.0,0.0,0.0
84404e7ffffffff,1.0,1.0,0.0
8440521ffffffff,2.0,0.0,2.0
844058bffffffff,1.0,1.0,0.0
8440591ffffffff,6.0,6.0,0.0
844059dffffffff,4.0,4.0,0.0
8440c05ffffffff,4.0,0.0,4.0
8440c59ffffffff,8.0,0.0,8.0
8440c67ffffffff,3.0,0.0,3.0
8440c6dffffffff,2.0,0.0,2.0
8440e11ffffffff,5.0,0.0,5.0
8440e13ffffffff,22.0,0.0,22.0
8440e33ffffffff,1.0,0.0,1.0
8440e37ffffffff,8.0,0.0,8.0
8440ec1ffffffff,10.0,0.0,10.0
8440ec5ffffffff,21.0,0.0,21.0
8440ee5ffffffff,6.0,0.0,6.0
8440eebffffffff,9.0,0.0,9.0
8441593ffffffff,5.0,4.0,0.0
