cell_id,Anarhynchus alexandrinus,Anarhynchus alexandrinus alexandrinus/nihonensis,Anarhynchus alexandrinus seebohmi
84089a9ffffffff,3.0,0.0,0.0
8408b3dffffffff,1.0,0.0,0.0
8409911ffffffff,4.0,0.0,0.0
841126dffffffff,1.0,0.0,0.0
8415929ffffffff,1.0,0.0,0.0
841828bffffffff,3.0,0.0,0.0
8418495ffffffff,2.0,0.0,0.0
84184b1ffffffff,2.0,0.0,0.0
84184b9ffffffff,4.0,0.0,0.0
84184bdffffffff,6.0,0.0,0.0
84184c3ffffffff,2.0,0.0,0.0
84185b5ffffffff,44.0,0.0,0.0
84185bbffffffff,9.0,0.0,0.0
8419411ffffffff,8.0,2.0,0.0
841941bffffffff,1.0,1.0,0.0
8419437ffffffff,1.0,0.0,0.0
8419485ffffffff,6.0,2.0,0.0
841948dffffffff,3.0,0.0,0.0
84194e3ffffffff,1.0,0.0,0.0
8419587ffffffff,10.0,0.0,0.0
84195b7ffffffff,1.0,0.0,0.0
84195bbffffffff,1.0,0.0,0.0
84195d9ffffffff,1.0,0.0,0.0
841969dffffffff,2.0,0.0,0.0
84196b3ffffffff,2.0,0.0,0.0
84196ddffffffff,3.0,0.0,0.0
841e025ffffffff,2.0,1.0,0.0
841e029ffffffff,3.0,0.0,0.0
841e02dffffffff,2.0,0.0,0.0
841e047ffffffff,2.0,0.0,0.0
841e05bffffffff,2.0,0.0,0.0
841e061ffffffff,2.0,0.0,0.0
841e1bbffffffff,3.0,0.0,0.0
841e257ffffffff,1.0,0.0,0.0
841e2d9ffffffff,2.0,0.0,0.0
841e8b1ffffffff,2.0,0.0,0.0
841e961ffffffff,2.0,0.0,0.0
841e96dffffffff,2.0,0.0,0.0
841ea03ffffffff,2.0,0.0,0.0
841ec99ffffffff,1.0,0.0,0.0
841ec9dffffffff,2.0,0.0,0.0
841ede1ffffffff,18.0,0.0,0.0
841eeb7ffffffff,9.0,0.0,0.0
841ef27ffffffff,19.0,11.0,0.0
841f051ffffffff,4.0,0.0,0.0
841f09bffffffff,3.0,0.0,0.0
841f0e1ffffffff,1.0,0.0,0.0
841f0edffffffff,2.0,0.0,0.0
841f211ffffffff,2.0,2.0,0.0
841f283ffffffff,3.0,0.0,0.0
841f72dffffffff,2.0,0.0,0.0
841f8ebffffffff,2.0,0.0,0.0
8420333ffffffff,4.0,0.0,0.0
8420e21ffffffff,3.0,0.0,0.0
8421567ffffffff,2.0,2.0,0.0
842400dffffffff,4.0,2.0,0.0
8424047ffffffff,1.0,1.0,0.0
842405bffffffff,2.0,2.0,0.0
84242c3ffffffff,1.0,0.0,0.0
84242d5ffffffff,1.0,0.0,0.0
8424311ffffffff,1.0,0.0,0.0
84244c1ffffffff,3.0,3.0,0.0
8425131ffffffff,6.0,6.0,0.0
8425133ffffffff,3.0,3.0,0.0
8425acbffffffff,2.0,2.0,0.0
842c0b7ffffffff,3.0,0.0,0.0
842c193ffffffff,5.0,0.0,0.0
842c219ffffffff,6.0,0.0,0.0
842c2a1ffffffff,2.0,0.0,0.0
842c403ffffffff,2.0,0.0,0.0
842c4cdffffffff,6.0,0.0,0.0
842c511ffffffff,2.0,0.0,0.0
842c513ffffffff,25.0,0.0,0.0
842c93bffffffff,26.0,8.0,0.0
842ce49ffffffff,2.0,0.0,0.0
842ce4bffffffff,2.0,2.0,0.0
842ce51ffffffff,3.0,0.0,0.0
842d125ffffffff,2.0,0.0,0.0
842d147ffffffff,1.0,1.0,0.0
842d331ffffffff,1.0,0.0,0.0
842d641ffffffff,9.0,0.0,0.0
842da1bffffffff,3.0,0.0,0.0
842db01ffffffff,1.0,0.0,0.0
842db03ffffffff,1.0,0.0,0.0
842db0bffffffff,2.0,0.0,0.0
842db15ffffffff,1.0,0.0,0.0
842db23ffffffff,2.0,0.0,0.0
842db25ffffffff,4.0,0.0,0.0
842db67ffffffff,2.0,1.0,0.0
842eac9ffffffff,2.0,0.0,0.0
842f433ffffffff,3.0,0.0,0.0
8430833ffffffff,11.0,2.0,0.0
8430991ffffffff,4.0,0.0,0.0
8430997ffffffff,6.0,0.0,0.0
84309b3ffffffff,3.0,0.0,0.0
84309bbffffffff,1.0,0.0,0.0
84309d3ffffffff,2.0,0.0,0.0
