cell_id,Myrmecocichla arnotti,Myrmecocichla arnotti harterti,Myrmecocichla arnotti arnotti,Myrmecocichla arnotti collaris
846ad81ffffffff,41.0,0.0,0.0,41.0
846ad83ffffffff,5.0,0.0,0.0,5.0
846ad85ffffffff,14.0,0.0,0.0,11.0
846ad89ffffffff,2.0,0.0,0.0,2.0
846ad8bffffffff,60.0,0.0,0.0,50.0
846ad8dffffffff,13.0,0.0,0.0,13.0
846ad9dffffffff,1.0,0.0,0.0,1.0
846ada3ffffffff,3.0,0.0,0.0,3.0
846ada9ffffffff,38.0,0.0,0.0,18.0
846adc7ffffffff,10.0,0.0,0.0,10.0
846add5ffffffff,7.0,0.0,0.0,6.0
846add7ffffffff,28.0,0.0,0.0,26.0
846ade7ffffffff,4.0,0.0,0.0,3.0
846adebffffffff,3.0,0.0,0.0,3.0
847b4d3ffffffff,1.0,0.0,0.0,0.0
8496003ffffffff,3.0,0.0,0.0,0.0
8496009ffffffff,11.0,0.0,0.0,0.0
8496015ffffffff,10.0,0.0,0.0,0.0
849602dffffffff,6.0,0.0,0.0,0.0
8496047ffffffff,5.0,0.0,0.0,0.0
849609dffffffff,4.0,0.0,0.0,0.0
84960b1ffffffff,4.0,0.0,0.0,0.0
84960bdffffffff,1.0,0.0,0.0,0.0
84960e9ffffffff,1.0,0.0,0.0,0.0
84960edffffffff,3.0,0.0,0.0,0.0
849610dffffffff,2.0,0.0,0.0,0.0
8496125ffffffff,1.0,0.0,0.0,0.0
8496145ffffffff,2.0,0.0,0.0,0.0
849615bffffffff,1.0,0.0,0.0,0.0
849619dffffffff,1.0,0.0,0.0,0.0
8496203ffffffff,3.0,0.0,0.0,0.0
8496207ffffffff,17.0,0.0,0.0,0.0
8496217ffffffff,2.0,0.0,0.0,0.0
849621dffffffff,2.0,0.0,0.0,0.0
849622bffffffff,1.0,0.0,0.0,0.0
8496233ffffffff,4.0,0.0,0.0,0.0
849623bffffffff,56.0,0.0,0.0,0.0
8496263ffffffff,8.0,0.0,0.0,0.0
8496283ffffffff,28.0,0.0,0.0,0.0
8496287ffffffff,7.0,0.0,0.0,0.0
849628bffffffff,18.0,0.0,0.0,0.0
849629dffffffff,7.0,0.0,0.0,0.0
84962abffffffff,1.0,0.0,0.0,0.0
84962b9ffffffff,9.0,0.0,0.0,0.0
84962bdffffffff,3.0,0.0,0.0,0.0
84962c9ffffffff,48.0,0.0,9.0,0.0
84962d5ffffffff,2.0,0.0,0.0,0.0
84962d7ffffffff,14.0,0.0,0.0,0.0
84962d9ffffffff,6.0,0.0,0.0,0.0
84962e5ffffffff,10.0,0.0,0.0,0.0
8496311ffffffff,2.0,0.0,0.0,0.0
