cell_id,Glaucidium gnoma,Glaucidium gnoma gnoma,Glaucidium gnoma [californicum Group],Glaucidium gnoma pinicola,Glaucidium gnoma cobanense,Glaucidium gnoma hoskinsii
82121ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
821287fffffffff,25.0,0.0,1.0,0.0,0.0,0.0
82128ffffffffff,165.0,0.0,0.0,0.0,0.0,0.0
82129ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8212a7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,43.0,0.0,2.0,0.0,0.0,0.0
8212b7fffffffff,72.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,183.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,459.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,444.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,1071.0,0.0,12.0,0.0,0.0,0.0
8212e7fffffffff,61.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8212f7fffffffff,97.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,35.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,519.0,0.0,0.0,0.0,0.0,0.0
82268ffffffffff,521.0,0.0,0.0,0.0,0.0,0.0
822697fffffffff,428.0,0.0,0.0,117.0,0.0,0.0
82269ffffffffff,238.0,0.0,0.0,1.0,0.0,0.0
8226b7fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
822797fffffffff,69.0,0.0,0.0,0.0,0.0,0.0
822807fffffffff,391.0,0.0,75.0,0.0,0.0,0.0
822817fffffffff,510.0,0.0,2.0,0.0,0.0,0.0
82281ffffffffff,680.0,0.0,84.0,0.0,0.0,0.0
822837fffffffff,1846.0,0.0,46.0,0.0,0.0,0.0
822887fffffffff,308.0,0.0,0.0,0.0,0.0,0.0
82288ffffffffff,340.0,0.0,0.0,0.0,0.0,0.0
822897fffffffff,109.0,0.0,0.0,1.0,0.0,0.0
82289ffffffffff,324.0,0.0,0.0,0.0,0.0,0.0
8228affffffffff,507.0,0.0,9.0,0.0,0.0,0.0
8228b7fffffffff,59.0,0.0,0.0,0.0,0.0,0.0
8228c7fffffffff,273.0,0.0,21.0,0.0,0.0,0.0
8228d7fffffffff,1394.0,0.0,53.0,0.0,0.0,0.0
8228dffffffffff,543.0,0.0,15.0,0.0,0.0,0.0
8228f7fffffffff,1927.0,0.0,79.0,0.0,0.0,0.0
822917fffffffff,55.0,0.0,6.0,0.0,0.0,0.0
82291ffffffffff,315.0,0.0,96.0,0.0,0.0,0.0
82298ffffffffff,368.0,0.0,0.0,0.0,0.0,0.0
822997fffffffff,124.0,0.0,0.0,15.0,0.0,0.0
8229a7fffffffff,9.0,0.0,1.0,0.0,0.0,0.0
8229affffffffff,892.0,0.0,35.0,0.0,0.0,0.0
8229b7fffffffff,69.0,0.0,0.0,5.0,0.0,0.0
824527fffffffff,38.0,0.0,0.0,0.0,27.0,0.0
82480ffffffffff,2.0,2.0,0.0,0.0,0.0,0.0
824817fffffffff,83.0,33.0,0.0,0.0,0.0,0.0
82481ffffffffff,56.0,19.0,0.0,0.0,0.0,0.0
824827fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
82482ffffffffff,151.0,0.0,0.0,0.0,0.0,134.0
824837fffffffff,77.0,53.0,0.0,0.0,0.0,0.0
8248a7fffffffff,275.0,82.0,0.0,0.0,0.0,0.0
8248c7fffffffff,1439.0,531.0,0.0,27.0,0.0,0.0
8248cffffffffff,282.0,0.0,0.0,89.0,0.0,0.0
8248d7fffffffff,40.0,0.0,0.0,14.0,0.0,0.0
8248dffffffffff,387.0,0.0,0.0,45.0,0.0,0.0
8248e7fffffffff,168.0,96.0,0.0,0.0,0.0,0.0
8248effffffffff,2478.0,969.0,0.0,6.0,0.0,0.0
824987fffffffff,62.0,5.0,0.0,0.0,0.0,0.0
82498ffffffffff,71.0,6.0,0.0,0.0,0.0,0.0
824997fffffffff,26.0,13.0,0.0,0.0,0.0,0.0
82499ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8249affffffffff,293.0,154.0,0.0,0.0,0.0,0.0
8249b7fffffffff,30.0,11.0,0.0,0.0,0.0,0.0
826d27fffffffff,92.0,0.0,0.0,0.0,60.0,0.0
826d2ffffffffff,1142.0,0.0,0.0,0.0,977.0,0.0
826d37fffffffff,444.0,282.0,0.0,0.0,0.0,0.0
