cell_id,Coturnicops noveboracensis,Coturnicops noveboracensis noveboracensis,Coturnicops noveboracensis goldmani
820e87fffffffff,53.0,0.0,0.0
820ec7fffffffff,1.0,0.0,0.0
820ecffffffffff,258.0,0.0,0.0
820eeffffffffff,1237.0,0.0,0.0
820ef7fffffffff,16.0,0.0,0.0
82121ffffffffff,22.0,0.0,0.0
82122ffffffffff,1.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0
82124ffffffffff,2.0,0.0,0.0
821257fffffffff,101.0,0.0,0.0
82125ffffffffff,12.0,0.0,0.0
821277fffffffff,2.0,0.0,0.0
8212c7fffffffff,237.0,0.0,0.0
8212cffffffffff,11.0,0.0,0.0
8212effffffffff,129.0,0.0,0.0
822627fffffffff,11.0,0.0,0.0
822637fffffffff,49.0,0.0,0.0
822707fffffffff,53.0,0.0,0.0
82270ffffffffff,50.0,0.0,0.0
822717fffffffff,43.0,0.0,0.0
82271ffffffffff,66.0,0.0,0.0
822737fffffffff,4.0,0.0,0.0
822757fffffffff,129.0,0.0,0.0
8227a7fffffffff,6.0,0.0,0.0
8227affffffffff,7.0,0.0,0.0
822817fffffffff,21.0,0.0,0.0
82281ffffffffff,75.0,0.0,0.0
8228affffffffff,61.0,0.0,0.0
822b17fffffffff,30.0,0.0,0.0
822b37fffffffff,69.0,0.0,0.0
824447fffffffff,506.0,0.0,0.0
82444ffffffffff,34.0,0.0,0.0
82446ffffffffff,210.0,0.0,0.0
824897fffffffff,71.0,0.0,0.0
