cell_id,Hypsipetes ganeesa,Hypsipetes ganeesa ganeesa,Hypsipetes ganeesa humii
8460025ffffffff,126.0,0.0,0.0
8460065ffffffff,987.0,0.0,0.0
8460067ffffffff,26.0,0.0,0.0
846006dffffffff,94.0,0.0,0.0
8460103ffffffff,4.0,0.0,0.0
8460111ffffffff,147.0,0.0,0.0
8460115ffffffff,36.0,0.0,0.0
8460117ffffffff,90.0,0.0,0.0
8460119ffffffff,107.0,0.0,0.0
846011dffffffff,174.0,0.0,0.0
8460131ffffffff,1.0,0.0,0.0
8460139ffffffff,28.0,0.0,0.0
846013bffffffff,6.0,0.0,0.0
8460151ffffffff,1.0,0.0,0.0
8460153ffffffff,433.0,0.0,0.0
8460157ffffffff,31.0,0.0,0.0
846015bffffffff,413.0,0.0,0.0
84601e5ffffffff,11.0,0.0,0.0
84601edffffffff,34.0,0.0,0.0
8460225ffffffff,11.0,0.0,0.0
846022dffffffff,17.0,0.0,0.0
8460261ffffffff,456.0,0.0,0.0
8460267ffffffff,215.0,0.0,0.0
8460269ffffffff,2.0,0.0,0.0
846026dffffffff,2.0,0.0,0.0
8460309ffffffff,2.0,0.0,0.0
846030bffffffff,363.0,0.0,0.0
8460311ffffffff,626.0,0.0,0.0
8460313ffffffff,6.0,0.0,0.0
8460315ffffffff,3.0,0.0,0.0
8460317ffffffff,11.0,0.0,0.0
8460319ffffffff,2206.0,0.0,0.0
846031bffffffff,4.0,0.0,0.0
846031dffffffff,1887.0,0.0,0.0
8460331ffffffff,423.0,0.0,0.0
8460333ffffffff,284.0,0.0,0.0
8460335ffffffff,50.0,0.0,0.0
846033bffffffff,593.0,0.0,0.0
8460351ffffffff,234.0,0.0,0.0
8460353ffffffff,355.0,0.0,0.0
8460357ffffffff,262.0,0.0,0.0
846035bffffffff,714.0,0.0,0.0
8460881ffffffff,11.0,0.0,0.0
8460887ffffffff,108.0,0.0,0.0
8460889ffffffff,58.0,0.0,0.0
846088dffffffff,8.0,0.0,0.0
84608a1ffffffff,2.0,0.0,0.0
84608abffffffff,90.0,0.0,0.0
84608b5ffffffff,27.0,0.0,0.0
84608b9ffffffff,2.0,0.0,0.0
84608bdffffffff,73.0,0.0,0.0
84608c3ffffffff,1.0,0.0,0.0
84608d5ffffffff,14.0,0.0,0.0
84608ddffffffff,18.0,0.0,0.0
8460a83ffffffff,8.0,0.0,0.0
8460a91ffffffff,16.0,0.0,0.0
8460a95ffffffff,91.0,0.0,0.0
8460a97ffffffff,18.0,0.0,0.0
8460a99ffffffff,71.0,0.0,0.0
8460a9dffffffff,214.0,0.0,0.0
8460ab3ffffffff,8.0,0.0,0.0
8460ab7ffffffff,2.0,0.0,0.0
8460ab9ffffffff,3.0,0.0,0.0
8460abbffffffff,43.0,0.0,0.0
8460ad1ffffffff,3.0,0.0,0.0
8460ad3ffffffff,52.0,0.0,0.0
8460ad7ffffffff,27.0,0.0,0.0
8460ad9ffffffff,4.0,0.0,0.0
8460adbffffffff,2.0,0.0,0.0
8461007ffffffff,2.0,0.0,2.0
8461021ffffffff,124.0,0.0,32.0
8461023ffffffff,850.0,0.0,322.0
8461025ffffffff,58.0,0.0,18.0
8461027ffffffff,489.0,0.0,193.0
846102bffffffff,142.0,0.0,31.0
846102dffffffff,1.0,0.0,0.0
846103dffffffff,54.0,0.0,23.0
8461113ffffffff,15.0,0.0,1.0
8461117ffffffff,1.0,0.0,0.0
8461119ffffffff,18.0,0.0,2.0
846111bffffffff,71.0,0.0,31.0
84611c9ffffffff,17.0,0.0,0.0
84611cbffffffff,1.0,0.0,1.0
84611cdffffffff,4.0,0.0,1.0
