cell_id,Thamnistes anabatinus,Thamnistes anabatinus [anabatinus Group],Thamnistes anabatinus aequatorialis/gularis
8445203ffffffff,5.0,0.0,0.0
844520bffffffff,14.0,0.0,0.0
8445217ffffffff,13.0,0.0,0.0
844521dffffffff,18.0,0.0,0.0
8445225ffffffff,89.0,0.0,0.0
8445233ffffffff,37.0,0.0,0.0
8445257ffffffff,8.0,0.0,0.0
84452e9ffffffff,17.0,0.0,0.0
84452edffffffff,15.0,0.0,0.0
8445305ffffffff,4.0,0.0,0.0
8445319ffffffff,9.0,0.0,0.0
844532bffffffff,15.0,0.0,0.0
8445363ffffffff,9.0,0.0,0.0
8445365ffffffff,3.0,0.0,0.0
8466101ffffffff,1.0,0.0,0.0
8466107ffffffff,2.0,0.0,0.0
8466115ffffffff,1.0,0.0,0.0
8466129ffffffff,16.0,0.0,0.0
8466131ffffffff,34.0,1.0,0.0
8466137ffffffff,2.0,0.0,0.0
8466139ffffffff,64.0,20.0,0.0
8466163ffffffff,8.0,1.0,0.0
8466165ffffffff,57.0,7.0,0.0
8466167ffffffff,5.0,0.0,0.0
84661a5ffffffff,2.0,0.0,0.0
84661adffffffff,5.0,0.0,0.0
84661b1ffffffff,5.0,0.0,0.0
84661c9ffffffff,1.0,0.0,0.0
84661cdffffffff,2.0,0.0,0.0
8466a01ffffffff,44.0,0.0,0.0
8466a05ffffffff,7.0,1.0,0.0
8466a0bffffffff,285.0,17.0,0.0
8466a51ffffffff,8.0,8.0,0.0
8466a57ffffffff,171.0,8.0,0.0
8466a59ffffffff,4.0,0.0,0.0
8466a5bffffffff,58.0,4.0,0.0
8466b01ffffffff,212.0,0.0,0.0
8466b09ffffffff,42.0,0.0,0.0
8466b0bffffffff,161.0,0.0,0.0
8466b1dffffffff,6.0,0.0,0.0
8466b41ffffffff,73.0,0.0,0.0
8466b43ffffffff,11.0,0.0,0.0
8466b45ffffffff,44.0,0.0,0.0
8466b47ffffffff,38.0,0.0,0.0
8466b49ffffffff,676.0,0.0,0.0
8466b4dffffffff,504.0,0.0,0.0
8466b51ffffffff,35.0,0.0,0.0
8466b55ffffffff,161.0,0.0,0.0
8466b57ffffffff,3.0,0.0,0.0
8466b5bffffffff,38.0,6.0,0.0
8466b5dffffffff,5.0,0.0,0.0
8466c21ffffffff,10.0,0.0,0.0
8466c27ffffffff,2.0,0.0,0.0
8466c29ffffffff,8.0,0.0,0.0
8466c2dffffffff,22.0,0.0,7.0
8466c67ffffffff,1.0,0.0,0.0
8466d01ffffffff,1.0,0.0,0.0
8466d03ffffffff,4.0,0.0,0.0
8466d07ffffffff,21.0,4.0,0.0
8466d0bffffffff,9.0,0.0,0.0
8466d1bffffffff,83.0,0.0,2.0
8466d23ffffffff,21.0,2.0,0.0
8466d31ffffffff,312.0,39.0,0.0
8466d35ffffffff,508.0,80.0,0.0
8466d37ffffffff,19.0,7.0,0.0
8466d3dffffffff,10.0,1.0,0.0
8466d57ffffffff,2.0,0.0,0.0
8466da7ffffffff,2.0,0.0,2.0
8466dadffffffff,10.0,0.0,0.0
8466dc3ffffffff,3.0,0.0,0.0
8466de1ffffffff,275.0,0.0,31.0
8466de7ffffffff,3.0,0.0,0.0
8466debffffffff,23.0,0.0,6.0
8466f03ffffffff,144.0,7.0,0.0
8466f0bffffffff,9.0,0.0,0.0
8466f1dffffffff,47.0,0.0,0.0
8467915ffffffff,1.0,0.0,0.0
846794dffffffff,3.0,0.0,0.0
8467961ffffffff,15.0,0.0,0.0
84679a1ffffffff,3.0,0.0,0.0
84679a5ffffffff,43.0,0.0,0.0
84679a7ffffffff,121.0,0.0,0.0
84679b7ffffffff,4.0,0.0,0.0
846d21bffffffff,1.0,0.0,0.0
846d2c1ffffffff,9.0,0.0,0.0
846d2c3ffffffff,3.0,2.0,0.0
846d2c9ffffffff,27.0,12.0,0.0
846d2cbffffffff,2.0,0.0,0.0
846d681ffffffff,5.0,0.0,0.0
846d689ffffffff,4.0,0.0,0.0
846d68bffffffff,298.0,0.0,0.0
846d68dffffffff,10.0,0.0,0.0
846d691ffffffff,260.0,0.0,0.0
846d693ffffffff,17.0,0.0,0.0
846d697ffffffff,388.0,0.0,0.0
846d699ffffffff,4.0,0.0,0.0
846d69bffffffff,866.0,0.0,0.0
846d69dffffffff,2108.0,0.0,0.0
846d6d1ffffffff,2.0,0.0,0.0
846d6d3ffffffff,2.0,0.0,0.0
848f0dbffffffff,185.0,28.0,0.0
848f291ffffffff,3.0,0.0,0.0
848f295ffffffff,2.0,0.0,0.0
848f2bbffffffff,5.0,0.0,0.0
848f2cbffffffff,2.0,0.0,0.0
848f2cdffffffff,7.0,0.0,0.0
848f705ffffffff,1.0,0.0,0.0
848f729ffffffff,27.0,0.0,0.0
848f72bffffffff,14.0,0.0,5.0
848f745ffffffff,1.0,0.0,0.0
848f74dffffffff,1.0,0.0,0.0
848f76bffffffff,1.0,0.0,0.0
