cell_id,Aethopyga gouldiae,Aethopyga gouldiae gouldiae/isolata,Aethopyga gouldiae dabryii,Aethopyga gouldiae annamensis
823c07fffffffff,6.0,0.0,0.0,0.0
823c0ffffffffff,1.0,0.0,0.0,0.0
823c1ffffffffff,1.0,0.0,0.0,0.0
823c57fffffffff,3.0,3.0,0.0,0.0
823c5ffffffffff,1.0,0.0,0.0,0.0
823cc7fffffffff,6.0,0.0,0.0,0.0
823cdffffffffff,5.0,3.0,0.0,0.0
823ce7fffffffff,7.0,0.0,0.0,0.0
823ceffffffffff,13.0,0.0,0.0,0.0
823d17fffffffff,2.0,2.0,0.0,0.0
82401ffffffffff,4.0,0.0,0.0,0.0
8240c7fffffffff,1.0,0.0,1.0,0.0
8240effffffffff,4.0,0.0,4.0,0.0
82411ffffffffff,25.0,0.0,0.0,0.0
82414ffffffffff,8.0,0.0,0.0,0.0
824167fffffffff,2.0,0.0,0.0,0.0
8241b7fffffffff,2.0,0.0,0.0,0.0
824ba7fffffffff,15.0,0.0,2.0,0.0
826487fffffffff,4.0,0.0,0.0,0.0
8264a7fffffffff,2.0,0.0,2.0,0.0
8264b7fffffffff,5.0,0.0,2.0,0.0
8265b7fffffffff,2.0,0.0,0.0,2.0
826937fffffffff,1.0,0.0,1.0,0.0
