cell_id,Cinnyris ornatus,Cinnyris ornatus [ornatus Group],Cinnyris ornatus rhizophorae
843cc83ffffffff,3.0,0.0,0.0
843cca1ffffffff,6.0,0.0,0.0
843cca3ffffffff,2.0,0.0,0.0
843ccb5ffffffff,6.0,0.0,0.0
843ccd3ffffffff,2.0,0.0,0.0
843cd8bffffffff,4.0,0.0,0.0
843cd91ffffffff,16.0,0.0,0.0
843cd93ffffffff,3.0,0.0,0.0
843cd9bffffffff,5.0,0.0,0.0
843cd9dffffffff,3.0,0.0,0.0
843cde7ffffffff,2.0,0.0,0.0
84402d7ffffffff,28.0,0.0,2.0
84404cdffffffff,2.0,0.0,0.0
8440611ffffffff,2.0,0.0,0.0
8440619ffffffff,10.0,0.0,0.0
8440651ffffffff,2.0,0.0,0.0
84406d1ffffffff,1.0,0.0,0.0
8441421ffffffff,6.0,0.0,0.0
844142bffffffff,2.0,0.0,0.0
8441431ffffffff,7.0,0.0,0.0
8441433ffffffff,40.0,0.0,0.0
8441439ffffffff,1.0,0.0,0.0
844143bffffffff,28.0,0.0,0.0
8441491ffffffff,2.0,0.0,0.0
8441493ffffffff,1.0,0.0,0.0
84414b1ffffffff,2.0,0.0,0.0
84414c3ffffffff,2.0,0.0,0.0
84414d9ffffffff,11.0,0.0,0.0
8441517ffffffff,3.0,0.0,0.0
8441539ffffffff,2.0,0.0,0.0
844153bffffffff,1.0,0.0,0.0
844153dffffffff,2.0,0.0,0.0
8441547ffffffff,8.0,0.0,0.0
84415c3ffffffff,7.0,0.0,0.0
84415e1ffffffff,4.0,0.0,0.0
84415e7ffffffff,2.0,0.0,0.0
84415edffffffff,17.0,0.0,3.0
8441609ffffffff,3.0,0.0,0.0
8441643ffffffff,17.0,2.0,0.0
8441655ffffffff,11.0,0.0,0.0
844165dffffffff,2.0,0.0,0.0
8441681ffffffff,1.0,0.0,0.0
8441685ffffffff,6.0,0.0,0.0
8441687ffffffff,2.0,0.0,0.0
844168bffffffff,1.0,0.0,0.0
8441691ffffffff,1.0,0.0,0.0
8441695ffffffff,2.0,0.0,0.0
8441699ffffffff,2.0,0.0,0.0
844169bffffffff,8.0,0.0,0.0
844169dffffffff,8.0,0.0,0.0
