cell_id,Hypsipetes leucocephalus,Hypsipetes leucocephalus [psaroides Group],Hypsipetes leucocephalus sinensis/ambiens,Hypsipetes leucocephalus [leucocephalus Group],Hypsipetes leucocephalus perniger,Hypsipetes leucocephalus nigerrimus
82209ffffffffff,48.0,0.0,0.0,0.0,0.0,0.0
823097fffffffff,43.0,0.0,0.0,7.0,0.0,0.0
82309ffffffffff,239.0,0.0,0.0,182.0,0.0,0.0
823c07fffffffff,961.0,48.0,0.0,0.0,0.0,0.0
823c0ffffffffff,1234.0,62.0,0.0,0.0,0.0,0.0
823c17fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,1548.0,5.0,0.0,0.0,0.0,0.0
823c37fffffffff,200.0,0.0,0.0,0.0,0.0,0.0
823c47fffffffff,4.0,2.0,0.0,0.0,0.0,0.0
823c57fffffffff,1250.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,1477.0,4.0,0.0,0.0,0.0,0.0
823cc7fffffffff,85.0,0.0,0.0,0.0,0.0,0.0
823ccffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
823cdffffffffff,44.0,2.0,0.0,6.0,0.0,0.0
823ce7fffffffff,1486.0,97.0,0.0,0.0,0.0,0.0
823ceffffffffff,1055.0,0.0,0.0,0.0,0.0,0.0
823d17fffffffff,4626.0,0.0,0.0,0.0,0.0,0.0
823d1ffffffffff,716.0,0.0,0.0,0.0,0.0,0.0
823d37fffffffff,956.0,0.0,0.0,0.0,0.0,0.0
823daffffffffff,3876.0,0.0,0.0,0.0,0.0,0.0
824007fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
824017fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82401ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
824027fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82402ffffffffff,81.0,0.0,0.0,15.0,0.0,0.0
824037fffffffff,35.0,0.0,0.0,0.0,0.0,0.0
824047fffffffff,21.0,0.0,0.0,2.0,0.0,0.0
82404ffffffffff,626.0,0.0,30.0,28.0,0.0,0.0
824057fffffffff,4.0,0.0,0.0,1.0,0.0,0.0
82405ffffffffff,21.0,0.0,12.0,1.0,0.0,0.0
824067fffffffff,24.0,0.0,8.0,3.0,0.0,0.0
82406ffffffffff,38.0,0.0,1.0,0.0,0.0,0.0
824077fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8240affffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8240b7fffffffff,11.0,0.0,0.0,1.0,0.0,0.0
8240c7fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8240e7fffffffff,104.0,0.0,0.0,1.0,0.0,0.0
8240effffffffff,86.0,0.0,0.0,0.0,0.0,0.0
824107fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
824117fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82411ffffffffff,188.0,0.0,0.0,4.0,0.0,0.0
824147fffffffff,47.0,1.0,0.0,0.0,0.0,0.0
82414ffffffffff,113.0,0.0,0.0,34.0,0.0,0.0
824157fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82415ffffffffff,133.0,2.0,3.0,14.0,0.0,0.0
824167fffffffff,45.0,0.0,2.0,0.0,0.0,0.0
82416ffffffffff,17.0,0.0,2.0,1.0,0.0,0.0
824177fffffffff,32.0,0.0,0.0,0.0,14.0,0.0
824187fffffffff,97.0,0.0,0.0,5.0,0.0,0.0
82418ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
824197fffffffff,254.0,0.0,0.0,169.0,0.0,0.0
82419ffffffffff,5.0,0.0,0.0,1.0,0.0,0.0
8241a7fffffffff,41.0,0.0,0.0,0.0,0.0,0.0
8241affffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8241b7fffffffff,624.0,0.0,0.0,125.0,0.0,0.0
82426ffffffffff,255.0,0.0,0.0,0.0,0.0,0.0
824b37fffffffff,57.0,0.0,0.0,45.0,0.0,0.0
824b87fffffffff,5618.0,0.0,0.0,0.0,0.0,736.0
824ba7fffffffff,52360.0,0.0,0.0,0.0,0.0,9630.0
824bb7fffffffff,7873.0,0.0,0.0,0.0,0.0,1565.0
826487fffffffff,622.0,18.0,81.0,7.0,0.0,0.0
826497fffffffff,873.0,21.0,149.0,12.0,0.0,0.0
82649ffffffffff,127.0,0.0,3.0,6.0,0.0,0.0
8264a7fffffffff,68.0,2.0,11.0,0.0,0.0,0.0
8264b7fffffffff,53.0,0.0,2.0,3.0,0.0,0.0
826587fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
826597fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
8265a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8265b7fffffffff,862.0,28.0,0.0,1.0,0.0,0.0
826937fffffffff,184.0,1.0,18.0,8.0,0.0,0.0
