cell_id,Saxicola maurus,Saxicola maurus hemprichii,Saxicola maurus [maurus Group],Saxicola maurus przewalskii
840a337ffffffff,5.0,0.0,0.0,0.0
840b91bffffffff,1.0,0.0,0.0,0.0
840bb1dffffffff,2.0,0.0,0.0,0.0
8410c05ffffffff,5.0,0.0,0.0,0.0
8410c23ffffffff,28.0,0.0,0.0,0.0
8410c27ffffffff,17.0,0.0,0.0,0.0
8410c35ffffffff,13.0,0.0,2.0,0.0
8410c3dffffffff,2.0,0.0,2.0,0.0
8410dc1ffffffff,17.0,0.0,0.0,0.0
8410dc9ffffffff,45.0,0.0,4.0,0.0
8410dcdffffffff,9.0,0.0,0.0,0.0
8410de1ffffffff,3.0,0.0,0.0,0.0
8410de5ffffffff,3.0,0.0,0.0,0.0
8410ee1ffffffff,4.0,0.0,4.0,0.0
8410ee7ffffffff,2.0,0.0,0.0,0.0
8415927ffffffff,3.0,0.0,0.0,0.0
8415929ffffffff,6.0,0.0,0.0,0.0
841592bffffffff,1.0,0.0,0.0,0.0
8415b07ffffffff,9.0,0.0,0.0,0.0
84200a1ffffffff,2.0,0.0,0.0,0.0
84200a7ffffffff,13.0,0.0,8.0,0.0
84200a9ffffffff,2.0,0.0,2.0,0.0
84200adffffffff,9.0,0.0,5.0,0.0
84200e3ffffffff,8.0,0.0,2.0,0.0
84200e7ffffffff,2.0,0.0,0.0,0.0
842010dffffffff,11.0,0.0,0.0,0.0
8420123ffffffff,2.0,0.0,0.0,0.0
8420127ffffffff,1.0,0.0,0.0,0.0
842013dffffffff,1.0,0.0,1.0,0.0
842016bffffffff,6.0,0.0,0.0,0.0
8420185ffffffff,4.0,0.0,0.0,0.0
8420187ffffffff,6.0,0.0,0.0,0.0
8420191ffffffff,1.0,0.0,0.0,0.0
8420193ffffffff,1.0,0.0,0.0,0.0
8420199ffffffff,12.0,0.0,4.0,0.0
84201a1ffffffff,2.0,0.0,0.0,0.0
84201a3ffffffff,1.0,0.0,0.0,0.0
84201a7ffffffff,4.0,0.0,0.0,0.0
84201abffffffff,10.0,0.0,0.0,0.0
84201adffffffff,2.0,0.0,0.0,0.0
84201b7ffffffff,2.0,0.0,0.0,0.0
84201b9ffffffff,2.0,0.0,2.0,0.0
84201bbffffffff,3.0,0.0,3.0,0.0
84201bdffffffff,3.0,0.0,0.0,0.0
84201d3ffffffff,2.0,0.0,2.0,0.0
8420293ffffffff,1.0,0.0,0.0,0.0
84202ddffffffff,2.0,0.0,0.0,0.0
8420331ffffffff,4.0,0.0,0.0,0.0
8420339ffffffff,2.0,0.0,0.0,0.0
842049bffffffff,2.0,0.0,2.0,0.0
84204a1ffffffff,3.0,0.0,0.0,0.0
84204a7ffffffff,8.0,0.0,0.0,0.0
84204abffffffff,3.0,0.0,0.0,0.0
84204adffffffff,3.0,0.0,0.0,0.0
84204b3ffffffff,22.0,0.0,0.0,0.0
84204b7ffffffff,8.0,0.0,0.0,0.0
84204b9ffffffff,6.0,0.0,0.0,0.0
84204d1ffffffff,6.0,0.0,6.0,0.0
84204d3ffffffff,1.0,0.0,1.0,0.0
84204d9ffffffff,4.0,0.0,4.0,0.0
8420547ffffffff,1.0,0.0,0.0,0.0
84205b9ffffffff,4.0,0.0,0.0,0.0
84205c7ffffffff,2.0,0.0,0.0,0.0
84205e9ffffffff,6.0,0.0,0.0,0.0
84205ebffffffff,1.0,0.0,0.0,0.0
8420683ffffffff,2.0,0.0,0.0,0.0
8420685ffffffff,2.0,0.0,2.0,0.0
8420687ffffffff,2.0,0.0,2.0,0.0
84206a9ffffffff,1.0,0.0,1.0,0.0
84206bdffffffff,4.0,0.0,4.0,0.0
84208a5ffffffff,1.0,0.0,0.0,0.0
84208d7ffffffff,1.0,0.0,0.0,0.0
8420987ffffffff,5.0,0.0,0.0,0.0
842098dffffffff,5.0,0.0,0.0,0.0
8420999ffffffff,17.0,0.0,0.0,0.0
842099bffffffff,3.0,0.0,0.0,0.0
84209a1ffffffff,2.0,0.0,0.0,0.0
84209a5ffffffff,139.0,0.0,0.0,0.0
84209a7ffffffff,2.0,0.0,0.0,0.0
84209a9ffffffff,1.0,0.0,0.0,0.0
84209b7ffffffff,18.0,0.0,0.0,0.0
84209b9ffffffff,3.0,0.0,0.0,0.0
84209c7ffffffff,9.0,0.0,0.0,0.0
84209e1ffffffff,4.0,0.0,0.0,0.0
84209e3ffffffff,2.0,0.0,0.0,0.0
84209e7ffffffff,24.0,0.0,0.0,0.0
84209ebffffffff,3.0,0.0,0.0,0.0
8420a05ffffffff,1.0,0.0,0.0,0.0
