cell_id,Terpsiphone atrocaudata,Terpsiphone atrocaudata atrocaudata/illex,Terpsiphone atrocaudata periophthalmica
832e61fffffffff,2.0,0.0,0.0
832e68fffffffff,11.0,0.0,0.0
832e76fffffffff,3.0,0.0,0.0
833083fffffffff,9.0,0.0,0.0
83308efffffffff,2.0,0.0,0.0
833098fffffffff,2.0,0.0,0.0
833099fffffffff,7.0,0.0,0.0
83309afffffffff,1.0,0.0,0.0
83309bfffffffff,172.0,0.0,0.0
83309dfffffffff,36.0,0.0,0.0
8330c4fffffffff,2.0,0.0,0.0
8330d1fffffffff,14.0,0.0,0.0
8330d3fffffffff,1.0,0.0,0.0
8330e0fffffffff,2.0,0.0,0.0
8330e3fffffffff,6.0,0.0,0.0
8330e5fffffffff,8.0,0.0,0.0
834103fffffffff,68.0,0.0,0.0
83411cfffffffff,100.0,0.0,0.0
83411dfffffffff,12.0,0.0,0.0
834133fffffffff,2.0,0.0,0.0
8341a4fffffffff,2.0,0.0,0.0
8341a5fffffffff,3.0,0.0,0.0
8341b4fffffffff,225.0,0.0,0.0
8341b5fffffffff,47.0,0.0,0.0
8341b6fffffffff,6.0,0.0,0.0
834a24fffffffff,1.0,0.0,0.0
834a26fffffffff,9.0,0.0,0.0
834b12fffffffff,3.0,0.0,0.0
834b19fffffffff,6.0,0.0,0.0
834b30fffffffff,8.0,0.0,0.0
834b34fffffffff,1.0,0.0,0.0
834b56fffffffff,3.0,0.0,0.0
834b66fffffffff,3.0,0.0,0.0
834b75fffffffff,6.0,0.0,0.0
834b84fffffffff,2.0,0.0,0.0
834b86fffffffff,223.0,0.0,0.0
834b91fffffffff,45.0,0.0,0.0
834b9cfffffffff,12.0,0.0,0.0
834ba0fffffffff,91.0,0.0,0.0
834ba1fffffffff,136.0,0.0,0.0
834ba2fffffffff,30.0,0.0,0.0
834ba3fffffffff,28.0,0.0,0.0
834ba5fffffffff,204.0,0.0,0.0
834ba6fffffffff,3.0,0.0,0.0
834ba8fffffffff,14.0,0.0,0.0
834ba9fffffffff,6.0,0.0,0.0
834bb1fffffffff,64.0,0.0,0.0
834bb5fffffffff,123.0,0.0,0.0
836500fffffffff,2.0,0.0,0.0
836502fffffffff,1.0,0.0,0.0
836504fffffffff,1.0,0.0,0.0
836505fffffffff,27.0,0.0,0.0
836526fffffffff,8.0,0.0,0.0
836588fffffffff,4.0,0.0,0.0
83658efffffffff,117.0,0.0,0.0
