cell_id,Pellorneum rostratum,Pellorneum rostratum rostratum,Pellorneum rostratum macropterum
846422dffffffff,4.0,0.0,0.0
8464319ffffffff,1.0,0.0,0.0
8464331ffffffff,1.0,0.0,0.0
8464339ffffffff,7.0,0.0,0.0
8464353ffffffff,44.0,1.0,0.0
8464359ffffffff,2.0,0.0,0.0
846435bffffffff,12.0,0.0,0.0
8465005ffffffff,93.0,0.0,0.0
8465009ffffffff,2.0,0.0,0.0
846500bffffffff,3.0,0.0,0.0
8465015ffffffff,1.0,0.0,0.0
8465019ffffffff,2.0,0.0,0.0
8465029ffffffff,8.0,0.0,0.0
846502bffffffff,14.0,0.0,0.0
8465033ffffffff,18.0,0.0,0.0
8465051ffffffff,3.0,0.0,0.0
8465055ffffffff,23.0,0.0,0.0
8465057ffffffff,3.0,0.0,0.0
8465063ffffffff,4.0,0.0,0.0
8465113ffffffff,1.0,0.0,0.0
8465183ffffffff,3.0,0.0,0.0
8465189ffffffff,26.0,6.0,0.0
8465195ffffffff,9.0,0.0,0.0
846519dffffffff,6.0,0.0,0.0
84651c3ffffffff,1.0,0.0,0.0
84651c9ffffffff,3.0,0.0,0.0
84651cdffffffff,39.0,0.0,0.0
84651d9ffffffff,8.0,0.0,0.0
84651dbffffffff,1.0,0.0,0.0
846520dffffffff,9.0,0.0,0.0
8465221ffffffff,5.0,0.0,0.0
8465223ffffffff,4.0,0.0,0.0
8465225ffffffff,11.0,0.0,0.0
8465227ffffffff,9.0,0.0,0.0
8465229ffffffff,180.0,0.0,0.0
8465257ffffffff,5.0,0.0,0.0
8465263ffffffff,1.0,0.0,0.0
8468025ffffffff,20.0,0.0,0.0
8468029ffffffff,1.0,0.0,0.0
8468101ffffffff,2.0,0.0,0.0
8468103ffffffff,1.0,0.0,0.0
8468113ffffffff,2.0,0.0,0.0
8468119ffffffff,3.0,0.0,0.0
846811bffffffff,10.0,0.0,0.0
8468123ffffffff,1.0,0.0,0.0
8468125ffffffff,3.0,0.0,0.0
846812bffffffff,2.0,0.0,0.0
8468153ffffffff,2.0,0.0,1.0
8468157ffffffff,20.0,0.0,0.0
8468181ffffffff,5.0,0.0,0.0
8468185ffffffff,22.0,0.0,0.0
8468189ffffffff,388.0,0.0,10.0
846818bffffffff,12.0,0.0,0.0
846818dffffffff,127.0,0.0,1.0
846819dffffffff,20.0,0.0,1.0
84681a9ffffffff,15.0,0.0,0.0
84681c3ffffffff,92.0,0.0,2.0
84681c5ffffffff,16.0,0.0,0.0
84681c7ffffffff,6.0,0.0,0.0
84681d5ffffffff,274.0,0.0,0.0
84681d7ffffffff,2.0,0.0,0.0
84681e3ffffffff,2.0,0.0,0.0
84681edffffffff,21.0,0.0,0.0
84688adffffffff,4.0,0.0,1.0
8468921ffffffff,1.0,0.0,0.0
8468965ffffffff,7.0,0.0,0.0
8468a0dffffffff,2.0,0.0,0.0
8468a47ffffffff,2.0,0.0,0.0
8468a59ffffffff,3.0,0.0,0.0
8468a63ffffffff,2.0,0.0,0.0
8468ab1ffffffff,1.0,0.0,0.0
8468ab5ffffffff,4.0,0.0,0.0
8468ab7ffffffff,2.0,0.0,0.0
8468b55ffffffff,2.0,0.0,0.0
84699a5ffffffff,21.0,0.0,0.0
848c8c3ffffffff,1.0,0.0,0.0
848c92dffffffff,3.0,0.0,0.0
848c959ffffffff,2.0,0.0,0.0
848cad5ffffffff,8.0,0.0,0.0
848caddffffffff,9.0,0.0,0.0
848cb2bffffffff,2.0,0.0,0.0
848d9a5ffffffff,2.0,0.0,0.0
