cell_id,Cisticola robustus,Cisticola robustus santae,Cisticola robustus robustus/schraderi,Cisticola robustus omo,Cisticola robustus nuchalis/awemba,Cisticola robustus angolensis
8452825ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8452953ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8452997ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84529b5ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84529b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84529b9ffffffff,41.0,0.0,0.0,0.0,0.0,0.0
84529e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846a697ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846a699ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846ac03ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
846ac0bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846ac1dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846ac31ffffffff,23.0,0.0,0.0,0.0,0.0,0.0
846ac35ffffffff,38.0,0.0,0.0,0.0,0.0,0.0
846ac37ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846ac3dffffffff,104.0,0.0,0.0,0.0,0.0,0.0
846ace5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846ad81ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
846ad8bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
846adc1ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
846adc9ffffffff,33.0,0.0,0.0,0.0,0.0,0.0
846add7ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
846adddffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846ae85ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846aea3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a40bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a411ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a451ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a453ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
847a457ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
847a459ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
847a45bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
847a489ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
847a4c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a4cbffffffff,9.0,0.0,0.0,0.0,0.0,0.0
847a4ddffffffff,46.0,0.0,0.0,0.0,0.0,0.0
847a617ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a681ffffffff,85.0,0.0,0.0,0.0,0.0,0.0
847a683ffffffff,330.0,0.0,0.0,0.0,0.0,0.0
847a687ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
847a689ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
847a68bffffffff,48.0,0.0,0.0,0.0,0.0,0.0
847a69dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
847a6a1ffffffff,35.0,0.0,0.0,0.0,0.0,0.0
847a6a5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
847a6adffffffff,43.0,0.0,0.0,0.0,0.0,0.0
847a6d1ffffffff,34.0,0.0,0.0,0.0,0.0,0.0
847a6d3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a6d7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a6d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a6dbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
847a6e5ffffffff,330.0,0.0,0.0,0.0,0.0,0.0
847a6e7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
847ac81ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847ac8bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
847acb5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
847acb7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847acc5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
847acd5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
847acd7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847ad93ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
847ad99ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847ae87ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
848333dffffffff,4.0,0.0,0.0,0.0,0.0,4.0
8483ac7ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8496095ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8496097ffffffff,31.0,0.0,0.0,0.0,0.0,12.0
84960bbffffffff,7.0,0.0,0.0,0.0,0.0,2.0
849615dffffffff,9.0,0.0,0.0,0.0,2.0,0.0
8496569ffffffff,6.0,0.0,0.0,0.0,0.0,4.0
8496907ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
