cell_id,Pterocles exustus,Pterocles exustus [exustus Group],Pterocles exustus erlangeri,Pterocles exustus hindustan
842c935ffffffff,73.0,0.0,0.0,0.0
842c937ffffffff,14.0,0.0,0.0,0.0
843cad3ffffffff,2.0,0.0,0.0,0.0
843d32bffffffff,2.0,0.0,0.0,0.0
843d363ffffffff,3.0,0.0,0.0,0.0
843d851ffffffff,4.0,0.0,0.0,2.0
843d853ffffffff,2.0,0.0,0.0,0.0
843d8b7ffffffff,2.0,0.0,0.0,0.0
843da69ffffffff,6.0,0.0,0.0,0.0
843db31ffffffff,16.0,0.0,0.0,0.0
843db35ffffffff,11.0,0.0,0.0,0.0
843db37ffffffff,2.0,0.0,0.0,0.0
843e717ffffffff,2.0,2.0,0.0,0.0
844231dffffffff,7.0,0.0,0.0,0.0
8442515ffffffff,30.0,0.0,0.0,0.0
8442531ffffffff,18.0,0.0,0.0,1.0
8442533ffffffff,10.0,0.0,0.0,4.0
8442537ffffffff,2.0,0.0,0.0,0.0
844253bffffffff,3.0,0.0,0.0,0.0
8442581ffffffff,4.0,0.0,0.0,0.0
844259dffffffff,3.0,0.0,0.0,1.0
84425a9ffffffff,1.0,0.0,0.0,1.0
8442c07ffffffff,2.0,0.0,0.0,0.0
8442c13ffffffff,2.0,0.0,0.0,2.0
8442c17ffffffff,1.0,0.0,0.0,0.0
8442c1bffffffff,4.0,0.0,0.0,4.0
8442c47ffffffff,2.0,0.0,0.0,0.0
8442c4dffffffff,4.0,0.0,0.0,4.0
8442ca5ffffffff,3.0,0.0,0.0,0.0
8442ce9ffffffff,3.0,0.0,0.0,0.0
8442dd9ffffffff,2.0,0.0,0.0,0.0
8442eabffffffff,4.0,0.0,0.0,0.0
8443107ffffffff,2.0,0.0,0.0,0.0
8443a17ffffffff,3.0,0.0,0.0,0.0
8443ae5ffffffff,2.0,0.0,1.0,0.0
8452897ffffffff,2.0,0.0,0.0,0.0
84536a3ffffffff,2.0,0.0,2.0,0.0
8454ad1ffffffff,4.0,0.0,0.0,0.0
845d101ffffffff,38.0,0.0,0.0,0.0
8460107ffffffff,3.0,0.0,0.0,0.0
8460121ffffffff,2.0,0.0,0.0,0.0
846015dffffffff,15.0,0.0,0.0,0.0
8460161ffffffff,93.0,0.0,0.0,0.0
8460165ffffffff,1.0,0.0,0.0,0.0
846016dffffffff,45.0,0.0,0.0,0.0
8460269ffffffff,1.0,0.0,0.0,0.0
846026dffffffff,76.0,0.0,0.0,2.0
8460303ffffffff,7.0,0.0,0.0,0.0
8460307ffffffff,6.0,0.0,0.0,0.0
8460331ffffffff,12.0,0.0,0.0,0.0
8460339ffffffff,202.0,0.0,0.0,0.0
846033dffffffff,2.0,0.0,0.0,0.0
8460341ffffffff,1.0,0.0,0.0,0.0
8460345ffffffff,2.0,0.0,0.0,0.0
8460361ffffffff,14.0,0.0,0.0,0.0
8460363ffffffff,2.0,0.0,0.0,0.0
8460365ffffffff,5.0,0.0,0.0,0.0
846036bffffffff,2.0,0.0,0.0,0.0
846036dffffffff,2.0,0.0,0.0,0.0
8460813ffffffff,2.0,0.0,0.0,0.0
846081dffffffff,2.0,0.0,0.0,0.0
8460845ffffffff,36.0,0.0,0.0,0.0
846084bffffffff,4.0,0.0,0.0,0.0
846085bffffffff,4.0,0.0,0.0,0.0
846086bffffffff,2.0,0.0,0.0,0.0
84608ebffffffff,15.0,0.0,0.0,0.0
8460a07ffffffff,2.0,0.0,0.0,0.0
8460a09ffffffff,4.0,0.0,0.0,0.0
8460a0dffffffff,110.0,0.0,0.0,0.0
8460a13ffffffff,1.0,0.0,0.0,0.0
8460a1bffffffff,9.0,0.0,0.0,0.0
8460a21ffffffff,4.0,0.0,0.0,0.0
8460a25ffffffff,5.0,0.0,0.0,0.0
8460a35ffffffff,1.0,0.0,0.0,0.0
8460a39ffffffff,33.0,0.0,0.0,0.0
8460a49ffffffff,4.0,0.0,0.0,0.0
8460a4bffffffff,1.0,0.0,0.0,0.0
8460a59ffffffff,11.0,0.0,0.0,0.0
8460a5bffffffff,2.0,0.0,0.0,0.0
8460a89ffffffff,12.0,0.0,0.0,0.0
8460aa9ffffffff,4.0,0.0,0.0,0.0
8460aadffffffff,30.0,0.0,0.0,0.0
8460acbffffffff,2.0,0.0,0.0,0.0
8460ae3ffffffff,5.0,0.0,0.0,0.0
8460b13ffffffff,3.0,0.0,0.0,0.0
8460b1bffffffff,2.0,0.0,0.0,0.0
8460b47ffffffff,1.0,0.0,0.0,0.0
84611b1ffffffff,3.0,0.0,0.0,0.0
84611b3ffffffff,24.0,0.0,0.0,0.0
84611b5ffffffff,2.0,0.0,0.0,2.0
84611bbffffffff,4.0,0.0,0.0,0.0
8461885ffffffff,73.0,0.0,0.0,0.0
84618a7ffffffff,1.0,0.0,0.0,0.0
84618a9ffffffff,2.0,0.0,0.0,0.0
847a401ffffffff,1.0,0.0,0.0,0.0
847a405ffffffff,3.0,3.0,0.0,0.0
847a415ffffffff,2.0,0.0,0.0,0.0
847a41dffffffff,3.0,0.0,0.0,0.0
847a61dffffffff,1.0,1.0,0.0,0.0
847a6edffffffff,2.0,0.0,0.0,0.0
847ad99ffffffff,2.0,2.0,0.0,0.0
847ad9dffffffff,3.0,0.0,0.0,0.0
