cell_id,Butorides striata,Butorides striata striata,Butorides striata sundevalli,Butorides striata [atricapilla Group]
84240a9ffffffff,2.0,0.0,0.0,0.0
842c93bffffffff,15.0,0.0,0.0,0.0
842db05ffffffff,2.0,0.0,0.0,2.0
842db0bffffffff,1.0,0.0,0.0,0.0
842db21ffffffff,2.0,0.0,0.0,0.0
842db2dffffffff,7.0,0.0,0.0,0.0
842db63ffffffff,2.0,0.0,0.0,0.0
842db67ffffffff,2.0,0.0,0.0,0.0
842e689ffffffff,6.0,0.0,0.0,0.0
8430325ffffffff,5.0,0.0,0.0,0.0
8430991ffffffff,2.0,0.0,0.0,0.0
8430997ffffffff,1.0,0.0,0.0,0.0
84309a5ffffffff,2.0,0.0,0.0,0.0
84309d9ffffffff,1.0,0.0,0.0,0.0
8430d1dffffffff,2.0,0.0,0.0,0.0
8430e09ffffffff,4.0,0.0,0.0,4.0
8430e37ffffffff,4.0,0.0,0.0,4.0
843c067ffffffff,1.0,0.0,0.0,0.0
843c159ffffffff,4.0,0.0,0.0,4.0
843c193ffffffff,1.0,0.0,0.0,0.0
843c1b1ffffffff,1.0,0.0,0.0,0.0
843c1b5ffffffff,3.0,0.0,0.0,0.0
843c1e9ffffffff,1.0,0.0,0.0,0.0
843c369ffffffff,5.0,0.0,0.0,0.0
843c36bffffffff,4.0,0.0,0.0,0.0
843c521ffffffff,2.0,0.0,0.0,0.0
843c527ffffffff,4.0,0.0,0.0,0.0
843c5e3ffffffff,3.0,0.0,0.0,0.0
843c5e5ffffffff,2.0,0.0,0.0,0.0
843c839ffffffff,1.0,0.0,0.0,0.0
843c885ffffffff,36.0,0.0,0.0,0.0
843c8d3ffffffff,4.0,0.0,0.0,0.0
843c8d7ffffffff,1.0,0.0,0.0,0.0
843c8dbffffffff,1.0,0.0,0.0,0.0
843ca87ffffffff,20.0,0.0,0.0,0.0
843cab1ffffffff,2.0,0.0,0.0,0.0
843cb39ffffffff,2.0,0.0,0.0,0.0
843cc0bffffffff,2.0,0.0,0.0,0.0
843cc45ffffffff,1.0,0.0,0.0,0.0
843ce05ffffffff,6.0,0.0,0.0,0.0
843ce15ffffffff,2.0,0.0,0.0,0.0
843ce33ffffffff,2.0,0.0,0.0,0.0
843ce4dffffffff,2.0,0.0,0.0,0.0
843cec9ffffffff,2.0,0.0,0.0,2.0
843cf27ffffffff,37.0,0.0,0.0,0.0
843cf29ffffffff,9.0,0.0,0.0,0.0
843cf2bffffffff,2.0,0.0,0.0,0.0
843d101ffffffff,2.0,0.0,0.0,0.0
843d131ffffffff,2.0,0.0,0.0,0.0
843d1e5ffffffff,2.0,0.0,0.0,0.0
843d30dffffffff,8.0,0.0,0.0,0.0
843d363ffffffff,2.0,0.0,0.0,0.0
843d899ffffffff,3.0,0.0,0.0,0.0
843d8b1ffffffff,12.0,0.0,0.0,0.0
843d967ffffffff,2.0,0.0,0.0,0.0
843d9dbffffffff,10.0,0.0,0.0,0.0
843da11ffffffff,3.0,0.0,0.0,0.0
843da1bffffffff,2.0,0.0,0.0,0.0
843da1dffffffff,14.0,0.0,0.0,0.0
843da37ffffffff,3.0,0.0,0.0,3.0
843da53ffffffff,3.0,0.0,0.0,0.0
843da97ffffffff,2.0,0.0,0.0,0.0
843dac9ffffffff,3.0,0.0,0.0,0.0
843dad1ffffffff,28.0,0.0,0.0,0.0
843daddffffffff,5.0,0.0,0.0,5.0
843daebffffffff,4.0,0.0,0.0,0.0
843e68dffffffff,4.0,0.0,0.0,4.0
843e6cbffffffff,2.0,0.0,0.0,0.0
843f729ffffffff,11.0,0.0,0.0,3.0
8440035ffffffff,2.0,0.0,0.0,0.0
84411adffffffff,2.0,0.0,0.0,2.0
84411c3ffffffff,2.0,0.0,0.0,2.0
84411cbffffffff,7.0,0.0,0.0,0.0
8441699ffffffff,1.0,0.0,0.0,0.0
8441911ffffffff,4.0,0.0,0.0,0.0
8441a43ffffffff,4.0,0.0,0.0,0.0
8441a55ffffffff,1.0,0.0,0.0,0.0
8441b43ffffffff,5.0,0.0,0.0,0.0
8441b55ffffffff,2.0,0.0,0.0,0.0
8441b5dffffffff,7.0,0.0,0.0,0.0
8442c01ffffffff,2.0,0.0,0.0,0.0
8442c07ffffffff,2.0,0.0,0.0,0.0
8442c19ffffffff,2.0,0.0,0.0,0.0
8442c41ffffffff,7.0,0.0,0.0,0.0
8442c47ffffffff,1.0,0.0,0.0,1.0
8442c4bffffffff,4.0,0.0,0.0,0.0
8442c55ffffffff,3.0,0.0,0.0,0.0
8442c89ffffffff,1.0,0.0,0.0,0.0
