cell_id,Aethopyga gouldiae,Aethopyga gouldiae gouldiae/isolata,Aethopyga gouldiae dabryii,Aethopyga gouldiae annamensis
833c02fffffffff,6.0,0.0,0.0,0.0
833c0afffffffff,2.0,0.0,0.0,0.0
833c52fffffffff,3.0,3.0,0.0,0.0
833c58fffffffff,1.0,0.0,0.0,0.0
833cc0fffffffff,4.0,0.0,0.0,0.0
833cc4fffffffff,2.0,0.0,0.0,0.0
833cd8fffffffff,3.0,3.0,0.0,0.0
833cddfffffffff,2.0,0.0,0.0,0.0
833ce4fffffffff,6.0,0.0,0.0,0.0
833ce5fffffffff,1.0,0.0,0.0,0.0
833ce8fffffffff,2.0,0.0,0.0,0.0
833ceafffffffff,8.0,0.0,0.0,0.0
833cebfffffffff,3.0,0.0,0.0,0.0
833d13fffffffff,2.0,2.0,0.0,0.0
83401dfffffffff,4.0,0.0,0.0,0.0
8340c5fffffffff,2.0,0.0,2.0,0.0
8340e1fffffffff,1.0,0.0,1.0,0.0
8340ecfffffffff,1.0,0.0,1.0,0.0
8340eefffffffff,1.0,0.0,1.0,0.0
834118fffffffff,2.0,0.0,0.0,0.0
83411cfffffffff,23.0,0.0,0.0,0.0
83414cfffffffff,8.0,0.0,0.0,0.0
834165fffffffff,2.0,0.0,0.0,0.0
8341b6fffffffff,2.0,0.0,0.0,0.0
834ba0fffffffff,15.0,0.0,2.0,0.0
836482fffffffff,2.0,0.0,0.0,0.0
836484fffffffff,2.0,0.0,0.0,0.0
8364a3fffffffff,2.0,0.0,2.0,0.0
8364b0fffffffff,5.0,0.0,2.0,0.0
8365b6fffffffff,2.0,0.0,0.0,2.0
836934fffffffff,1.0,0.0,1.0,0.0
