cell_id,Gypaetus barbatus,Gypaetus barbatus barbatus,Gypaetus barbatus meridionalis
8418493ffffffff,5.0,5.0,0.0
84184b1ffffffff,4.0,0.0,0.0
8419417ffffffff,2.0,2.0,0.0
8419421ffffffff,2.0,0.0,0.0
8419427ffffffff,49.0,18.0,0.0
8419431ffffffff,6.0,0.0,0.0
84194a1ffffffff,2.0,0.0,0.0
84194ddffffffff,1.0,0.0,0.0
841969bffffffff,11.0,0.0,0.0
841ec91ffffffff,5.0,0.0,0.0
841f16dffffffff,2.0,0.0,0.0
841f883ffffffff,1.0,0.0,0.0
841f885ffffffff,2.0,0.0,0.0
841f887ffffffff,2.0,0.0,0.0
841f891ffffffff,2.0,0.0,0.0
841f897ffffffff,16.0,3.0,0.0
841f8a1ffffffff,6.0,0.0,0.0
841f8a3ffffffff,2.0,0.0,0.0
841f8a7ffffffff,1.0,0.0,0.0
841f8a9ffffffff,1.0,0.0,0.0
841f8abffffffff,4.0,0.0,0.0
841f8adffffffff,2.0,0.0,0.0
841f8b5ffffffff,2.0,0.0,0.0
841f98dffffffff,1.0,0.0,0.0
841f9adffffffff,2.0,0.0,0.0
841f9d9ffffffff,2.0,0.0,0.0
841f9ebffffffff,2.0,0.0,0.0
842013dffffffff,1.0,1.0,0.0
84201a3ffffffff,2.0,2.0,0.0
84201abffffffff,2.0,2.0,0.0
842049bffffffff,6.0,6.0,0.0
842049dffffffff,3.0,3.0,0.0
84204d3ffffffff,2.0,2.0,0.0
84206b5ffffffff,2.0,2.0,0.0
8420a2bffffffff,1.0,0.0,0.0
8420e2bffffffff,2.0,2.0,0.0
8420e65ffffffff,6.0,2.0,0.0
8424015ffffffff,1.0,1.0,0.0
84240a1ffffffff,1.0,0.0,0.0
84240a9ffffffff,5.0,0.0,0.0
84240adffffffff,9.0,1.0,0.0
84240cdffffffff,1.0,0.0,0.0
8425169ffffffff,2.0,0.0,0.0
84255a3ffffffff,1.0,0.0,0.0
84255b5ffffffff,1.0,1.0,0.0
8425a8dffffffff,1.0,1.0,0.0
8425ac5ffffffff,2.0,2.0,0.0
8425ac9ffffffff,3.0,3.0,0.0
8425ad5ffffffff,2.0,2.0,0.0
842c001ffffffff,1.0,0.0,0.0
842c043ffffffff,7.0,0.0,0.0
842c205ffffffff,1.0,0.0,0.0
842c229ffffffff,7.0,0.0,0.0
842c22dffffffff,2.0,0.0,0.0
842c263ffffffff,3.0,0.0,0.0
842c281ffffffff,10.0,10.0,0.0
842c283ffffffff,23.0,22.0,0.0
842c2c1ffffffff,1.0,1.0,0.0
842c2cbffffffff,4.0,4.0,0.0
842ccb7ffffffff,1.0,0.0,0.0
842d12bffffffff,3.0,0.0,0.0
842d315ffffffff,2.0,0.0,0.0
842d341ffffffff,6.0,0.0,0.0
842d349ffffffff,5.0,0.0,0.0
842da17ffffffff,1.0,0.0,0.0
8431851ffffffff,2.0,0.0,0.0
8438245ffffffff,3.0,0.0,0.0
8438249ffffffff,11.0,0.0,0.0
843824bffffffff,2.0,0.0,0.0
8439019ffffffff,8.0,0.0,0.0
843901bffffffff,16.0,0.0,0.0
843901dffffffff,2.0,0.0,0.0
84390a3ffffffff,6.0,0.0,0.0
84390b5ffffffff,7.0,0.0,0.0
84390bdffffffff,2.0,0.0,0.0
84390d3ffffffff,1.0,0.0,0.0
8439181ffffffff,8.0,0.0,0.0
8439193ffffffff,24.0,0.0,0.0
843919bffffffff,5.0,0.0,0.0
84392a5ffffffff,4.0,0.0,0.0
84392b5ffffffff,1.0,0.0,0.0
84392cbffffffff,86.0,5.0,0.0
84392ddffffffff,43.0,0.0,0.0
84392e5ffffffff,2.0,0.0,0.0
8439449ffffffff,5.0,0.0,0.0
8439621ffffffff,2.0,2.0,0.0
8439623ffffffff,6.0,0.0,0.0
8439627ffffffff,10.0,7.0,0.0
843962dffffffff,2.0,0.0,0.0
8439731ffffffff,4.0,0.0,0.0
843973dffffffff,1.0,0.0,0.0
8439743ffffffff,1.0,0.0,0.0
8439759ffffffff,2.0,0.0,0.0
843975bffffffff,10.0,0.0,0.0
843975dffffffff,7.0,1.0,0.0
8439833ffffffff,2.0,0.0,0.0
843c029ffffffff,3.0,0.0,0.0
843c063ffffffff,1.0,0.0,0.0
843c069ffffffff,2.0,0.0,0.0
843c06dffffffff,2.0,0.0,0.0
843c0e3ffffffff,5.0,0.0,0.0
843c33bffffffff,4.0,0.0,0.0
843c341ffffffff,2.0,0.0,0.0
843c521ffffffff,4.0,0.0,0.0
843c529ffffffff,2.0,0.0,0.0
843d049ffffffff,2.0,2.0,0.0
843d103ffffffff,4.0,0.0,0.0
843d107ffffffff,2.0,0.0,0.0
843d109ffffffff,2.0,0.0,0.0
843d131ffffffff,3.0,0.0,0.0
843d137ffffffff,1.0,0.0,0.0
843d1edffffffff,7.0,7.0,0.0
843dad1ffffffff,2.0,0.0,0.0
843dad9ffffffff,2.0,2.0,0.0
843f735ffffffff,2.0,2.0,0.0
8440c25ffffffff,2.0,2.0,0.0
8440c2dffffffff,1.0,1.0,0.0
8440c59ffffffff,16.0,16.0,0.0
8440c63ffffffff,2.0,0.0,0.0
8440ec1ffffffff,2.0,2.0,0.0
8440ee5ffffffff,34.0,34.0,0.0
8452831ffffffff,2.0,0.0,2.0
84529b9ffffffff,3.0,0.0,3.0
847a457ffffffff,1.0,0.0,0.0
847a61dffffffff,3.0,0.0,0.0
847a657ffffffff,2.0,0.0,2.0
847a6e7ffffffff,5.0,0.0,2.0
847ad93ffffffff,2.0,0.0,2.0
8496921ffffffff,2.0,0.0,0.0
8496925ffffffff,1.0,0.0,0.0
