cell_id,Sittasomus griseicapillus,Sittasomus griseicapillus [griseus Group],Sittasomus griseicapillus aequatorialis,Sittasomus griseicapillus [griseicapillus Group],Sittasomus griseicapillus reiseri,Sittasomus griseicapillus sylviellus/olivaceus
8445083ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84450d3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8445233ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8445257ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
844525dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8445261ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
844526bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84452a5ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
84452e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84452e5ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8448361ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8449903ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
844990dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8449961ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8449963ffffffff,9.0,4.0,0.0,0.0,0.0,0.0
84499cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0
845f42bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
845f4a7ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
845f5b5ffffffff,8.0,3.0,0.0,0.0,0.0,0.0
845f711ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84661b1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84661b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84661c9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84661cdffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84661ebffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8466a51ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466a5dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466b45ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466b49ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466b4dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466b55ffffffff,6.0,1.0,0.0,0.0,0.0,0.0
8466d0bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466d35ffffffff,10.0,0.0,4.0,0.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466de3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8467413ffffffff,6.0,2.0,0.0,0.0,0.0,0.0
84674c7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84674e9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84675cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84675e3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84679a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846d22bffffffff,2.0,2.0,0.0,0.0,0.0,0.0
846d23bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
846d23dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846d2c9ffffffff,6.0,5.0,0.0,0.0,0.0,0.0
846d319ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
846d645ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846d691ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846d697ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846d69dffffffff,81.0,3.0,0.0,0.0,0.0,0.0
8481211ffffffff,38.0,0.0,0.0,0.0,38.0,0.0
8481215ffffffff,36.0,0.0,0.0,0.0,36.0,0.0
848121dffffffff,3.0,0.0,0.0,0.0,3.0,0.0
8481245ffffffff,3.0,0.0,0.0,0.0,2.0,1.0
848124bffffffff,14.0,0.0,0.0,0.0,0.0,14.0
848124dffffffff,2.0,0.0,0.0,0.0,0.0,2.0
848180bffffffff,2.0,0.0,0.0,0.0,2.0,0.0
848b229ffffffff,10.0,0.0,0.0,9.0,0.0,0.0
848b22dffffffff,4.0,0.0,0.0,4.0,0.0,0.0
848b261ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
848b267ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
848b2cdffffffff,2.0,0.0,0.0,2.0,0.0,0.0
848b2dbffffffff,4.0,0.0,0.0,4.0,0.0,0.0
848b637ffffffff,10.0,0.0,0.0,10.0,0.0,0.0
848f2c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
848f2cbffffffff,5.0,0.0,0.0,0.0,0.0,0.0
848f463ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
