cell_id,Lonchura punctulata,Lonchura punctulata punctulata,Lonchura punctulata [nisoria Group]
84209e7ffffffff,1.0,0.0,0.0
8428023ffffffff,2.0,0.0,0.0
8428301ffffffff,7.0,0.0,0.0
8428303ffffffff,18.0,0.0,0.0
8428309ffffffff,30.0,0.0,0.0
842830bffffffff,4.0,0.0,0.0
842832bffffffff,13.0,0.0,0.0
8428341ffffffff,15.0,0.0,0.0
8428343ffffffff,128.0,0.0,0.0
8428345ffffffff,156.0,0.0,1.0
8428347ffffffff,109.0,0.0,0.0
842834dffffffff,73.0,4.0,0.0
8428361ffffffff,2.0,0.0,0.0
842836bffffffff,4.0,0.0,0.0
8429121ffffffff,1.0,0.0,0.0
84291a7ffffffff,53.0,9.0,0.0
8429855ffffffff,3.0,0.0,0.0
8429a01ffffffff,2.0,0.0,0.0
8429a07ffffffff,3.0,0.0,0.0
8429a09ffffffff,4.0,0.0,0.0
8429a0bffffffff,2.0,0.0,0.0
8429a1bffffffff,9.0,0.0,0.0
8429a41ffffffff,13.0,0.0,0.0
8429a47ffffffff,2.0,0.0,0.0
8429a4dffffffff,55.0,0.0,0.0
8429a57ffffffff,12.0,0.0,0.0
8429a59ffffffff,2.0,0.0,0.0
8429a63ffffffff,14.0,0.0,0.0
8429a6bffffffff,12.0,0.0,0.0
8429a6dffffffff,2.0,0.0,0.0
8429a93ffffffff,2.0,0.0,0.0
8429abbffffffff,2.0,0.0,0.0
8429ac9ffffffff,2.0,0.0,0.0
8429addffffffff,16.0,0.0,0.0
842aa8dffffffff,3.0,0.0,0.0
842aacbffffffff,28.0,0.0,7.0
842c93bffffffff,3.0,0.0,0.0
8430987ffffffff,2.0,0.0,0.0
8430991ffffffff,1.0,0.0,0.0
8439061ffffffff,3.0,0.0,0.0
8439065ffffffff,8.0,0.0,0.0
843906bffffffff,1.0,0.0,0.0
843906dffffffff,8.0,0.0,0.0
8439103ffffffff,14.0,0.0,0.0
843910bffffffff,2.0,0.0,0.0
8439151ffffffff,3.0,0.0,0.0
8439157ffffffff,1.0,0.0,0.0
8439159ffffffff,5.0,0.0,0.0
84391a9ffffffff,4.0,0.0,0.0
8439313ffffffff,10.0,0.0,0.0
8439317ffffffff,2.0,0.0,0.0
843931bffffffff,2.0,0.0,0.0
8439333ffffffff,12.0,0.0,0.0
8439337ffffffff,3.0,0.0,0.0
843933bffffffff,2.0,0.0,0.0
843c02dffffffff,7.0,0.0,0.0
843c0b5ffffffff,1.0,0.0,0.0
843c159ffffffff,8.0,7.0,0.0
843c19bffffffff,1.0,0.0,0.0
843c1b5ffffffff,6.0,0.0,0.0
843c1c3ffffffff,5.0,0.0,0.0
843c1c9ffffffff,5.0,0.0,0.0
843c1d3ffffffff,2.0,0.0,0.0
843c369ffffffff,4.0,0.0,0.0
843c5bdffffffff,9.0,0.0,0.0
843c8d3ffffffff,2.0,0.0,0.0
843c8dbffffffff,9.0,0.0,0.0
843c8e5ffffffff,13.0,0.0,0.0
843ca87ffffffff,8.0,0.0,0.0
843ca97ffffffff,9.0,6.0,0.0
843cab1ffffffff,10.0,0.0,0.0
843cab7ffffffff,1.0,0.0,0.0
843cab9ffffffff,5.0,0.0,0.0
843cd91ffffffff,2.0,0.0,0.0
843ce09ffffffff,2.0,0.0,0.0
843ce1bffffffff,2.0,0.0,0.0
843ce5dffffffff,2.0,0.0,2.0
843ce83ffffffff,2.0,0.0,0.0
843ce85ffffffff,2.0,0.0,0.0
843cf05ffffffff,1.0,0.0,0.0
843cf11ffffffff,3.0,0.0,0.0
843cf27ffffffff,9.0,0.0,0.0
843cf29ffffffff,17.0,0.0,0.0
843cf2dffffffff,12.0,1.0,0.0
843cf61ffffffff,1.0,0.0,0.0
843cf67ffffffff,2.0,0.0,0.0
843cf69ffffffff,5.0,0.0,0.0
843d135ffffffff,1.0,0.0,0.0
843d35dffffffff,1.0,0.0,0.0
843d8c1ffffffff,5.0,0.0,0.0
843d9b7ffffffff,2.0,0.0,0.0
843d9b9ffffffff,5.0,0.0,0.0
843da11ffffffff,4.0,0.0,0.0
843da13ffffffff,4.0,0.0,0.0
843da1bffffffff,4.0,0.0,0.0
843da1dffffffff,2.0,0.0,0.0
843da9dffffffff,2.0,0.0,0.0
843dac9ffffffff,4.0,0.0,0.0
843dad1ffffffff,4.0,2.0,0.0
843daddffffffff,3.0,3.0,0.0
843db57ffffffff,2.0,0.0,0.0
843db67ffffffff,2.0,0.0,0.0
844049dffffffff,1.0,0.0,0.0
84404c5ffffffff,2.0,0.0,2.0
8440b51ffffffff,4.0,0.0,0.0
84411cbffffffff,1.0,0.0,0.0
84414d9ffffffff,2.0,0.0,0.0
84416b7ffffffff,2.0,0.0,0.0
8441a55ffffffff,3.0,0.0,0.0
8441b51ffffffff,1.0,0.0,1.0
8442ce3ffffffff,4.0,0.0,0.0
8442d9bffffffff,2.0,0.0,0.0
8442db5ffffffff,13.0,0.0,0.0
8442eb3ffffffff,4.0,0.0,0.0
8443ae5ffffffff,1.0,0.0,0.0
8444131ffffffff,22.0,0.0,0.0
844416bffffffff,2.0,0.0,0.0
84441abffffffff,12.0,0.0,0.0
84441e7ffffffff,50.0,0.0,4.0
8444249ffffffff,3.0,0.0,0.0
8444363ffffffff,1.0,0.0,0.0
844440dffffffff,25.0,0.0,0.0
844441dffffffff,3.0,0.0,0.0
844442dffffffff,2.0,0.0,0.0
8444443ffffffff,6.0,1.0,0.0
8444459ffffffff,9.0,0.0,0.0
844445bffffffff,2.0,0.0,0.0
8444461ffffffff,2.0,0.0,0.0
8444463ffffffff,1.0,0.0,0.0
8444465ffffffff,2.0,0.0,0.0
8444467ffffffff,16.0,0.0,0.0
8444501ffffffff,3.0,0.0,0.0
8444505ffffffff,2.0,0.0,0.0
8444509ffffffff,37.0,0.0,0.0
844450dffffffff,20.0,0.0,0.0
8444529ffffffff,14.0,0.0,0.0
8444551ffffffff,85.0,0.0,0.0
8444555ffffffff,12.0,0.0,0.0
844455bffffffff,2.0,0.0,0.0
8444563ffffffff,12.0,0.0,0.0
84446c3ffffffff,9.0,0.0,0.0
84446cbffffffff,42.0,0.0,0.0
84446ddffffffff,36.0,0.0,0.0
84446e5ffffffff,4.0,0.0,0.0
8444a19ffffffff,41.0,0.0,0.0
8444adbffffffff,15.0,0.0,0.0
8444ae9ffffffff,13.0,0.0,0.0
8444b63ffffffff,2.0,0.0,0.0
8444e07ffffffff,1.0,0.0,0.0
8444e63ffffffff,2.0,0.0,0.0
8445085ffffffff,5.0,0.0,0.0
84450adffffffff,1.0,0.0,0.0
84450b5ffffffff,2.0,0.0,0.0
84450edffffffff,2.0,0.0,0.0
8445767ffffffff,2.0,0.0,0.0
8445a33ffffffff,33.0,0.0,2.0
8445b21ffffffff,14.0,0.0,0.0
8445b23ffffffff,1.0,0.0,0.0
8445b27ffffffff,1.0,0.0,0.0
8445b29ffffffff,3.0,0.0,0.0
8445b2bffffffff,4.0,0.0,0.0
8446483ffffffff,1.0,0.0,0.0
8446487ffffffff,4.0,0.0,2.0
8446495ffffffff,6.0,0.0,0.0
84464e5ffffffff,2.0,0.0,0.0
8448435ffffffff,2.0,0.0,0.0
84484a5ffffffff,24.0,0.0,0.0
84484a7ffffffff,2.0,0.0,0.0
84485c9ffffffff,2.0,0.0,0.0
8448825ffffffff,2.0,0.0,0.0
844890bffffffff,27.0,0.0,0.0
8448915ffffffff,2.0,0.0,0.0
8448923ffffffff,6.0,0.0,0.0
8448937ffffffff,4.0,0.0,0.0
844893dffffffff,6.0,0.0,0.0
8448951ffffffff,2.0,0.0,0.0
84489c1ffffffff,2.0,0.0,0.0
84489c5ffffffff,14.0,0.0,0.0
84489e3ffffffff,4.0,0.0,0.0
84489ebffffffff,2.0,0.0,0.0
844b26dffffffff,4.0,0.0,0.0
844b845ffffffff,5.0,0.0,0.0
844b849ffffffff,8.0,0.0,0.0
844b84dffffffff,2.0,0.0,0.0
844b869ffffffff,2.0,0.0,0.0
844b9cdffffffff,1.0,0.0,0.0
844ba01ffffffff,2.0,0.0,0.0
844ba05ffffffff,5.0,0.0,0.0
844ba0bffffffff,14.0,0.0,0.0
844ba15ffffffff,4.0,0.0,0.0
844ba21ffffffff,7.0,0.0,0.0
844ba25ffffffff,13.0,0.0,0.0
844ba29ffffffff,5.0,0.0,0.0
844ba2bffffffff,30.0,0.0,0.0
844ba2dffffffff,5.0,0.0,0.0
844ba35ffffffff,1.0,0.0,0.0
844ba39ffffffff,4.0,0.0,0.0
844ba3dffffffff,2.0,0.0,0.0
844ba57ffffffff,2.0,0.0,0.0
844bb11ffffffff,12.0,0.0,0.0
844bb17ffffffff,2.0,0.0,0.0
844bb19ffffffff,20.0,0.0,0.0
844bb53ffffffff,35.0,0.0,0.0
844cc0bffffffff,7.0,0.0,0.0
844cc51ffffffff,1.0,0.0,0.0
844cc59ffffffff,8.0,0.0,0.0
844cd43ffffffff,3.0,0.0,0.0
844ce85ffffffff,15.0,0.0,0.0
844cea9ffffffff,6.0,0.0,0.0
844cee7ffffffff,2.0,0.0,0.0
845d103ffffffff,2.0,0.0,0.0
845d107ffffffff,8.0,0.0,0.0
845d16bffffffff,1.0,0.0,0.0
845e43dffffffff,2.0,0.0,0.0
8460025ffffffff,3.0,0.0,0.0
846004dffffffff,11.0,0.0,0.0
8460065ffffffff,6.0,2.0,0.0
8460069ffffffff,2.0,0.0,0.0
8460143ffffffff,2.0,0.0,0.0
8460145ffffffff,7.0,2.0,0.0
846014bffffffff,2.0,0.0,0.0
846014dffffffff,9.0,0.0,0.0
8460151ffffffff,4.0,0.0,0.0
846015dffffffff,13.0,0.0,0.0
8460169ffffffff,69.0,0.0,0.0
846016dffffffff,4.0,0.0,0.0
84601e9ffffffff,1.0,0.0,0.0
84601edffffffff,3.0,0.0,0.0
8460221ffffffff,1.0,0.0,0.0
8460225ffffffff,2.0,0.0,0.0
846022dffffffff,2.0,0.0,0.0
8460263ffffffff,8.0,0.0,0.0
846026dffffffff,5.0,0.0,0.0
8460305ffffffff,4.0,0.0,0.0
8460307ffffffff,2.0,0.0,0.0
8460313ffffffff,53.0,0.0,0.0
8460315ffffffff,2.0,0.0,0.0
8460319ffffffff,4.0,0.0,0.0
846031bffffffff,12.0,0.0,0.0
846031dffffffff,3.0,0.0,0.0
8460321ffffffff,4.0,0.0,0.0
8460329ffffffff,1.0,0.0,0.0
846032dffffffff,2.0,0.0,0.0
8460331ffffffff,3.0,0.0,0.0
8460333ffffffff,3.0,3.0,0.0
8460339ffffffff,8.0,0.0,0.0
846033bffffffff,11.0,0.0,0.0
846033dffffffff,4.0,0.0,0.0
846034dffffffff,3.0,0.0,0.0
8460351ffffffff,7.0,0.0,0.0
8460361ffffffff,4.0,0.0,0.0
8460367ffffffff,3.0,0.0,0.0
8460369ffffffff,2.0,0.0,0.0
846036bffffffff,2.0,0.0,0.0
8460885ffffffff,17.0,0.0,0.0
84608abffffffff,2.0,0.0,0.0
84608b5ffffffff,27.0,0.0,0.0
84608bdffffffff,6.0,0.0,0.0
84608e9ffffffff,3.0,0.0,0.0
8460901ffffffff,6.0,0.0,0.0
846099bffffffff,5.0,0.0,0.0
84609e1ffffffff,7.0,0.0,0.0
84609ebffffffff,7.0,0.0,0.0
8460a25ffffffff,6.0,0.0,0.0
8460a8bffffffff,2.0,0.0,0.0
8460a91ffffffff,30.0,0.0,0.0
8460a97ffffffff,1.0,0.0,0.0
8460a99ffffffff,2.0,0.0,0.0
8460aa3ffffffff,11.0,0.0,0.0
8460aedffffffff,4.0,0.0,0.0
8460b1bffffffff,2.0,0.0,0.0
8460b53ffffffff,4.0,0.0,0.0
8461893ffffffff,2.0,0.0,0.0
8461897ffffffff,2.0,0.0,0.0
84618b9ffffffff,13.0,0.0,0.0
84618c1ffffffff,2.0,0.0,0.0
84618c5ffffffff,12.0,0.0,0.0
84618ebffffffff,8.0,0.0,0.0
84619abffffffff,2.0,0.0,0.0
8461a97ffffffff,3.0,0.0,0.0
8461ab7ffffffff,4.0,0.0,0.0
8461abbffffffff,2.0,0.0,0.0
8463325ffffffff,4.0,0.0,0.0
846416dffffffff,1.0,0.0,0.0
84648c9ffffffff,1.0,0.0,0.0
8464a29ffffffff,2.0,0.0,0.0
8464a49ffffffff,1.0,0.0,0.0
8464b29ffffffff,6.0,0.0,0.0
8464b4dffffffff,2.0,0.0,0.0
8464b61ffffffff,2.0,0.0,0.0
8464e49ffffffff,61.0,0.0,0.0
8465005ffffffff,8.0,0.0,4.0
8465009ffffffff,9.0,0.0,0.0
846500bffffffff,5.0,0.0,0.0
8465015ffffffff,30.0,0.0,0.0
8465033ffffffff,14.0,0.0,0.0
8465039ffffffff,3.0,0.0,0.0
8465055ffffffff,24.0,0.0,0.0
8465057ffffffff,1.0,0.0,0.0
846505dffffffff,1.0,0.0,0.0
84650e5ffffffff,4.0,0.0,0.0
8465189ffffffff,10.0,0.0,3.0
846518bffffffff,55.0,0.0,0.0
8465199ffffffff,7.0,0.0,0.0
846519dffffffff,13.0,0.0,0.0
84651c1ffffffff,1.0,0.0,1.0
84651c3ffffffff,1.0,0.0,0.0
84651c9ffffffff,4.0,0.0,0.0
84651cbffffffff,2.0,0.0,0.0
84651d1ffffffff,43.0,0.0,0.0
84651d5ffffffff,4.0,0.0,0.0
84651d7ffffffff,4.0,0.0,0.0
84651d9ffffffff,65.0,0.0,2.0
84651dbffffffff,50.0,0.0,1.0
84651ddffffffff,6.0,0.0,0.0
846520dffffffff,40.0,0.0,0.0
8465227ffffffff,1.0,0.0,0.0
8465231ffffffff,9.0,0.0,0.0
8465233ffffffff,10.0,0.0,0.0
8465237ffffffff,1.0,0.0,0.0
846523dffffffff,5.0,0.0,0.0
8465263ffffffff,17.0,0.0,0.0
846526bffffffff,11.0,0.0,0.0
8465313ffffffff,12.0,0.0,0.0
8465847ffffffff,2.0,0.0,0.0
8465907ffffffff,4.0,0.0,0.0
8465b33ffffffff,2.0,0.0,0.0
8465b61ffffffff,1.0,0.0,0.0
8467263ffffffff,2.0,0.0,0.0
8467363ffffffff,1.0,0.0,0.0
8467365ffffffff,2.0,0.0,0.0
8468025ffffffff,4.0,0.0,2.0
8468119ffffffff,1.0,0.0,1.0
8468157ffffffff,2.0,0.0,0.0
8468189ffffffff,2.0,0.0,0.0
8468c81ffffffff,1.0,0.0,1.0
8468d05ffffffff,1.0,0.0,1.0
8469433ffffffff,2.0,0.0,0.0
846d641ffffffff,2.0,0.0,0.0
846d645ffffffff,9.0,0.0,0.0
848c107ffffffff,2.0,0.0,2.0
848c965ffffffff,4.0,0.0,0.0
848cd33ffffffff,1.0,0.0,0.0
8495a4dffffffff,1.0,0.0,0.0
849d21dffffffff,2.0,0.0,0.0
84be085ffffffff,1.0,0.0,0.0
84be08dffffffff,2.0,0.0,0.0
84be8d1ffffffff,2.0,0.0,0.0
84be8d9ffffffff,15.0,0.0,0.0
