cell_id,Pachycoccyx audeberti,Pachycoccyx audeberti validus/brazzae,Pachycoccyx audeberti audeberti
825897fffffffff,36.0,0.0,0.0
8258b7fffffffff,1.0,0.0,0.0
826a17fffffffff,1.0,0.0,0.0
826a9ffffffffff,2.0,0.0,0.0
826aeffffffffff,1.0,1.0,0.0
82750ffffffffff,12.0,0.0,0.0
827527fffffffff,16.0,0.0,0.0
82752ffffffffff,43.0,2.0,0.0
827577fffffffff,1.0,0.0,0.0
827a77fffffffff,1.0,0.0,0.0
827b4ffffffffff,8.0,0.0,0.0
827b5ffffffffff,22.0,0.0,0.0
827b6ffffffffff,1.0,0.0,0.0
82821ffffffffff,3.0,0.0,0.0
828287fffffffff,3.0,0.0,0.0
828297fffffffff,5.0,0.0,0.0
828397fffffffff,2.0,0.0,0.0
8283a7fffffffff,6.0,0.0,0.0
8283affffffffff,2.0,0.0,0.0
829607fffffffff,12.0,1.0,0.0
82960ffffffffff,5.0,0.0,0.0
829617fffffffff,1.0,0.0,0.0
829627fffffffff,15.0,0.0,0.0
82962ffffffffff,1.0,0.0,0.0
829637fffffffff,1.0,0.0,0.0
829657fffffffff,2.0,0.0,0.0
829677fffffffff,1.0,0.0,0.0
8296a7fffffffff,4.0,0.0,0.0
8296affffffffff,1.0,0.0,0.0
8296b7fffffffff,5.0,0.0,0.0
829707fffffffff,2.0,0.0,0.0
82970ffffffffff,1.0,0.0,0.0
829717fffffffff,10.0,0.0,0.0
82971ffffffffff,2.0,0.0,0.0
829727fffffffff,1.0,0.0,0.0
82972ffffffffff,7.0,1.0,0.0
829737fffffffff,2.0,0.0,0.0
829757fffffffff,8.0,6.0,0.0
829797fffffffff,1.0,0.0,0.0
8297affffffffff,3.0,0.0,0.0
82ac9ffffffffff,1.0,0.0,0.0
82bcd7fffffffff,33.0,8.0,0.0
