cell_id,Treron phoenicopterus,Treron phoenicopterus chlorigaster/phillipsi,Treron phoenicopterus [phoenicopterus Group]
843c029ffffffff,6.0,0.0,0.0
843c067ffffffff,2.0,0.0,0.0
843c189ffffffff,2.0,0.0,0.0
843c193ffffffff,1.0,0.0,0.0
843c199ffffffff,3.0,0.0,0.0
843c19bffffffff,5.0,0.0,0.0
843c19dffffffff,1.0,0.0,0.0
843c1b5ffffffff,2.0,0.0,0.0
843c1b9ffffffff,3.0,0.0,0.0
843c1c3ffffffff,2.0,0.0,0.0
843c537ffffffff,2.0,0.0,0.0
843c5a1ffffffff,2.0,0.0,0.0
843c5adffffffff,2.0,0.0,0.0
843c5bdffffffff,6.0,0.0,0.0
843c80dffffffff,2.0,0.0,0.0
843c839ffffffff,3.0,0.0,0.0
843c8d3ffffffff,1.0,0.0,0.0
843c8d7ffffffff,6.0,0.0,0.0
843c8d9ffffffff,1.0,0.0,0.0
843c8e5ffffffff,3.0,0.0,0.0
843c909ffffffff,4.0,0.0,0.0
843ca87ffffffff,12.0,0.0,0.0
843ca95ffffffff,6.0,0.0,0.0
843cab7ffffffff,5.0,0.0,0.0
843cc45ffffffff,4.0,0.0,0.0
843cc47ffffffff,1.0,0.0,0.0
843cc5bffffffff,2.0,0.0,0.0
843cc63ffffffff,2.0,0.0,0.0
843cc6bffffffff,4.0,0.0,0.0
843ce03ffffffff,3.0,0.0,0.0
843ce15ffffffff,6.0,0.0,0.0
843ce1dffffffff,2.0,0.0,0.0
843ce2bffffffff,1.0,0.0,0.0
843ce3bffffffff,5.0,0.0,0.0
843ce4dffffffff,1.0,0.0,0.0
843ce55ffffffff,3.0,0.0,0.0
843ce57ffffffff,15.0,0.0,0.0
843cec1ffffffff,6.0,0.0,0.0
843cec3ffffffff,10.0,0.0,0.0
843cec9ffffffff,4.0,0.0,0.0
843cecdffffffff,30.0,0.0,0.0
843ceddffffffff,2.0,0.0,0.0
843cf05ffffffff,3.0,0.0,0.0
843cf0dffffffff,2.0,0.0,0.0
843cf11ffffffff,6.0,0.0,0.0
843cf13ffffffff,3.0,0.0,0.0
843cf27ffffffff,1.0,0.0,0.0
843cf29ffffffff,17.0,0.0,0.0
