cell_id,Thinornis dubius,Thinornis dubius curonicus,Thinornis dubius dubius/jerdoni
8408025ffffffff,1.0,0.0,0.0
8408159ffffffff,4.0,0.0,0.0
8408365ffffffff,1.0,0.0,0.0
8408805ffffffff,2.0,0.0,0.0
8408809ffffffff,1.0,0.0,0.0
840880dffffffff,27.0,0.0,0.0
8408829ffffffff,15.0,0.0,0.0
840882dffffffff,2.0,0.0,0.0
840883dffffffff,2.0,0.0,0.0
8408845ffffffff,2.0,0.0,0.0
8408855ffffffff,8.0,0.0,0.0
8408863ffffffff,18.0,0.0,0.0
8408867ffffffff,2.0,0.0,0.0
8408869ffffffff,8.0,0.0,0.0
840886bffffffff,8.0,0.0,0.0
8408889ffffffff,2.0,0.0,0.0
840888bffffffff,3.0,0.0,0.0
840888dffffffff,11.0,6.0,0.0
84088a7ffffffff,1.0,0.0,0.0
8408937ffffffff,17.0,0.0,0.0
840895bffffffff,5.0,0.0,0.0
8408985ffffffff,10.0,0.0,0.0
840898bffffffff,5.0,0.0,0.0
8408991ffffffff,11.0,4.0,0.0
8408993ffffffff,2.0,0.0,0.0
8408995ffffffff,2.0,0.0,0.0
8408997ffffffff,212.0,45.0,0.0
8408999ffffffff,2.0,2.0,0.0
84089a1ffffffff,2.0,0.0,0.0
84089a5ffffffff,10.0,0.0,0.0
84089a9ffffffff,44.0,0.0,0.0
84089adffffffff,2.0,0.0,0.0
84089b1ffffffff,11.0,0.0,0.0
84089b7ffffffff,3.0,0.0,0.0
84089bbffffffff,2.0,0.0,0.0
84089d1ffffffff,13.0,0.0,0.0
84089d3ffffffff,19.0,0.0,0.0
84089dbffffffff,7.0,0.0,0.0
84089e3ffffffff,5.0,0.0,0.0
84089e5ffffffff,3.0,0.0,0.0
84089e7ffffffff,8.0,0.0,0.0
84089ebffffffff,18.0,0.0,0.0
84089edffffffff,3.0,0.0,0.0
8408a97ffffffff,1.0,0.0,0.0
8408b11ffffffff,8.0,0.0,0.0
8408b15ffffffff,4.0,0.0,0.0
8408b17ffffffff,2.0,0.0,0.0
8408b31ffffffff,2.0,0.0,0.0
8408b35ffffffff,1.0,0.0,0.0
8408b3dffffffff,8.0,0.0,0.0
8408b41ffffffff,2.0,0.0,0.0
8408c21ffffffff,6.0,0.0,0.0
8408c29ffffffff,4.0,0.0,0.0
8408c31ffffffff,6.0,0.0,0.0
8408d03ffffffff,3.0,0.0,0.0
8408d09ffffffff,2.0,0.0,0.0
8408d19ffffffff,25.0,0.0,0.0
8408d51ffffffff,1.0,0.0,0.0
8408d57ffffffff,8.0,0.0,0.0
8408d81ffffffff,2.0,0.0,0.0
8408f63ffffffff,6.0,0.0,0.0
8409805ffffffff,2.0,0.0,0.0
8409825ffffffff,2.0,0.0,0.0
840982dffffffff,4.0,0.0,0.0
8409983ffffffff,2.0,0.0,0.0
8409987ffffffff,2.0,0.0,0.0
8409991ffffffff,2.0,0.0,0.0
8409993ffffffff,10.0,0.0,0.0
8409997ffffffff,5.0,4.0,0.0
84099b9ffffffff,5.0,0.0,0.0
84099bdffffffff,2.0,0.0,0.0
840a337ffffffff,6.0,0.0,0.0
840b893ffffffff,1.0,0.0,0.0
841012dffffffff,2.0,0.0,0.0
8410167ffffffff,6.0,0.0,0.0
8410231ffffffff,1.0,0.0,0.0
841023dffffffff,1.0,0.0,0.0
84109a9ffffffff,1.0,0.0,0.0
84109c7ffffffff,1.0,0.0,0.0
8410c23ffffffff,4.0,0.0,0.0
8410c27ffffffff,4.0,0.0,0.0
8410d21ffffffff,3.0,0.0,0.0
8410dc1ffffffff,2.0,0.0,0.0
8410dc9ffffffff,13.0,0.0,0.0
8410dcdffffffff,1.0,0.0,0.0
8410de1ffffffff,2.0,0.0,0.0
8410f29ffffffff,1.0,0.0,0.0
8411015ffffffff,1.0,0.0,0.0
8411043ffffffff,3.0,0.0,0.0
841105bffffffff,1.0,0.0,0.0
8411061ffffffff,35.0,0.0,0.0
8411069ffffffff,56.0,0.0,0.0
841106bffffffff,17.0,0.0,0.0
8411221ffffffff,2.0,0.0,0.0
8411223ffffffff,2.0,0.0,0.0
8411235ffffffff,1.0,1.0,0.0
8411261ffffffff,5.0,0.0,0.0
8411269ffffffff,7.0,0.0,0.0
841126bffffffff,5.0,0.0,0.0
841126dffffffff,41.0,4.0,0.0
84112adffffffff,4.0,0.0,0.0
841130dffffffff,2.0,0.0,0.0
841131dffffffff,1.0,0.0,0.0
8411347ffffffff,2.0,0.0,0.0
841136bffffffff,1.0,0.0,0.0
8411549ffffffff,6.0,0.0,0.0
8411811ffffffff,2.0,0.0,0.0
8411813ffffffff,2.0,1.0,0.0
841181bffffffff,2.0,0.0,0.0
841181dffffffff,6.0,0.0,0.0
84118adffffffff,8.0,0.0,0.0
84118c1ffffffff,2.0,0.0,0.0
84118cdffffffff,7.0,0.0,0.0
84118e1ffffffff,4.0,0.0,0.0
84118e9ffffffff,11.0,5.0,0.0
8411aa1ffffffff,2.0,0.0,0.0
8411aa3ffffffff,5.0,0.0,0.0
8411aa5ffffffff,5.0,0.0,0.0
8411aabffffffff,24.0,2.0,0.0
8411abdffffffff,3.0,0.0,0.0
8411ae3ffffffff,55.0,14.0,0.0
8411ae7ffffffff,1.0,1.0,0.0
8411b07ffffffff,2.0,0.0,0.0
8411b4dffffffff,2.0,0.0,0.0
8414859ffffffff,2.0,0.0,0.0
8414921ffffffff,2.0,0.0,0.0
84149adffffffff,1.0,0.0,0.0
8414a8dffffffff,2.0,0.0,0.0
8414ae5ffffffff,25.0,0.0,0.0
8414c87ffffffff,1.0,0.0,0.0
8414d65ffffffff,2.0,0.0,0.0
84155dbffffffff,10.0,0.0,0.0
8415901ffffffff,4.0,0.0,0.0
8415903ffffffff,4.0,0.0,0.0
8415909ffffffff,2.0,0.0,0.0
8415913ffffffff,3.0,0.0,0.0
8415915ffffffff,1.0,0.0,0.0
8415917ffffffff,2.0,0.0,0.0
8415923ffffffff,3.0,0.0,0.0
8415925ffffffff,1.0,0.0,0.0
8415927ffffffff,12.0,0.0,0.0
8415929ffffffff,29.0,0.0,0.0
841592bffffffff,10.0,0.0,0.0
8415939ffffffff,2.0,0.0,0.0
841598bffffffff,1.0,0.0,0.0
8415b07ffffffff,52.0,0.0,0.0
8415b65ffffffff,3.0,0.0,0.0
8418443ffffffff,4.0,0.0,0.0
8418451ffffffff,2.0,0.0,0.0
841845dffffffff,4.0,0.0,0.0
8418495ffffffff,474.0,0.0,0.0
841849dffffffff,2.0,0.0,0.0
84184b1ffffffff,45.0,0.0,0.0
84184b3ffffffff,2.0,0.0,0.0
84184b5ffffffff,5.0,0.0,0.0
84184b7ffffffff,39.0,0.0,0.0
84184b9ffffffff,51.0,0.0,0.0
84184bbffffffff,55.0,0.0,0.0
84184bdffffffff,2.0,0.0,0.0
84184d5ffffffff,1.0,1.0,0.0
84184ddffffffff,27.0,1.0,0.0
84185b5ffffffff,15.0,0.0,0.0
84185bbffffffff,26.0,0.0,0.0
84185d9ffffffff,1.0,0.0,0.0
8418629ffffffff,4.0,0.0,0.0
8418655ffffffff,1.0,0.0,0.0
841865dffffffff,2.0,0.0,0.0
841868dffffffff,2.0,0.0,0.0
84186a1ffffffff,2.0,0.0,0.0
84186a3ffffffff,1.0,0.0,0.0
84186a5ffffffff,8.0,0.0,0.0
84186b7ffffffff,1.0,0.0,0.0
84186c1ffffffff,3.0,0.0,0.0
84186c3ffffffff,11.0,0.0,0.0
84186c5ffffffff,20.0,0.0,0.0
84186c7ffffffff,7.0,0.0,0.0
84186c9ffffffff,125.0,0.0,0.0
84186cbffffffff,27.0,0.0,0.0
84186dbffffffff,6.0,0.0,0.0
84186e1ffffffff,1.0,0.0,0.0
84186e9ffffffff,4.0,0.0,0.0
84186ebffffffff,2.0,0.0,0.0
84186edffffffff,4.0,0.0,0.0
8418747ffffffff,16.0,0.0,0.0
841875dffffffff,2.0,2.0,0.0
8419293ffffffff,5.0,5.0,0.0
8419401ffffffff,75.0,0.0,0.0
8419403ffffffff,19.0,0.0,0.0
8419405ffffffff,41.0,0.0,0.0
8419407ffffffff,5.0,2.0,0.0
841940dffffffff,7.0,0.0,0.0
8419411ffffffff,205.0,27.0,0.0
8419413ffffffff,133.0,26.0,0.0
8419415ffffffff,272.0,34.0,0.0
8419417ffffffff,1.0,0.0,0.0
841941bffffffff,45.0,13.0,0.0
841941dffffffff,2.0,0.0,0.0
8419421ffffffff,69.0,6.0,0.0
8419423ffffffff,81.0,0.0,0.0
8419425ffffffff,11.0,8.0,0.0
8419427ffffffff,46.0,37.0,0.0
841942bffffffff,75.0,15.0,0.0
841942dffffffff,4.0,0.0,0.0
8419431ffffffff,13.0,0.0,0.0
8419433ffffffff,34.0,0.0,0.0
8419435ffffffff,72.0,9.0,0.0
8419437ffffffff,152.0,3.0,0.0
8419439ffffffff,180.0,35.0,0.0
841943bffffffff,37.0,25.0,0.0
841943dffffffff,3.0,0.0,0.0
8419461ffffffff,15.0,0.0,0.0
