cell_id,Ardea cinerea,Ardea cinerea cinerea/jouyi,Ardea cinerea firasa,Ardea cinerea monicae
8401243ffffffff,2.0,0.0,0.0,0.0
840134bffffffff,1.0,0.0,0.0,0.0
8401351ffffffff,6.0,0.0,0.0,0.0
8401355ffffffff,2.0,0.0,0.0,0.0
840135bffffffff,4.0,0.0,0.0,0.0
8407417ffffffff,2.0,0.0,0.0,0.0
8407419ffffffff,3.0,0.0,0.0,0.0
840741dffffffff,6.0,0.0,0.0,0.0
8407433ffffffff,19.0,0.0,0.0,0.0
840743bffffffff,3.0,0.0,0.0,0.0
840744bffffffff,1.0,0.0,0.0,0.0
8407457ffffffff,10.0,0.0,0.0,0.0
840745dffffffff,7.0,0.0,0.0,0.0
8407465ffffffff,3.0,0.0,0.0,0.0
84074edffffffff,3.0,0.0,0.0,0.0
8407589ffffffff,4.0,0.0,0.0,0.0
84075d1ffffffff,12.0,0.0,0.0,0.0
84075d9ffffffff,35.0,0.0,0.0,0.0
84075ddffffffff,4.0,0.0,0.0,0.0
8407623ffffffff,5.0,0.0,0.0,0.0
8407625ffffffff,2.0,0.0,0.0,0.0
8407627ffffffff,1.0,0.0,0.0,0.0
8407635ffffffff,34.0,0.0,0.0,0.0
840771bffffffff,2.0,0.0,0.0,0.0
8407731ffffffff,5.0,0.0,0.0,0.0
8407733ffffffff,36.0,0.0,0.0,0.0
8407739ffffffff,2.0,0.0,0.0,0.0
840773bffffffff,5.0,0.0,0.0,0.0
8408005ffffffff,1.0,0.0,0.0,0.0
8408007ffffffff,5.0,0.0,0.0,0.0
8408021ffffffff,3.0,0.0,0.0,0.0
8408025ffffffff,2.0,0.0,0.0,0.0
840802dffffffff,3.0,0.0,0.0,0.0
8408061ffffffff,1.0,0.0,0.0,0.0
8408063ffffffff,1.0,0.0,0.0,0.0
8408065ffffffff,93.0,0.0,0.0,0.0
8408067ffffffff,2.0,0.0,0.0,0.0
840810dffffffff,1.0,0.0,0.0,0.0
8408115ffffffff,2.0,0.0,0.0,0.0
840811dffffffff,9.0,0.0,0.0,0.0
8408133ffffffff,1.0,0.0,0.0,0.0
8408151ffffffff,39.0,3.0,0.0,0.0
8408153ffffffff,10.0,0.0,0.0,0.0
8408159ffffffff,34.0,0.0,0.0,0.0
840815bffffffff,64.0,1.0,0.0,0.0
8408193ffffffff,2.0,0.0,0.0,0.0
84081d5ffffffff,3.0,0.0,0.0,0.0
8408287ffffffff,2.0,0.0,0.0,0.0
840829bffffffff,8.0,0.0,0.0,0.0
840829dffffffff,1.0,0.0,0.0,0.0
84082a5ffffffff,4.0,0.0,0.0,0.0
84082bbffffffff,1.0,0.0,0.0,0.0
84082bdffffffff,1.0,0.0,0.0,0.0
84082d1ffffffff,1.0,0.0,0.0,0.0
8408305ffffffff,16.0,0.0,0.0,0.0
8408307ffffffff,1.0,0.0,0.0,0.0
8408321ffffffff,1.0,0.0,0.0,0.0
8408329ffffffff,13.0,0.0,0.0,0.0
840832bffffffff,2.0,0.0,0.0,0.0
840832dffffffff,3.0,0.0,0.0,0.0
8408331ffffffff,2.0,0.0,0.0,0.0
8408333ffffffff,11.0,0.0,0.0,0.0
8408339ffffffff,8.0,0.0,0.0,0.0
840833bffffffff,8.0,0.0,0.0,0.0
840833dffffffff,6.0,0.0,0.0,0.0
8408361ffffffff,12.0,0.0,0.0,0.0
8408363ffffffff,4.0,0.0,0.0,0.0
8408365ffffffff,28.0,2.0,0.0,0.0
840836dffffffff,35.0,0.0,0.0,0.0
8408801ffffffff,2.0,0.0,0.0,0.0
8408805ffffffff,4.0,0.0,0.0,0.0
8408807ffffffff,18.0,0.0,0.0,0.0
8408809ffffffff,11.0,0.0,0.0,0.0
840880bffffffff,12.0,0.0,0.0,0.0
840880dffffffff,30.0,0.0,0.0,0.0
8408821ffffffff,5.0,0.0,0.0,0.0
8408829ffffffff,44.0,0.0,0.0,0.0
840882bffffffff,6.0,0.0,0.0,0.0
840882dffffffff,17.0,0.0,0.0,0.0
8408831ffffffff,3.0,0.0,0.0,0.0
8408837ffffffff,10.0,0.0,0.0,0.0
8408839ffffffff,10.0,0.0,0.0,0.0
840883dffffffff,37.0,0.0,0.0,0.0
8408841ffffffff,5.0,0.0,0.0,0.0
8408843ffffffff,4.0,0.0,0.0,0.0
8408845ffffffff,8.0,0.0,0.0,0.0
8408847ffffffff,2.0,0.0,0.0,0.0
840884bffffffff,4.0,0.0,0.0,0.0
8408855ffffffff,22.0,0.0,0.0,0.0
840885bffffffff,2.0,0.0,0.0,0.0
840885dffffffff,2.0,0.0,0.0,0.0
8408863ffffffff,50.0,0.0,0.0,0.0
8408865ffffffff,6.0,0.0,0.0,0.0
8408867ffffffff,317.0,0.0,0.0,0.0
8408869ffffffff,68.0,0.0,0.0,0.0
840886bffffffff,170.0,0.0,0.0,0.0
840886dffffffff,2.0,0.0,0.0,0.0
8408881ffffffff,2.0,0.0,0.0,0.0
8408889ffffffff,43.0,1.0,0.0,0.0
840888bffffffff,1.0,0.0,0.0,0.0
840888dffffffff,46.0,23.0,0.0,0.0
84088a1ffffffff,2.0,0.0,0.0,0.0
84088a9ffffffff,7.0,0.0,0.0,0.0
84088adffffffff,5.0,0.0,0.0,0.0
84088b5ffffffff,2.0,0.0,0.0,0.0
84088b7ffffffff,6.0,0.0,0.0,0.0
84088d3ffffffff,6.0,6.0,0.0,0.0
84088e1ffffffff,34.0,32.0,0.0,0.0
84088e3ffffffff,6.0,4.0,0.0,0.0
84088e5ffffffff,3.0,0.0,0.0,0.0
8408901ffffffff,12.0,0.0,0.0,0.0
840890dffffffff,14.0,0.0,0.0,0.0
8408933ffffffff,2.0,0.0,0.0,0.0
8408937ffffffff,84.0,0.0,0.0,0.0
8408959ffffffff,58.0,0.0,0.0,0.0
840895bffffffff,80.0,0.0,0.0,0.0
8408961ffffffff,14.0,0.0,0.0,0.0
8408963ffffffff,4.0,0.0,0.0,0.0
8408965ffffffff,16.0,0.0,0.0,0.0
8408967ffffffff,2.0,0.0,0.0,0.0
840896bffffffff,2.0,0.0,0.0,0.0
