cell_id,Alcedo atthis,Alcedo atthis [atthis Group],Alcedo atthis [hispidoides Group]
84075ddffffffff,6.0,0.0,0.0
8408997ffffffff,19.0,2.0,0.0
84089d7ffffffff,1.0,0.0,0.0
8409917ffffffff,2.0,2.0,0.0
8411811ffffffff,2.0,2.0,0.0
841181dffffffff,2.0,2.0,0.0
8418495ffffffff,26.0,0.0,0.0
84184b7ffffffff,2.0,0.0,0.0
84184b9ffffffff,3.0,0.0,0.0
84184bbffffffff,1.0,0.0,0.0
84184bdffffffff,1.0,0.0,0.0
8418597ffffffff,9.0,0.0,0.0
84185bbffffffff,19.0,1.0,0.0
8418697ffffffff,2.0,2.0,0.0
84186c1ffffffff,4.0,0.0,0.0
8419465ffffffff,2.0,2.0,0.0
841948dffffffff,2.0,2.0,0.0
84194e9ffffffff,1.0,0.0,0.0
8419507ffffffff,2.0,0.0,0.0
8419511ffffffff,2.0,2.0,0.0
8419591ffffffff,7.0,7.0,0.0
8419599ffffffff,1.0,1.0,0.0
841e05bffffffff,4.0,0.0,0.0
841e085ffffffff,2.0,0.0,0.0
841e125ffffffff,2.0,0.0,0.0
841e5e7ffffffff,4.0,0.0,0.0
841ea03ffffffff,1.0,0.0,0.0
841ea0bffffffff,3.0,0.0,0.0
841ea53ffffffff,6.0,0.0,0.0
841ea55ffffffff,2.0,0.0,0.0
841ec1dffffffff,2.0,0.0,0.0
841eccbffffffff,7.0,0.0,0.0
841ed63ffffffff,1.0,0.0,0.0
841eda7ffffffff,2.0,0.0,0.0
841ee37ffffffff,10.0,0.0,0.0
841eea5ffffffff,1.0,0.0,0.0
841eeadffffffff,2.0,0.0,0.0
841ef21ffffffff,3.0,0.0,0.0
841f311ffffffff,1.0,0.0,0.0
841f83bffffffff,5.0,0.0,0.0
841f99bffffffff,3.0,0.0,0.0
841f9a3ffffffff,2.0,0.0,0.0
841fa59ffffffff,1.0,0.0,0.0
841faa7ffffffff,21.0,0.0,0.0
841fac7ffffffff,2.0,0.0,0.0
841fb17ffffffff,2.0,0.0,0.0
8420187ffffffff,1.0,0.0,0.0
8420a27ffffffff,4.0,0.0,0.0
8420a53ffffffff,2.0,0.0,0.0
8420b11ffffffff,2.0,0.0,0.0
8420b13ffffffff,2.0,0.0,0.0
842c003ffffffff,1.0,0.0,0.0
842c20dffffffff,1.0,0.0,0.0
842d03bffffffff,8.0,3.0,0.0
842d0e5ffffffff,1.0,1.0,0.0
842d303ffffffff,1.0,1.0,0.0
842d32bffffffff,2.0,2.0,0.0
842d32dffffffff,2.0,2.0,0.0
842d333ffffffff,1.0,0.0,0.0
842db01ffffffff,6.0,2.0,0.0
842db03ffffffff,1.0,1.0,0.0
842db05ffffffff,1.0,0.0,0.0
842db0bffffffff,3.0,0.0,0.0
842db1dffffffff,1.0,0.0,0.0
842db65ffffffff,2.0,0.0,0.0
8430833ffffffff,4.0,0.0,0.0
8430991ffffffff,5.0,0.0,0.0
8430995ffffffff,6.0,1.0,0.0
8430997ffffffff,5.0,0.0,0.0
84309a5ffffffff,2.0,0.0,0.0
84309b3ffffffff,8.0,0.0,0.0
84309d9ffffffff,2.0,0.0,0.0
8431aa5ffffffff,2.0,2.0,0.0
8438105ffffffff,1.0,0.0,0.0
8438625ffffffff,5.0,0.0,0.0
8438667ffffffff,3.0,0.0,0.0
8438753ffffffff,5.0,0.0,0.0
843875bffffffff,9.0,0.0,0.0
8439003ffffffff,6.0,0.0,0.0
8439007ffffffff,3.0,0.0,0.0
843900dffffffff,3.0,0.0,0.0
843901bffffffff,3.0,0.0,0.0
843901dffffffff,13.0,0.0,0.0
8439021ffffffff,2.0,0.0,0.0
8439023ffffffff,2.0,0.0,0.0
843902bffffffff,1.0,0.0,0.0
843902dffffffff,3.0,0.0,0.0
8439031ffffffff,1.0,0.0,0.0
843903bffffffff,1.0,0.0,0.0
843903dffffffff,7.0,0.0,0.0
8439043ffffffff,2.0,0.0,0.0
8439045ffffffff,4.0,0.0,0.0
8439047ffffffff,4.0,0.0,0.0
843904bffffffff,7.0,0.0,0.0
843904dffffffff,2.0,0.0,0.0
843905dffffffff,4.0,0.0,0.0
8439063ffffffff,2.0,0.0,0.0
843906bffffffff,2.0,0.0,0.0
843906dffffffff,4.0,0.0,0.0
84390d3ffffffff,2.0,0.0,0.0
8439101ffffffff,6.0,0.0,0.0
8439111ffffffff,5.0,0.0,0.0
8439115ffffffff,4.0,0.0,0.0
