cell_id,Aethopyga siparaja,Aethopyga siparaja [seheriae Group],Aethopyga siparaja [siparaja Group],Aethopyga siparaja flavostriata/beccarii
823c07fffffffff,561.0,81.0,0.0,0.0
823c0ffffffffff,148.0,1.0,0.0,0.0
823c17fffffffff,32.0,0.0,0.0,0.0
823c1ffffffffff,499.0,0.0,0.0,0.0
823c37fffffffff,168.0,0.0,0.0,0.0
823c57fffffffff,41.0,0.0,0.0,0.0
823c5ffffffffff,341.0,0.0,0.0,0.0
823c87fffffffff,1.0,0.0,0.0,0.0
823c8ffffffffff,78.0,0.0,0.0,0.0
823c97fffffffff,15.0,0.0,0.0,0.0
823caffffffffff,1.0,0.0,0.0,0.0
823cc7fffffffff,184.0,0.0,0.0,0.0
823ccffffffffff,47.0,0.0,0.0,0.0
823cd7fffffffff,13.0,0.0,0.0,0.0
823cdffffffffff,10.0,0.0,0.0,0.0
823ce7fffffffff,1661.0,23.0,0.0,0.0
823ceffffffffff,843.0,0.0,0.0,0.0
823cf7fffffffff,60.0,0.0,0.0,0.0
823d17fffffffff,2926.0,0.0,0.0,0.0
823d1ffffffffff,28.0,0.0,0.0,0.0
823d37fffffffff,146.0,0.0,0.0,0.0
823daffffffffff,1207.0,0.0,0.0,0.0
82404ffffffffff,75.0,0.0,0.0,0.0
824067fffffffff,168.0,0.0,0.0,0.0
82406ffffffffff,29.0,0.0,0.0,0.0
824147fffffffff,89.0,6.0,0.0,0.0
82414ffffffffff,64.0,0.0,0.0,0.0
824157fffffffff,25.0,0.0,0.0,0.0
82415ffffffffff,32.0,2.0,0.0,0.0
824167fffffffff,42.0,1.0,0.0,0.0
82416ffffffffff,86.0,10.0,0.0,0.0
82426ffffffffff,20.0,0.0,0.0,0.0
826417fffffffff,539.0,83.0,0.0,0.0
826427fffffffff,32.0,0.0,2.0,0.0
82642ffffffffff,48.0,0.0,0.0,0.0
826437fffffffff,331.0,24.0,18.0,0.0
826487fffffffff,12.0,0.0,0.0,0.0
82648ffffffffff,3.0,0.0,0.0,0.0
826497fffffffff,108.0,23.0,0.0,0.0
82649ffffffffff,15.0,0.0,0.0,0.0
8264a7fffffffff,86.0,4.0,0.0,0.0
8264b7fffffffff,55.0,18.0,0.0,0.0
826507fffffffff,50.0,0.0,0.0,0.0
826517fffffffff,1.0,0.0,0.0,0.0
82651ffffffffff,185.0,2.0,13.0,0.0
826527fffffffff,1652.0,0.0,0.0,0.0
82652ffffffffff,3.0,0.0,0.0,0.0
826557fffffffff,13.0,0.0,0.0,0.0
826577fffffffff,24.0,0.0,0.0,0.0
826587fffffffff,21.0,0.0,0.0,0.0
82658ffffffffff,106.0,17.0,0.0,0.0
826597fffffffff,17.0,0.0,0.0,0.0
82659ffffffffff,181.0,31.0,0.0,0.0
8265affffffffff,1.0,0.0,0.0,0.0
8265b7fffffffff,342.0,7.0,0.0,0.0
826807fffffffff,11.0,0.0,0.0,0.0
826817fffffffff,266.0,0.0,34.0,0.0
82681ffffffffff,1149.0,0.0,191.0,0.0
82688ffffffffff,1.0,0.0,0.0,0.0
826897fffffffff,7.0,0.0,0.0,0.0
82689ffffffffff,2.0,0.0,0.0,0.0
8268a7fffffffff,14.0,0.0,2.0,0.0
8268c7fffffffff,2.0,0.0,0.0,0.0
8268cffffffffff,82.0,0.0,0.0,41.0
8268d7fffffffff,54.0,0.0,0.0,26.0
8268dffffffffff,1.0,0.0,0.0,0.0
8268f7fffffffff,4.0,0.0,0.0,0.0
826937fffffffff,50.0,1.0,0.0,0.0
828c17fffffffff,5.0,0.0,0.0,0.0
828c1ffffffffff,12.0,0.0,0.0,0.0
828c97fffffffff,36.0,0.0,4.0,0.0
828caffffffffff,5.0,0.0,0.0,0.0
828cc7fffffffff,6.0,0.0,0.0,0.0
828cd7fffffffff,4.0,0.0,0.0,0.0
828cdffffffffff,7.0,0.0,0.0,0.0
829507fffffffff,24.0,0.0,0.0,16.0
829527fffffffff,6.0,0.0,0.0,6.0
82952ffffffffff,3.0,0.0,0.0,2.0
