cell_id,Cnemoscopus rubrirostris,Cnemoscopus rubrirostris rubrirostris,Cnemoscopus rubrirostris chrysogaster
8466083ffffffff,2.0,0.0,0.0
8466089ffffffff,4.0,0.0,0.0
846608dffffffff,6.0,0.0,0.0
846609dffffffff,2.0,0.0,0.0
84660b3ffffffff,2.0,0.0,0.0
84660b7ffffffff,21.0,0.0,0.0
84660bbffffffff,5.0,0.0,0.0
84660bdffffffff,6.0,0.0,0.0
84660cbffffffff,1.0,0.0,0.0
84660ddffffffff,32.0,0.0,0.0
8466181ffffffff,214.0,4.0,0.0
8466183ffffffff,4.0,0.0,0.0
8466187ffffffff,104.0,6.0,0.0
846618bffffffff,45.0,2.0,0.0
8466191ffffffff,3.0,0.0,0.0
8466197ffffffff,262.0,0.0,0.0
846619dffffffff,139.0,0.0,0.0
84661b1ffffffff,11.0,0.0,0.0
84661b9ffffffff,21.0,0.0,0.0
84661bbffffffff,756.0,28.0,0.0
84661c3ffffffff,1.0,0.0,0.0
84661d5ffffffff,4.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0
8466c0dffffffff,17.0,0.0,0.0
8466c21ffffffff,19.0,0.0,0.0
8466c25ffffffff,7.0,0.0,0.0
8466c2dffffffff,13.0,0.0,0.0
8466c45ffffffff,3.0,0.0,0.0
8466c47ffffffff,18.0,0.0,0.0
8466c4bffffffff,3.0,0.0,0.0
8466c61ffffffff,52.0,0.0,0.0
8466c63ffffffff,16.0,0.0,0.0
8466c67ffffffff,4.0,0.0,0.0
8466c69ffffffff,12.0,0.0,0.0
8466d0bffffffff,8.0,7.0,0.0
8466d11ffffffff,3.0,1.0,0.0
8466d33ffffffff,1.0,0.0,0.0
8466d53ffffffff,4.0,0.0,0.0
8466de1ffffffff,67.0,14.0,0.0
8466de5ffffffff,5.0,0.0,0.0
8466dedffffffff,1401.0,167.0,0.0
8466e09ffffffff,2.0,0.0,0.0
8466e0bffffffff,147.0,9.0,0.0
8466e0dffffffff,2.0,0.0,0.0
8466e2dffffffff,2.0,0.0,0.0
8466e41ffffffff,1.0,0.0,0.0
8466e43ffffffff,41.0,0.0,0.0
8466e47ffffffff,27.0,0.0,0.0
8466e55ffffffff,28.0,0.0,0.0
8466e59ffffffff,2.0,0.0,0.0
8466e5dffffffff,3.0,0.0,0.0
8466e61ffffffff,56.0,0.0,0.0
8466e65ffffffff,223.0,6.0,0.0
8466e67ffffffff,87.0,0.0,0.0
8466e69ffffffff,19.0,0.0,0.0
8466e6dffffffff,1759.0,68.0,0.0
8466f15ffffffff,2.0,0.0,0.0
8466f19ffffffff,81.0,0.0,0.0
8466f1dffffffff,15.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,6.0,0.0,0.0
8466f53ffffffff,50.0,0.0,0.0
8466f5bffffffff,20.0,0.0,0.0
848b617ffffffff,155.0,0.0,0.0
848b6c1ffffffff,4.0,0.0,0.0
848b6c5ffffffff,4.0,0.0,0.0
848b6c9ffffffff,2.0,0.0,0.0
848b6cdffffffff,30.0,0.0,0.0
848e641ffffffff,2.0,0.0,0.0
848e643ffffffff,4.0,0.0,0.0
848e649ffffffff,9.0,0.0,0.0
848e64bffffffff,23.0,0.0,0.0
848e651ffffffff,22.0,0.0,0.0
848e655ffffffff,2.0,0.0,0.0
848f0d3ffffffff,7.0,2.0,0.0
848f0dbffffffff,1.0,0.0,0.0
848f291ffffffff,3.0,0.0,0.0
848f29bffffffff,1.0,0.0,0.0
848f421ffffffff,4.0,0.0,0.0
848f425ffffffff,7.0,0.0,0.0
848f42dffffffff,9.0,0.0,0.0
848f465ffffffff,13.0,0.0,0.0
848f4a5ffffffff,14.0,0.0,0.0
848f4a7ffffffff,2.0,0.0,0.0
848f549ffffffff,2.0,0.0,0.0
848f54bffffffff,7.0,0.0,0.0
848f54dffffffff,17.0,6.0,0.0
848f559ffffffff,5.0,0.0,0.0
848f5c1ffffffff,2.0,0.0,0.0
848f5c9ffffffff,2.0,0.0,0.0
848f5cbffffffff,2.0,0.0,0.0
848f5ddffffffff,5.0,0.0,0.0
848f721ffffffff,499.0,60.0,0.0
848f727ffffffff,13.0,10.0,0.0
848f729ffffffff,3.0,1.0,0.0
848f72dffffffff,47.0,4.0,0.0
848f733ffffffff,203.0,0.0,10.0
848f745ffffffff,3.0,3.0,0.0
848f761ffffffff,3.0,0.0,0.0
848f767ffffffff,8.0,2.0,0.0
848f769ffffffff,3.0,1.0,0.0
848f76bffffffff,6.0,0.0,0.0
