cell_id,Egretta gularis,Egretta gularis gularis,Egretta gularis schistacea
841ea45ffffffff,1.0,0.0,0.0
841eb4dffffffff,3.0,0.0,0.0
841ecadffffffff,1.0,0.0,0.0
841ed35ffffffff,1.0,0.0,0.0
841eeb7ffffffff,3.0,3.0,0.0
842a107ffffffff,10.0,0.0,0.0
842a30dffffffff,17.0,0.0,0.0
842a313ffffffff,5.0,0.0,0.0
842b2c5ffffffff,3.0,0.0,0.0
842c93bffffffff,7.0,0.0,3.0
842c9e9ffffffff,10.0,0.0,5.0
842dae9ffffffff,2.0,0.0,0.0
8438247ffffffff,1.0,0.0,0.0
843826bffffffff,7.0,0.0,0.0
843901bffffffff,2.0,0.0,0.0
8439057ffffffff,16.0,2.0,0.0
84390cbffffffff,31.0,4.0,0.0
8439115ffffffff,4.0,0.0,0.0
8439183ffffffff,1.0,0.0,0.0
8439195ffffffff,1.0,0.0,0.0
84391c7ffffffff,1.0,0.0,0.0
8439435ffffffff,3.0,0.0,0.0
8439451ffffffff,1.0,0.0,0.0
8439455ffffffff,12.0,0.0,0.0
843946dffffffff,2.0,0.0,0.0
8439541ffffffff,5.0,0.0,0.0
8439547ffffffff,12.0,0.0,0.0
84396c7ffffffff,3.0,0.0,0.0
843971dffffffff,1.0,0.0,0.0
8439721ffffffff,2.0,0.0,0.0
8439733ffffffff,6.0,0.0,0.0
8439749ffffffff,2.0,0.0,0.0
8439755ffffffff,2.0,0.0,0.0
8439805ffffffff,2.0,0.0,0.0
8439827ffffffff,2.0,2.0,0.0
843c199ffffffff,1.0,0.0,1.0
843c899ffffffff,3.0,0.0,0.0
843c927ffffffff,2.0,0.0,0.0
843d107ffffffff,2.0,0.0,0.0
843db35ffffffff,2.0,0.0,0.0
843e689ffffffff,1.0,0.0,1.0
843e68dffffffff,3.0,0.0,0.0
8442531ffffffff,1.0,0.0,0.0
84425d3ffffffff,1.0,0.0,0.0
8442c09ffffffff,6.0,0.0,0.0
8442c0dffffffff,3.0,0.0,1.0
8442c13ffffffff,1.0,0.0,0.0
8442c1dffffffff,3.0,0.0,0.0
8442c2dffffffff,1.0,0.0,0.0
8442c47ffffffff,6.0,0.0,2.0
8442c57ffffffff,1.0,0.0,1.0
8442c5bffffffff,2.0,0.0,0.0
8442c61ffffffff,2.0,0.0,2.0
8442ce5ffffffff,3.0,0.0,0.0
8442ce9ffffffff,14.0,0.0,0.0
8442d13ffffffff,2.0,0.0,0.0
8442d5bffffffff,1.0,0.0,0.0
8442db5ffffffff,1.0,0.0,1.0
8442ddbffffffff,2.0,0.0,0.0
8442e37ffffffff,3.0,0.0,0.0
8442e45ffffffff,9.0,0.0,6.0
8442ea1ffffffff,6.0,0.0,0.0
8442eabffffffff,4.0,0.0,0.0
844313bffffffff,2.0,0.0,0.0
844398dffffffff,4.0,0.0,4.0
8443a01ffffffff,1.0,0.0,0.0
8443a03ffffffff,11.0,0.0,0.0
8443a13ffffffff,6.0,0.0,0.0
8443a33ffffffff,7.0,0.0,1.0
8443a69ffffffff,1.0,0.0,0.0
8443a89ffffffff,2.0,0.0,0.0
8443a8dffffffff,17.0,0.0,1.0
8443ac1ffffffff,6.0,0.0,0.0
8443ac3ffffffff,3.0,0.0,0.0
8443ac7ffffffff,5.0,0.0,0.0
8443acdffffffff,2.0,0.0,0.0
8443ae5ffffffff,1.0,0.0,0.0
8452155ffffffff,1.0,0.0,0.0
84521e9ffffffff,2.0,0.0,0.0
84534dbffffffff,1.0,0.0,0.0
84534ddffffffff,2.0,0.0,0.0
8454ad5ffffffff,2.0,2.0,0.0
