cell_id,Copsychus saularis,Copsychus saularis [saularis Group],Copsychus saularis [amoenus Group]
84209a5ffffffff,2.0,0.0,0.0
8430995ffffffff,2.0,2.0,0.0
84309a5ffffffff,4.0,0.0,0.0
8430e25ffffffff,2.0,0.0,0.0
843c02dffffffff,6.0,1.0,0.0
843c0a5ffffffff,3.0,0.0,0.0
843c189ffffffff,1.0,0.0,0.0
843c193ffffffff,2.0,0.0,0.0
843c199ffffffff,8.0,0.0,0.0
843c19bffffffff,3.0,0.0,0.0
843c1b5ffffffff,6.0,0.0,0.0
843c1b9ffffffff,4.0,0.0,0.0
843c1d3ffffffff,2.0,0.0,0.0
843c1e9ffffffff,2.0,0.0,0.0
843c583ffffffff,3.0,0.0,0.0
843c5c5ffffffff,1.0,0.0,0.0
843c885ffffffff,8.0,0.0,0.0
843c8d9ffffffff,1.0,0.0,0.0
843c943ffffffff,1.0,1.0,0.0
843ca93ffffffff,2.0,0.0,0.0
843ca95ffffffff,3.0,0.0,0.0
843ca97ffffffff,1.0,0.0,0.0
843cab7ffffffff,1.0,0.0,0.0
843cab9ffffffff,3.0,0.0,0.0
843cb13ffffffff,2.0,0.0,0.0
843cb1dffffffff,4.0,4.0,0.0
843cc45ffffffff,1.0,0.0,0.0
843ce4dffffffff,2.0,0.0,0.0
843ce53ffffffff,1.0,1.0,0.0
843cec9ffffffff,2.0,0.0,0.0
843cf05ffffffff,2.0,0.0,0.0
843cf0dffffffff,2.0,0.0,0.0
843cf25ffffffff,2.0,0.0,0.0
843cf29ffffffff,3.0,0.0,0.0
843cf2dffffffff,8.0,0.0,0.0
843cf35ffffffff,1.0,0.0,0.0
843cf47ffffffff,2.0,0.0,0.0
843cf61ffffffff,1.0,0.0,0.0
843cf69ffffffff,4.0,0.0,0.0
843d137ffffffff,1.0,0.0,0.0
843d845ffffffff,17.0,0.0,0.0
843d8d5ffffffff,2.0,0.0,0.0
843d939ffffffff,3.0,0.0,0.0
843d98dffffffff,2.0,0.0,0.0
843d993ffffffff,4.0,0.0,0.0
843da1dffffffff,2.0,2.0,0.0
843da21ffffffff,2.0,0.0,0.0
843da37ffffffff,48.0,0.0,0.0
843daddffffffff,11.0,3.0,0.0
