cell_id,Lurocalis semitorquatus,Lurocalis semitorquatus [semitorquatus Group],Lurocalis semitorquatus nattereri
824527fffffffff,2.0,0.0,0.0
82452ffffffffff,1.0,0.0,0.0
824537fffffffff,51.0,0.0,0.0
825f07fffffffff,46.0,0.0,0.0
825f0ffffffffff,4.0,0.0,0.0
825f17fffffffff,30.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0
825f2ffffffffff,175.0,0.0,0.0
825f4ffffffffff,3.0,0.0,0.0
825f5ffffffffff,149.0,0.0,0.0
825f77fffffffff,9.0,0.0,0.0
82660ffffffffff,15.0,0.0,0.0
826617fffffffff,48.0,0.0,0.0
82661ffffffffff,8.0,0.0,0.0
826627fffffffff,3.0,0.0,0.0
826647fffffffff,12.0,0.0,0.0
826657fffffffff,10.0,0.0,0.0
82665ffffffffff,40.0,0.0,0.0
826667fffffffff,10.0,0.0,0.0
826677fffffffff,3.0,0.0,0.0
8266a7fffffffff,275.0,10.0,0.0
8266b7fffffffff,232.0,1.0,0.0
8266c7fffffffff,9.0,0.0,0.0
8266cffffffffff,5.0,0.0,0.0
8266d7fffffffff,85.0,3.0,0.0
8266dffffffffff,78.0,0.0,2.0
8266e7fffffffff,4.0,0.0,0.0
8266effffffffff,3.0,0.0,0.0
8266f7fffffffff,41.0,0.0,0.0
826747fffffffff,35.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0
826797fffffffff,12.0,0.0,0.0
82679ffffffffff,258.0,2.0,0.0
826d2ffffffffff,22.0,5.0,0.0
826d6ffffffffff,767.0,0.0,0.0
828007fffffffff,4.0,0.0,0.0
82804ffffffffff,9.0,0.0,0.0
828057fffffffff,6.0,0.0,0.0
828067fffffffff,2.0,0.0,0.0
82806ffffffffff,3.0,0.0,0.0
828077fffffffff,9.0,0.0,0.0
828127fffffffff,53.0,0.0,50.0
82812ffffffffff,2.0,0.0,0.0
828137fffffffff,5.0,0.0,0.0
828147fffffffff,1.0,0.0,0.0
82814ffffffffff,27.0,0.0,0.0
82815ffffffffff,9.0,0.0,0.0
828177fffffffff,2.0,0.0,0.0
828a07fffffffff,9.0,0.0,0.0
828a17fffffffff,30.0,3.0,0.0
828a1ffffffffff,9.0,1.0,0.0
828a27fffffffff,7.0,0.0,0.0
828a2ffffffffff,2.0,0.0,0.0
828a37fffffffff,3.0,0.0,0.0
828a47fffffffff,11.0,0.0,0.0
828a6ffffffffff,66.0,0.0,0.0
828a87fffffffff,8.0,0.0,0.0
828a8ffffffffff,2.0,0.0,0.0
828a97fffffffff,5.0,0.0,0.0
828a9ffffffffff,22.0,0.0,0.0
828aaffffffffff,20.0,0.0,0.0
828adffffffffff,4.0,0.0,0.0
828ae7fffffffff,2.0,0.0,0.0
828af7fffffffff,213.0,14.0,0.0
828b07fffffffff,2.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0
828b27fffffffff,4.0,0.0,0.0
828b37fffffffff,2.0,0.0,0.0
828b47fffffffff,46.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828b5ffffffffff,2.0,0.0,0.0
828b67fffffffff,7.0,0.0,0.0
828b6ffffffffff,1.0,0.0,0.0
828b77fffffffff,18.0,0.0,0.0
828b87fffffffff,18.0,0.0,0.0
828b9ffffffffff,230.0,0.0,0.0
828ba7fffffffff,4.0,0.0,0.0
828bb7fffffffff,11.0,0.0,0.0
828f27fffffffff,1.0,0.0,0.0
828f2ffffffffff,8.0,2.0,0.0
828f47fffffffff,22.0,0.0,0.0
828f4ffffffffff,5.0,0.0,0.0
828f67fffffffff,7.0,0.0,0.0
828f6ffffffffff,5.0,0.0,0.0
82a807fffffffff,213.0,0.0,34.0
82a80ffffffffff,1.0,0.0,0.0
82a817fffffffff,623.0,0.0,36.0
82a81ffffffffff,172.0,0.0,3.0
82a827fffffffff,75.0,0.0,4.0
82a82ffffffffff,23.0,0.0,0.0
82a837fffffffff,124.0,0.0,2.0
82a85ffffffffff,10.0,0.0,0.0
82a867fffffffff,6.0,0.0,0.0
82a887fffffffff,45.0,0.0,0.0
82a88ffffffffff,2.0,0.0,0.0
82a897fffffffff,41.0,0.0,5.0
82a8a7fffffffff,268.0,0.0,29.0
82a8affffffffff,16.0,0.0,2.0
82a8c7fffffffff,32.0,0.0,0.0
82a8cffffffffff,8.0,0.0,0.0
82a8d7fffffffff,4.0,0.0,2.0
82a8dffffffffff,8.0,0.0,0.0
82a8e7fffffffff,5.0,0.0,0.0
82a90ffffffffff,43.0,0.0,4.0
82a91ffffffffff,71.0,0.0,4.0
82a92ffffffffff,4.0,0.0,0.0
82a947fffffffff,134.0,0.0,6.0
82a957fffffffff,453.0,0.0,7.0
82a95ffffffffff,108.0,0.0,0.0
82a967fffffffff,2.0,0.0,0.0
82a96ffffffffff,5.0,0.0,0.0
82a977fffffffff,22.0,0.0,0.0
82b367fffffffff,2.0,0.0,0.0
