cell_id,Caprimulgus affinis,Caprimulgus affinis [monticolus Group],Caprimulgus affinis [affinis Group]
84209a5ffffffff,4.0,0.0,0.0
84309bdffffffff,2.0,0.0,0.0
843c15bffffffff,2.0,0.0,0.0
843c19bffffffff,1.0,0.0,0.0
843c525ffffffff,4.0,0.0,0.0
843c805ffffffff,5.0,0.0,0.0
843c839ffffffff,2.0,0.0,0.0
843c885ffffffff,2.0,0.0,0.0
843c8c1ffffffff,2.0,0.0,0.0
843c8cbffffffff,1.0,0.0,0.0
843c8d9ffffffff,7.0,0.0,0.0
843ca87ffffffff,21.0,0.0,0.0
843ca8dffffffff,2.0,0.0,0.0
843ca91ffffffff,2.0,0.0,0.0
843ca97ffffffff,27.0,0.0,0.0
843cab9ffffffff,21.0,0.0,0.0
843cb47ffffffff,2.0,0.0,0.0
843cb5dffffffff,2.0,0.0,0.0
843ce57ffffffff,10.0,0.0,0.0
843cf4bffffffff,5.0,0.0,0.0
843d101ffffffff,2.0,0.0,0.0
843d147ffffffff,3.0,0.0,0.0
843d323ffffffff,5.0,0.0,0.0
843d32bffffffff,4.0,0.0,0.0
843d363ffffffff,6.0,0.0,0.0
843d36bffffffff,2.0,0.0,0.0
843d805ffffffff,2.0,0.0,0.0
843d845ffffffff,2.0,0.0,0.0
843d847ffffffff,2.0,0.0,0.0
843d86bffffffff,3.0,0.0,0.0
843d939ffffffff,3.0,0.0,0.0
843d967ffffffff,3.0,0.0,0.0
843d98dffffffff,3.0,0.0,0.0
843d9a7ffffffff,2.0,0.0,0.0
843d9b9ffffffff,1.0,0.0,0.0
843d9d1ffffffff,30.0,0.0,0.0
843d9d3ffffffff,9.0,0.0,0.0
843d9dbffffffff,18.0,0.0,0.0
843d9e5ffffffff,11.0,0.0,0.0
843d9e7ffffffff,12.0,0.0,0.0
843da11ffffffff,70.0,0.0,0.0
843da37ffffffff,4.0,0.0,0.0
843da39ffffffff,2.0,0.0,0.0
843dacbffffffff,2.0,0.0,0.0
843dad1ffffffff,4.0,0.0,0.0
843db13ffffffff,8.0,0.0,0.0
843db31ffffffff,4.0,0.0,0.0
843db37ffffffff,5.0,0.0,0.0
843db51ffffffff,3.0,0.0,0.0
843db57ffffffff,18.0,0.0,0.0
843db67ffffffff,2.0,0.0,0.0
843db6bffffffff,1.0,0.0,0.0
843db6dffffffff,1.0,0.0,0.0
8441037ffffffff,1.0,0.0,0.0
84411cbffffffff,2.0,0.0,0.0
8441a09ffffffff,1.0,0.0,0.0
8441a43ffffffff,2.0,0.0,0.0
8442493ffffffff,4.0,0.0,0.0
844259dffffffff,4.0,0.0,0.0
84425a7ffffffff,2.0,0.0,0.0
8442c03ffffffff,2.0,0.0,0.0
8442c13ffffffff,1.0,0.0,0.0
8442c1bffffffff,1.0,0.0,0.0
8442c23ffffffff,2.0,0.0,0.0
8442c4bffffffff,10.0,0.0,0.0
8442c5dffffffff,15.0,0.0,0.0
8442ca5ffffffff,2.0,0.0,0.0
8442cbdffffffff,5.0,0.0,0.0
8442cdbffffffff,14.0,0.0,0.0
