cell_id,Cyanoderma rufifrons,Cyanoderma rufifrons [ambiguum Group],Cyanoderma rufifrons [rufifrons Group]
833c52fffffffff,1.0,0.0,1.0
833c58fffffffff,16.0,16.0,0.0
833c5afffffffff,87.0,87.0,0.0
833c5bfffffffff,39.0,39.0,0.0
833cc0fffffffff,94.0,94.0,0.0
833cc2fffffffff,4.0,4.0,0.0
833cc4fffffffff,13.0,13.0,0.0
833cc5fffffffff,12.0,12.0,0.0
833cc6fffffffff,11.0,11.0,0.0
833cccfffffffff,13.0,13.0,0.0
833cd8fffffffff,3.0,0.0,3.0
833cdcfffffffff,12.0,12.0,0.0
833ce1fffffffff,13.0,13.0,0.0
833ce3fffffffff,3.0,3.0,0.0
833ce5fffffffff,2.0,2.0,0.0
833ce8fffffffff,9.0,9.0,0.0
833ce9fffffffff,1.0,1.0,0.0
833ceafffffffff,26.0,26.0,0.0
833cecfffffffff,163.0,163.0,0.0
833cedfffffffff,1.0,1.0,0.0
834069fffffffff,1.0,0.0,1.0
834149fffffffff,4.0,4.0,0.0
83414bfffffffff,10.0,10.0,0.0
83414cfffffffff,11.0,11.0,0.0
834159fffffffff,6.0,6.0,0.0
83416afffffffff,1.0,1.0,0.0
83416bfffffffff,1.0,1.0,0.0
836412fffffffff,2.0,0.0,2.0
836414fffffffff,1.0,0.0,1.0
836416fffffffff,717.0,0.0,717.0
836422fffffffff,1.0,0.0,1.0
836430fffffffff,3.0,0.0,3.0
836431fffffffff,52.0,0.0,52.0
836432fffffffff,48.0,0.0,48.0
836433fffffffff,20.0,0.0,20.0
836434fffffffff,12.0,0.0,12.0
836435fffffffff,6.0,0.0,6.0
836480fffffffff,12.0,0.0,12.0
836482fffffffff,144.0,3.0,141.0
836484fffffffff,8.0,0.0,8.0
836485fffffffff,1.0,0.0,1.0
836486fffffffff,5.0,0.0,5.0
83648afffffffff,2.0,0.0,2.0
83648efffffffff,3.0,0.0,3.0
836490fffffffff,16.0,11.0,5.0
836491fffffffff,292.0,44.0,248.0
836492fffffffff,2.0,2.0,0.0
836494fffffffff,7.0,0.0,7.0
836495fffffffff,61.0,54.0,7.0
836496fffffffff,7.0,7.0,0.0
836498fffffffff,10.0,7.0,3.0
83649cfffffffff,4.0,0.0,4.0
8364a0fffffffff,3.0,0.0,3.0
8364a1fffffffff,13.0,0.0,13.0
8364a3fffffffff,7.0,0.0,7.0
8364a5fffffffff,1.0,0.0,1.0
8364aefffffffff,1.0,0.0,1.0
8364b0fffffffff,2.0,2.0,0.0
8364b1fffffffff,4.0,4.0,0.0
8364b2fffffffff,37.0,22.0,15.0
8364b3fffffffff,2.0,0.0,2.0
8364b4fffffffff,5.0,5.0,0.0
8364b5fffffffff,2.0,2.0,0.0
8364b6fffffffff,55.0,55.0,0.0
836500fffffffff,33.0,0.0,33.0
836502fffffffff,36.0,0.0,36.0
836505fffffffff,79.0,0.0,79.0
836509fffffffff,1.0,0.0,1.0
836518fffffffff,57.0,0.0,57.0
83651bfffffffff,1.0,0.0,1.0
83651cfffffffff,102.0,0.0,102.0
83651dfffffffff,3.0,0.0,3.0
836522fffffffff,45.0,0.0,45.0
836526fffffffff,101.0,0.0,101.0
836556fffffffff,1.0,0.0,1.0
836589fffffffff,11.0,0.0,11.0
836802fffffffff,9.0,0.0,9.0
836810fffffffff,1.0,0.0,1.0
836811fffffffff,16.0,0.0,16.0
836812fffffffff,30.0,0.0,30.0
836815fffffffff,3.0,0.0,3.0
836818fffffffff,219.0,0.0,219.0
83681afffffffff,20.0,0.0,20.0
83681cfffffffff,22.0,0.0,22.0
83681efffffffff,11.0,0.0,11.0
83689afffffffff,2.0,0.0,2.0
8368abfffffffff,1.0,0.0,1.0
8368acfffffffff,2.0,0.0,2.0
8368adfffffffff,1.0,0.0,1.0
838c1afffffffff,8.0,0.0,8.0
838c96fffffffff,46.0,0.0,46.0
838cd0fffffffff,2.0,0.0,2.0
838cd5fffffffff,9.0,0.0,9.0
