cell_id,Strix leptogrammica,Strix leptogrammica [indranee Group],Strix leptogrammica niasensis,Strix leptogrammica [leptogrammica Group]
823c0ffffffffff,2.0,0.0,0.0,0.0
823c1ffffffffff,20.0,0.0,0.0,0.0
823c37fffffffff,1.0,0.0,0.0,0.0
823c47fffffffff,1.0,0.0,0.0,0.0
823c5ffffffffff,2.0,0.0,0.0,0.0
823c87fffffffff,2.0,0.0,0.0,0.0
823c97fffffffff,15.0,0.0,0.0,0.0
823caffffffffff,54.0,1.0,0.0,0.0
823cb7fffffffff,4.0,0.0,0.0,0.0
823cc7fffffffff,2.0,0.0,0.0,0.0
823cd7fffffffff,13.0,0.0,0.0,0.0
823ce7fffffffff,8.0,0.0,0.0,0.0
823ceffffffffff,6.0,0.0,0.0,0.0
823cf7fffffffff,6.0,0.0,0.0,0.0
823d17fffffffff,2.0,0.0,0.0,0.0
823d9ffffffffff,14.0,0.0,0.0,0.0
823daffffffffff,9.0,1.0,0.0,0.0
824187fffffffff,7.0,0.0,0.0,0.0
8242dffffffffff,2.0,0.0,0.0,0.0
826007fffffffff,11.0,0.0,0.0,0.0
826017fffffffff,68.0,0.0,0.0,0.0
82601ffffffffff,2.0,0.0,0.0,0.0
826027fffffffff,11.0,0.0,0.0,0.0
826037fffffffff,144.0,1.0,0.0,0.0
82608ffffffffff,46.0,0.0,0.0,0.0
82609ffffffffff,4.0,0.0,0.0,0.0
8260affffffffff,40.0,0.0,0.0,0.0
826507fffffffff,38.0,0.0,0.0,0.0
82651ffffffffff,2.0,0.0,0.0,0.0
826597fffffffff,2.0,0.0,0.0,0.0
8265b7fffffffff,1.0,0.0,0.0,0.0
82681ffffffffff,3.0,0.0,0.0,3.0
