cell_id,Aethopyga siparaja,Aethopyga siparaja [seheriae Group],Aethopyga siparaja [siparaja Group],Aethopyga siparaja flavostriata/beccarii
83209afffffffff,9.0,0.0,0.0,0.0
833c02fffffffff,535.0,81.0,0.0,0.0
833c06fffffffff,23.0,0.0,0.0,0.0
833c0afffffffff,188.0,1.0,0.0,0.0
833c0bfffffffff,19.0,1.0,0.0,0.0
833c15fffffffff,35.0,0.0,0.0,0.0
833c19fffffffff,300.0,0.0,0.0,0.0
833c1cfffffffff,5.0,0.0,0.0,0.0
833c1dfffffffff,145.0,0.0,0.0,0.0
833c30fffffffff,2.0,0.0,0.0,0.0
833c31fffffffff,9.0,0.0,0.0,0.0
833c32fffffffff,6.0,0.0,0.0,0.0
833c33fffffffff,131.0,0.0,0.0,0.0
833c34fffffffff,5.0,0.0,0.0,0.0
833c36fffffffff,17.0,0.0,0.0,0.0
833c52fffffffff,37.0,0.0,0.0,0.0
833c53fffffffff,22.0,0.0,0.0,0.0
833c58fffffffff,124.0,0.0,0.0,0.0
833c5afffffffff,197.0,0.0,0.0,0.0
833c5bfffffffff,6.0,0.0,0.0,0.0
833c5efffffffff,14.0,0.0,0.0,0.0
833c82fffffffff,1.0,0.0,0.0,0.0
833c8cfffffffff,78.0,0.0,0.0,0.0
833c92fffffffff,3.0,0.0,0.0,0.0
833c94fffffffff,11.0,0.0,0.0,0.0
833c95fffffffff,1.0,0.0,0.0,0.0
833ca8fffffffff,1.0,0.0,0.0,0.0
833cc0fffffffff,25.0,0.0,0.0,0.0
833cc2fffffffff,10.0,0.0,0.0,0.0
833cc3fffffffff,2.0,0.0,0.0,0.0
833cc4fffffffff,69.0,0.0,0.0,0.0
833cc5fffffffff,80.0,0.0,0.0,0.0
833cc6fffffffff,3.0,0.0,0.0,0.0
833ccbfffffffff,11.0,0.0,0.0,0.0
833cccfffffffff,47.0,0.0,0.0,0.0
833cd4fffffffff,19.0,0.0,0.0,0.0
833cd8fffffffff,4.0,0.0,0.0,0.0
833cd9fffffffff,4.0,0.0,0.0,0.0
833cdcfffffffff,2.0,0.0,0.0,0.0
833cddfffffffff,1.0,0.0,0.0,0.0
833ce0fffffffff,43.0,0.0,0.0,0.0
833ce1fffffffff,725.0,0.0,0.0,0.0
833ce2fffffffff,26.0,0.0,0.0,0.0
833ce3fffffffff,24.0,0.0,0.0,0.0
833ce4fffffffff,199.0,0.0,0.0,0.0
833ce5fffffffff,620.0,22.0,0.0,0.0
833ce8fffffffff,78.0,0.0,0.0,0.0
833ce9fffffffff,8.0,0.0,0.0,0.0
833ceafffffffff,19.0,0.0,0.0,0.0
833cebfffffffff,10.0,0.0,0.0,0.0
833cecfffffffff,656.0,0.0,0.0,0.0
833cedfffffffff,53.0,0.0,0.0,0.0
833ceefffffffff,5.0,0.0,0.0,0.0
833cf3fffffffff,54.0,0.0,0.0,0.0
833d10fffffffff,1708.0,0.0,0.0,0.0
833d12fffffffff,3.0,0.0,0.0,0.0
833d13fffffffff,1169.0,0.0,0.0,0.0
833d14fffffffff,46.0,0.0,0.0,0.0
833d15fffffffff,35.0,0.0,0.0,0.0
833d1afffffffff,7.0,0.0,0.0,0.0
833d1efffffffff,40.0,0.0,0.0,0.0
833d30fffffffff,2.0,0.0,0.0,0.0
833d33fffffffff,53.0,0.0,0.0,0.0
833d34fffffffff,12.0,0.0,0.0,0.0
833d36fffffffff,75.0,0.0,0.0,0.0
833da9fffffffff,9.0,0.0,0.0,0.0
833dacfffffffff,10.0,0.0,0.0,0.0
833dadfffffffff,1136.0,0.0,0.0,0.0
834049fffffffff,11.0,0.0,0.0,0.0
83404bfffffffff,2.0,0.0,0.0,0.0
83404cfffffffff,50.0,0.0,0.0,0.0
83404dfffffffff,12.0,0.0,0.0,0.0
834061fffffffff,24.0,0.0,0.0,0.0
834065fffffffff,144.0,0.0,0.0,0.0
83406bfffffffff,26.0,0.0,0.0,0.0
834141fffffffff,2.0,1.0,0.0,0.0
834142fffffffff,13.0,0.0,0.0,0.0
834143fffffffff,79.0,5.0,0.0,0.0
834148fffffffff,2.0,0.0,0.0,0.0
834149fffffffff,26.0,0.0,0.0,0.0
83414bfffffffff,13.0,0.0,0.0,0.0
